raw_gene,scgpt_token
Arid3a,ARID3A
Cebpd,CEBPD
Dnmt3b,DNMT3B
E2f2,E2F2
Hnf4a,HNF4A
Klf1,KLF1
Klf4,KLF4
Lyl1,LYL1
Nfe2,NFE2
Onecut1,ONECUT1
Relb,RELB
Six5,SIX5
Sox4,SOX4
Tcf7l1,TCF7L1
Tead2,TEAD2
Tet3,TET3
Tgif2,TGIF2
Tox,TOX
Malat1,MALAT1
mt-Atp6,MT-ATP6
mt-Co3,MT-CO3
Rpl41,RPL41
Eef1a1,EEF1A1
Rplp0,RPLP0
Rps18,RPS18
Rpl13,RPL13
mt-Co1,MT-CO1
Rps8,RPS8
Rps19,RPS19
Rpl18a,RPL18A
Rplp1,RPLP1
Rpl32,RPL32
Rpl23,RPL23
Rps2,RPS2
Rps5,RPS5
Rps14,RPS14
Clu,CLU
Fth1,FTH1
S100a6,S100A6
Rps16,RPS16
Rps27a,RPS27A
mt-Co2,MT-CO2
Krt18,KRT18
Rpl10,RPL10
Tpt1,TPT1
mt-Nd1,MT-ND1
Rpl17,RPL17
Rpl23a,RPL23A
Rpl26,RPL26
Rps3,RPS3
Rps23,RPS23
Rps4x,RPS4X
Rps7,RPS7
Rpl15,RPL15
Rps9,RPS9
Rpl37a,RPL37A
Krt8,KRT8
Rpl14,RPL14
Actg1,ACTG1
Rps24,RPS24
Rpl19,RPL19
Rplp2,RPLP2
Rps27,RPS27
Rps6,RPS6
Rpl21,RPL21
Ppia,PPIA
Rps20,RPS20
Rps11,RPS11
Ly6e,LY6E
Rpl8,RPL8
Rpl18,RPL18
Rpl6,RPL6
Rpl37,RPL37
Rpl10a,RPL10A
Fau,FAU
Rps12,RPS12
Rps15a,RPS15A
Rpl3,RPL3
Rpl27a,RPL27A
Rpl9,RPL9
Rps29,RPS29
Rps15,RPS15
Eif1,EIF1
Rpl35a,RPL35A
Rps10,RPS10
Tmsb4x,TMSB4X
Rpl11,RPL11
S100a11,S100A11
Rpl24,RPL24
Rps13,RPS13
Rpl4,RPL4
Rpl39,RPL39
Spp1,SPP1
Rpl36,RPL36
Rps17,RPS17
Ubb,UBB
Rpl34,RPL34
Gapdh,GAPDH
Actb,ACTB
Rpl7,RPL7
Rpl28,RPL28
mt-Nd4,MT-ND4
Rpl29,RPL29
Prdx1,PRDX1
Rpl31,RPL31
Rpsa,RPSA
Ptma,PTMA
Rps25,RPS25
Rps28,RPS28
Ybx1,YBX1
Hsp90ab1,HSP90AB1
Rpl36a,RPL36A
Tmsb10,TMSB10
Rpl12,RPL12
Krt19,KRT19
Rpl7a,RPL7A
Rpl38,RPL38
Rpl30,RPL30
Wfdc2,WFDC2
Rpl35,RPL35
Cox8a,COX8A
Lcn2,LCN2
Cox4i1,COX4I1
Rps26,RPS26
Rps21,RPS21
Pfn1,PFN1
Rack1,RACK1
Hspa8,HSPA8
Chchd2,CHCHD2
Rpl27,RPL27
Rpl22l1,RPL22L1
S100a10,S100A10
Xist,XIST
Fos,FOS
Eef2,EEF2
Npm1,NPM1
Dbi,DBI
Itm2b,ITM2B
Oaz1,OAZ1
Rpl5,RPL5
mt-Nd2,MT-ND2
Cystm1,CYSTM1
Rps27l,RPS27L
Igfbp7,IGFBP7
Naca,NACA
Spint2,SPINT2
Myl6,MYL6
Bsg,BSG
Rpl22,RPL22
Gsto1,GSTO1
Aldoa,ALDOA
Sh3bgrl3,SH3BGRL3
Id2,ID2
Calm1,CALM1
Anxa2,ANXA2
Eef1b2,EEF1B2
Cox6b1,COX6B1
Krt7,KRT7
Cox7c,COX7C
Tmem176b,TMEM176B
Uqcrh,UQCRH
Dynll1,DYNLL1
Eif3f,EIF3F
Gpx4,GPX4
Hint1,HINT1
Cox6c,COX6C
Eef1g,EEF1G
Pkm,PKM
Jund,JUND
Elob,ELOB
Btf3,BTF3
Gsta4,GSTA4
Mif,MIF
Cox6a1,COX6A1
Tagln2,TAGLN2
Serf2,SERF2
Ldha,LDHA
Dstn,DSTN
Hmgn1,HMGN1
Ubc,UBC
Ndufa6,NDUFA6
Rpl36al,RPL36AL
Junb,JUNB
Ndufa4,NDUFA4
Btg2,BTG2
Tspan8,TSPAN8
Atp1a1,ATP1A1
Atf3,ATF3
Cfl1,CFL1
Anxa3,ANXA3
Gng5,GNG5
Uqcrq,UQCRQ
Clic1,CLIC1
Hsp90aa1,HSP90AA1
Dad1,DAD1
Hbegf,HBEGF
Rpl13a,RPL13A
Slc25a3,SLC25A3
Cd81,CD81
Calm2,CALM2
Pebp1,PEBP1
Eif5a,EIF5A
Dusp1,DUSP1
Bag1,BAG1
Igfbp4,IGFBP4
Slc25a5,SLC25A5
Tubb4b,TUBB4B
Pabpc1,PABPC1
Scgb3a1,SCGB3A1
Crip2,CRIP2
Epcam,EPCAM
Ndufa7,NDUFA7
Pfdn5,PFDN5
Cox5b,COX5B
Uqcr11,UQCR11
Pglyrp1,PGLYRP1
Atox1,ATOX1
Cox7a2l,COX7A2L
Rbm39,RBM39
Arpc2,ARPC2
Cox5a,COX5A
Eif4a1,EIF4A1
Ndufa13,NDUFA13
Arpc1b,ARPC1B
Anxa4,ANXA4
Cox7a2,COX7A2
Tmbim6,TMBIM6
Ndufa2,NDUFA2
B2m,B2M
Ier2,IER2
Tmem176a,TMEM176A
Edf1,EDF1
Gstm1,GSTM1
Gnas,GNAS
Eif3h,EIF3H
Eef1d,EEF1D
Serbp1,SERBP1
Ddx5,DDX5
Sec61g,SEC61G
Ncl,NCL
Slc25a4,SLC25A4
