sample,medium
DM2_1,Differentiation Medium
DM2_2,Differentiation Medium
DM2_3,Differentiation Medium
DM2_4,Differentiation Medium
DM2_5,Differentiation Medium
DM2_6,Differentiation Medium
EM2_1,Expansion Medium
EM2_2,Expansion Medium
EM2_3,Expansion Medium
