metric,bootstrap_draws,ci_low_2.5pct,median,ci_high_97.5pct,fraction_above_zero
safeconf__error_centered_pearson_mean,3000,-0.1672900230045748,-0.11162464244930367,-0.060920890793131614,0.0
delta_safeconf_minus_magnitude__error_centered_pearson_mean,3000,-0.1282317309620092,-0.07191380690069096,-0.014938428254894252,0.006666666666666667
safeconf__error_centered_cosine_mean,3000,-0.1547561362765136,-0.09714281250281576,-0.042010652605413895,0.0
delta_safeconf_minus_magnitude__error_centered_cosine_mean,3000,-0.09816930902502614,-0.03962579756529952,0.017996663614382888,0.09566666666666666
safeconf__excess_rmse_mean_vs_training_perturbed_mean,3000,-0.1587830711476673,-0.09769118929998545,-0.037198176800649733,0.0
delta_safeconf_minus_magnitude__excess_rmse_mean_vs_training_perturbed_mean,3000,-0.19832864322389998,-0.146784164939326,-0.09506746008167377,0.0
ensemble_advantage_over_training_perturbed_mean,3000,-0.000877997850933133,-0.0003284257168663815,0.00026392300816178196,0.12666666666666668
