score,endpoint,n_datasets,dataset_equal_macro_spearman
baseline_predicted_magnitude,error_centered_cosine_mean,6,-0.06530924159957989
baseline_predicted_magnitude,error_centered_pearson_mean,6,-0.048003608426677835
baseline_predicted_magnitude,error_two_predictor_mean_rmse,6,0.09266412365423882
baseline_predicted_magnitude,excess_rmse_mean_vs_training_perturbed_mean,6,0.05347279274151854
risk_model_disagreement,error_centered_cosine_mean,6,-0.03418001042149237
risk_model_disagreement,error_centered_pearson_mean,6,-0.008240668479972162
risk_model_disagreement,error_two_predictor_mean_rmse,6,0.04910223063920482
risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,6,0.08739754432148056
safeconf_calibrated_pair_risk,error_centered_cosine_mean,6,-0.0940896913210501
safeconf_calibrated_pair_risk,error_centered_pearson_mean,6,-0.10858512892346019
safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,6,0.20400411584447495
safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,6,-0.08733262313437408
safeconf_frozen_pair_risk,error_centered_cosine_mean,6,-0.07055537784710357
safeconf_frozen_pair_risk,error_centered_pearson_mean,6,-0.06894695478978097
safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,6,0.1447964204419874
safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,6,0.0006870225131772693
