train_donors,validation_donor,test_donor,canonical_mapping,mapping_sha256,all_donor_state_combinations_present,validation_and_test_runs_covered_by_train_within_each_state,feasible
CE0006864+CE0008162,CE0008678,CE0010866,"train=CE0006864,CE0008162;validation=CE0008678;test=CE0010866",1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True,True,True
CE0006864+CE0010866,CE0008162,CE0008678,"train=CE0006864,CE0010866;validation=CE0008162;test=CE0008678",1ced367358322519246c4f5aa4b0d486e18f61bdf5d64d802db1683e866b6a45,True,True,True
CE0006864+CE0008162,CE0010866,CE0008678,"train=CE0006864,CE0008162;validation=CE0010866;test=CE0008678",1eace5635bd23f79f1819786e1e2e2a1d1998d151f2c158b951c046f3a7e1170,True,True,True
CE0008162+CE0008678,CE0006864,CE0010866,"train=CE0008162,CE0008678;validation=CE0006864;test=CE0010866",5c70d1b9acfee68c64ddbb87424f8c26489c9179b176bcd19f10686f2e45150e,True,True,True
CE0006864+CE0010866,CE0008678,CE0008162,"train=CE0006864,CE0010866;validation=CE0008678;test=CE0008162",bc075f9acd529c0b8d7e16de46780c8668cb31e481c423b5e5a11f9786652bb4,True,True,True
CE0008678+CE0010866,CE0008162,CE0006864,"train=CE0008678,CE0010866;validation=CE0008162;test=CE0006864",d2da8550c0a937facab167f9390a94000f78be257a7677f42ed50d6ba9d90fd8,True,True,True
CE0008678+CE0010866,CE0006864,CE0008162,"train=CE0008678,CE0010866;validation=CE0006864;test=CE0008162",d3b4ad0992c741a08ae3109228604a527577534fa60bab3df045201b239c2ef3,True,True,True
CE0008162+CE0008678,CE0010866,CE0006864,"train=CE0008162,CE0008678;validation=CE0010866;test=CE0006864",fd90976d6babcd29c4ab8b641d4b97ad6675fd08f37afed96d3dd9e6b2cdfe3d,True,True,True
CE0006864+CE0008678,CE0008162,CE0010866,"train=CE0006864,CE0008678;validation=CE0008162;test=CE0010866",057982692417c2f1fd33abeef339a2007c12c20654bf38a6f8de7bb81492891e,True,False,False
CE0008162+CE0010866,CE0008678,CE0006864,"train=CE0008162,CE0010866;validation=CE0008678;test=CE0006864",0b17979b2bb8ba98f636f20eaa5685585f2089c066f5e4e1a19a2aae4c2f5752,True,False,False
CE0008162+CE0010866,CE0006864,CE0008678,"train=CE0008162,CE0010866;validation=CE0006864;test=CE0008678",7832ccf77354b048be80d288035246329697c8b667b6ff92278b21982ad6cfd0,True,False,False
CE0006864+CE0008678,CE0010866,CE0008162,"train=CE0006864,CE0008678;validation=CE0010866;test=CE0008162",e19773ebcfdd28696867f11e9e508cf0b4719297905bca245f46452ee1594b0c,True,False,False
