guide_id,ensembl_core,perturbed_gene_name,observed_ensembl_core,observed_gene_name,design_observed_mapping_match,n_donor_state_pairs_present,minimum_identity_rows_per_donor_state,complete_12_donor_state_identity,used_for_assay_available_universe
RAB34-2,ENSG00000109113,RAB34,ENSG00000109113,RAB34,True,12.0,1.0,True,True
RASA3-1,ENSG00000185989,RASA3,ENSG00000185989,RASA3,True,12.0,1.0,True,True
RASA3-2,ENSG00000185989,RASA3,ENSG00000185989,RASA3,True,12.0,1.0,True,True
RASGEF1A-1,ENSG00000198915,RASGEF1A,ENSG00000198915,RASGEF1A,True,12.0,1.0,True,True
RASGEF1A-2,ENSG00000198915,RASGEF1A,ENSG00000198915,RASGEF1A,True,12.0,1.0,True,True
RASSF2-1,ENSG00000101265,RASSF2,ENSG00000101265,RASSF2,True,12.0,1.0,True,True
RASSF2-2,ENSG00000101265,RASSF2,ENSG00000101265,RASSF2,True,12.0,1.0,True,True
RGS1-1,ENSG00000090104,RGS1,ENSG00000090104,RGS1,True,12.0,1.0,True,True
RGS1-2,ENSG00000090104,RGS1,ENSG00000090104,RGS1,True,12.0,1.0,True,True
RSRC2-1,ENSG00000111011,RSRC2,ENSG00000111011,RSRC2,True,12.0,1.0,True,True
RSRC2-2,ENSG00000111011,RSRC2,ENSG00000111011,RSRC2,True,12.0,1.0,True,True
RXYLT1-1,ENSG00000118600,RXYLT1,ENSG00000118600,RXYLT1,True,12.0,1.0,True,True
RXYLT1-2,ENSG00000118600,RXYLT1,ENSG00000118600,RXYLT1,True,12.0,1.0,True,True
SAP30-1,ENSG00000164105,SAP30,ENSG00000164105,SAP30,True,12.0,1.0,True,True
SAP30-3,ENSG00000164105,SAP30,ENSG00000164105,SAP30,True,12.0,1.0,True,True
SARS2-1,ENSG00000104835,SARS2,ENSG00000104835,SARS2,True,12.0,1.0,True,True
SARS2-2,ENSG00000104835,SARS2,ENSG00000104835,SARS2,True,12.0,1.0,True,True
SCML1-1,ENSG00000047634,SCML1,ENSG00000047634,SCML1,True,12.0,1.0,True,True
SCML1-2,ENSG00000047634,SCML1,ENSG00000047634,SCML1,True,12.0,1.0,True,True
SCRN2-1,ENSG00000141295,SCRN2,ENSG00000141295,SCRN2,True,12.0,1.0,True,True
SCRN2-2,ENSG00000141295,SCRN2,ENSG00000141295,SCRN2,True,12.0,1.0,True,True
SDC4-1,ENSG00000124145,SDC4,ENSG00000124145,SDC4,True,12.0,1.0,True,True
SDC4-2,ENSG00000124145,SDC4,ENSG00000124145,SDC4,True,12.0,1.0,True,True
SEC14L1-1,ENSG00000129657,SEC14L1,ENSG00000129657,SEC14L1,True,12.0,1.0,True,True
SEC14L1-2,ENSG00000129657,SEC14L1,ENSG00000129657,SEC14L1,True,12.0,1.0,True,True
SELENBP1-1,ENSG00000143416,SELENBP1,ENSG00000143416,SELENBP1,True,12.0,1.0,True,True
SELENBP1-2,ENSG00000143416,SELENBP1,ENSG00000143416,SELENBP1,True,12.0,1.0,True,True
