guide_id,ensembl_core,perturbed_gene_name,observed_ensembl_core,observed_gene_name,design_observed_mapping_match,n_donor_state_pairs_present,minimum_identity_rows_per_donor_state,complete_12_donor_state_identity,used_for_assay_available_universe
CHRNA6-1,ENSG00000147434,CHRNA6,ENSG00000147434,CHRNA6,True,12.0,1.0,True,True
CHRNA6-2,ENSG00000147434,CHRNA6,ENSG00000147434,CHRNA6,True,12.0,1.0,True,True
CLIP1-1,ENSG00000130779,CLIP1,ENSG00000130779,CLIP1,True,12.0,1.0,True,True
CLIP1-2,ENSG00000130779,CLIP1,ENSG00000130779,CLIP1,True,12.0,1.0,True,True
COL18A1-1,ENSG00000182871,COL18A1,ENSG00000182871,COL18A1,True,12.0,1.0,True,True
COL18A1-2,ENSG00000182871,COL18A1,ENSG00000182871,COL18A1,True,12.0,1.0,True,True
COMMD6-1,ENSG00000188243,COMMD6,ENSG00000188243,COMMD6,True,12.0,1.0,True,True
COMMD6-2,ENSG00000188243,COMMD6,ENSG00000188243,COMMD6,True,12.0,1.0,True,True
COQ8A-1,ENSG00000163050,COQ8A,ENSG00000163050,COQ8A,True,12.0,1.0,True,True
COQ8A-2,ENSG00000163050,COQ8A,ENSG00000163050,COQ8A,True,12.0,1.0,True,True
CTPS2-1,ENSG00000047230,CTPS2,ENSG00000047230,CTPS2,True,12.0,1.0,True,True
CTPS2-2,ENSG00000047230,CTPS2,ENSG00000047230,CTPS2,True,12.0,1.0,True,True
CUL4A-1,ENSG00000139842,CUL4A,ENSG00000139842,CUL4A,True,12.0,1.0,True,True
CUL4A-2,ENSG00000139842,CUL4A,ENSG00000139842,CUL4A,True,12.0,1.0,True,True
CYB561-1,ENSG00000008283,CYB561,ENSG00000008283,CYB561,True,12.0,1.0,True,True
CYB561-2,ENSG00000008283,CYB561,ENSG00000008283,CYB561,True,12.0,1.0,True,True
DCP1B-1,ENSG00000151065,DCP1B,ENSG00000151065,DCP1B,True,12.0,1.0,True,True
DCP1B-2,ENSG00000151065,DCP1B,ENSG00000151065,DCP1B,True,12.0,1.0,True,True
DENND1C-1,ENSG00000205744,DENND1C,ENSG00000205744,DENND1C,True,12.0,1.0,True,True
DENND1C-2,ENSG00000205744,DENND1C,ENSG00000205744,DENND1C,True,12.0,1.0,True,True
DGKD-1,ENSG00000077044,DGKD,ENSG00000077044,DGKD,True,12.0,1.0,True,True
DGKD-2,ENSG00000077044,DGKD,ENSG00000077044,DGKD,True,12.0,1.0,True,True
DMRTA1-1,ENSG00000176399,DMRTA1,ENSG00000176399,DMRTA1,True,12.0,1.0,True,True
DMRTA1-2,ENSG00000176399,DMRTA1,ENSG00000176399,DMRTA1,True,12.0,1.0,True,True
DRG2-1,ENSG00000108591,DRG2,ENSG00000108591,DRG2,True,12.0,1.0,True,True
DRG2-2,ENSG00000108591,DRG2,ENSG00000108591,DRG2,True,12.0,1.0,True,True
ELL2-1,ENSG00000118985,ELL2,ENSG00000118985,ELL2,True,12.0,1.0,True,True
ELL2-2,ENSG00000118985,ELL2,ENSG00000118985,ELL2,True,12.0,1.0,True,True
ELP5-1,ENSG00000170291,ELP5,ENSG00000170291,ELP5,True,12.0,1.0,True,True
ELP5-2,ENSG00000170291,ELP5,ENSG00000170291,ELP5,True,12.0,1.0,True,True
ENDOG-1,ENSG00000167136,ENDOG,ENSG00000167136,ENDOG,True,12.0,1.0,True,True
ENDOG-2,ENSG00000167136,ENDOG,ENSG00000167136,ENDOG,True,12.0,1.0,True,True
ENOPH1-1,ENSG00000145293,ENOPH1,ENSG00000145293,ENOPH1,True,12.0,1.0,True,True
ENOPH1-2,ENSG00000145293,ENOPH1,ENSG00000145293,ENOPH1,True,12.0,1.0,True,True
ETS1-1,ENSG00000134954,ETS1,ENSG00000134954,ETS1,True,12.0,1.0,True,True
ETS1-2,ENSG00000134954,ETS1,ENSG00000134954,ETS1,True,12.0,1.0,True,True
F8A1-1,ENSG00000288722,F8A1,ENSG00000288722,F8A1,True,12.0,1.0,True,True
F8A1-2,ENSG00000288722,F8A1,ENSG00000288722,F8A1,True,12.0,1.0,True,True
FAM111A-1,ENSG00000166801,FAM111A,ENSG00000166801,FAM111A,True,12.0,1.0,True,True
FAM111A-2,ENSG00000166801,FAM111A,ENSG00000166801,FAM111A,True,12.0,1.0,True,True
FAM219B-1,ENSG00000178761,FAM219B,ENSG00000178761,FAM219B,True,12.0,1.0,True,True
FAM219B-2,ENSG00000178761,FAM219B,ENSG00000178761,FAM219B,True,12.0,1.0,True,True
FAM53C-1,ENSG00000120709,FAM53C,ENSG00000120709,FAM53C,True,12.0,1.0,True,True
FAM53C-2,ENSG00000120709,FAM53C,ENSG00000120709,FAM53C,True,12.0,1.0,True,True
FBXL17-1,ENSG00000145743,FBXL17,ENSG00000145743,FBXL17,True,12.0,1.0,True,True
FBXL17-2,ENSG00000145743,FBXL17,ENSG00000145743,FBXL17,True,12.0,1.0,True,True
FCER1G-1,ENSG00000158869,FCER1G,ENSG00000158869,FCER1G,True,12.0,1.0,True,True
FCER1G-2,ENSG00000158869,FCER1G,ENSG00000158869,FCER1G,True,12.0,1.0,True,True
FGR-1,ENSG00000000938,FGR,ENSG00000000938,FGR,True,12.0,1.0,True,True
FGR-2,ENSG00000000938,FGR,ENSG00000000938,FGR,True,12.0,1.0,True,True
FOXRED1-1,ENSG00000110074,FOXRED1,ENSG00000110074,FOXRED1,True,12.0,1.0,True,True
FOXRED1-2,ENSG00000110074,FOXRED1,ENSG00000110074,FOXRED1,True,12.0,1.0,True,True
FSD1-1,ENSG00000105255,FSD1,ENSG00000105255,FSD1,True,12.0,1.0,True,True
FSD1-2,ENSG00000105255,FSD1,ENSG00000105255,FSD1,True,12.0,1.0,True,True
GALNT12-1,ENSG00000119514,GALNT12,ENSG00000119514,GALNT12,True,12.0,1.0,True,True
GALNT12-2,ENSG00000119514,GALNT12,ENSG00000119514,GALNT12,True,12.0,1.0,True,True
GLDC-1,ENSG00000178445,GLDC,ENSG00000178445,GLDC,True,12.0,1.0,True,True
GLDC-2,ENSG00000178445,GLDC,ENSG00000178445,GLDC,True,12.0,1.0,True,True
GNPDA2-1,ENSG00000163281,GNPDA2,ENSG00000163281,GNPDA2,True,12.0,1.0,True,True
GNPDA2-2,ENSG00000163281,GNPDA2,ENSG00000163281,GNPDA2,True,12.0,1.0,True,True
GPR137-1,ENSG00000173264,GPR137,ENSG00000173264,GPR137,True,12.0,1.0,True,True
GPR137-2,ENSG00000173264,GPR137,ENSG00000173264,GPR137,True,12.0,1.0,True,True
GSDMA-1,ENSG00000167914,GSDMA,ENSG00000167914,GSDMA,True,12.0,1.0,True,True
GSDMA-2,ENSG00000167914,GSDMA,ENSG00000167914,GSDMA,True,12.0,1.0,True,True
HDAC1-1,ENSG00000116478,HDAC1,ENSG00000116478,HDAC1,True,12.0,1.0,True,True
HDAC1-2,ENSG00000116478,HDAC1,ENSG00000116478,HDAC1,True,12.0,1.0,True,True
HDAC7-1,ENSG00000061273,HDAC7,ENSG00000061273,HDAC7,True,12.0,1.0,True,True
HDAC7-2,ENSG00000061273,HDAC7,ENSG00000061273,HDAC7,True,12.0,1.0,True,True
HDDC3-1,ENSG00000184508,HDDC3,ENSG00000184508,HDDC3,True,12.0,1.0,True,True
HDDC3-2,ENSG00000184508,HDDC3,ENSG00000184508,HDDC3,True,12.0,1.0,True,True
HES7-1,ENSG00000179111,HES7,ENSG00000179111,HES7,True,12.0,1.0,True,True
HES7-2,ENSG00000179111,HES7,ENSG00000179111,HES7,True,12.0,1.0,True,True
HESX1-1,ENSG00000163666,HESX1,ENSG00000163666,HESX1,True,12.0,1.0,True,True
HESX1-2,ENSG00000163666,HESX1,ENSG00000163666,HESX1,True,12.0,1.0,True,True
HK2-1,ENSG00000159399,HK2,ENSG00000159399,HK2,True,12.0,1.0,True,True
HK2-2,ENSG00000159399,HK2,ENSG00000159399,HK2,True,12.0,1.0,True,True
HMGB3-1,ENSG00000029993,HMGB3,ENSG00000029993,HMGB3,True,12.0,1.0,True,True
HMGB3-2,ENSG00000029993,HMGB3,ENSG00000029993,HMGB3,True,12.0,1.0,True,True
HOMER3-1,ENSG00000051128,HOMER3,ENSG00000051128,HOMER3,True,12.0,1.0,True,True
HOMER3-2,ENSG00000051128,HOMER3,ENSG00000051128,HOMER3,True,12.0,1.0,True,True
HSH2D-1,ENSG00000196684,HSH2D,ENSG00000196684,HSH2D,True,12.0,1.0,True,True
HSH2D-2,ENSG00000196684,HSH2D,ENSG00000196684,HSH2D,True,12.0,1.0,True,True
IFIT5-1,ENSG00000152778,IFIT5,ENSG00000152778,IFIT5,True,12.0,1.0,True,True
IFIT5-2,ENSG00000152778,IFIT5,ENSG00000152778,IFIT5,True,12.0,1.0,True,True
IL10RA-1,ENSG00000110324,IL10RA,ENSG00000110324,IL10RA,True,12.0,1.0,True,True
IL10RA-2,ENSG00000110324,IL10RA,ENSG00000110324,IL10RA,True,12.0,1.0,True,True
IL18BP-1,ENSG00000137496,IL18BP,ENSG00000137496,IL18BP,True,12.0,1.0,True,True
IL18BP-2,ENSG00000137496,IL18BP,ENSG00000137496,IL18BP,True,12.0,1.0,True,True
IL6R-1,ENSG00000160712,IL6R,ENSG00000160712,IL6R,True,12.0,1.0,True,True
IL6R-2,ENSG00000160712,IL6R,ENSG00000160712,IL6R,True,12.0,1.0,True,True
IQGAP3-1,ENSG00000183856,IQGAP3,ENSG00000183856,IQGAP3,True,12.0,1.0,True,True
IQGAP3-2,ENSG00000183856,IQGAP3,ENSG00000183856,IQGAP3,True,12.0,1.0,True,True
JAM3-1,ENSG00000166086,JAM3,ENSG00000166086,JAM3,True,12.0,1.0,True,True
JAM3-2,ENSG00000166086,JAM3,ENSG00000166086,JAM3,True,12.0,1.0,True,True
KIF4A-1,ENSG00000090889,KIF4A,ENSG00000090889,KIF4A,True,12.0,1.0,True,True
KIF4A-2,ENSG00000090889,KIF4A,ENSG00000090889,KIF4A,True,12.0,1.0,True,True
KIRREL2-1,ENSG00000126259,KIRREL2,ENSG00000126259,KIRREL2,True,12.0,1.0,True,True
KIRREL2-2,ENSG00000126259,KIRREL2,ENSG00000126259,KIRREL2,True,12.0,1.0,True,True
KLF13-1,ENSG00000169926,KLF13,ENSG00000169926,KLF13,True,12.0,1.0,True,True
KLF13-2,ENSG00000169926,KLF13,ENSG00000169926,KLF13,True,12.0,1.0,True,True
LCN2-1,ENSG00000148346,LCN2,ENSG00000148346,LCN2,True,12.0,1.0,True,True
LCN2-2,ENSG00000148346,LCN2,ENSG00000148346,LCN2,True,12.0,1.0,True,True
LCORL-1,ENSG00000178177,LCORL,ENSG00000178177,LCORL,True,12.0,1.0,True,True
LCORL-2,ENSG00000178177,LCORL,ENSG00000178177,LCORL,True,12.0,1.0,True,True
LDHB-1,ENSG00000111716,LDHB,ENSG00000111716,LDHB,True,12.0,1.0,True,True
LDHB-2,ENSG00000111716,LDHB,ENSG00000111716,LDHB,True,12.0,1.0,True,True
LGR6-1,ENSG00000133067,LGR6,ENSG00000133067,LGR6,True,12.0,1.0,True,True
LGR6-2,ENSG00000133067,LGR6,ENSG00000133067,LGR6,True,12.0,1.0,True,True
LPCAT3-1,ENSG00000111684,LPCAT3,ENSG00000111684,LPCAT3,True,12.0,1.0,True,True
LPCAT3-2,ENSG00000111684,LPCAT3,ENSG00000111684,LPCAT3,True,12.0,1.0,True,True
MAPK9-1,ENSG00000050748,MAPK9,ENSG00000050748,MAPK9,True,12.0,1.0,True,True
MAPK9-2,ENSG00000050748,MAPK9,ENSG00000050748,MAPK9,True,12.0,1.0,True,True
MECOM-1,ENSG00000085276,MECOM,ENSG00000085276,MECOM,True,12.0,1.0,True,True
MECOM-2,ENSG00000085276,MECOM,ENSG00000085276,MECOM,True,12.0,1.0,True,True
MKLN1-1,ENSG00000128585,MKLN1,ENSG00000128585,MKLN1,True,12.0,1.0,True,True
MKLN1-2,ENSG00000128585,MKLN1,ENSG00000128585,MKLN1,True,12.0,1.0,True,True
MLYCD-1,ENSG00000103150,MLYCD,ENSG00000103150,MLYCD,True,12.0,1.0,True,True
MLYCD-2,ENSG00000103150,MLYCD,ENSG00000103150,MLYCD,True,12.0,1.0,True,True
MTCH1-1,ENSG00000137409,MTCH1,ENSG00000137409,MTCH1,True,12.0,1.0,True,True
MTCH1-2,ENSG00000137409,MTCH1,ENSG00000137409,MTCH1,True,12.0,1.0,True,True
MTHFD1L-1,ENSG00000120254,MTHFD1L,ENSG00000120254,MTHFD1L,True,12.0,1.0,True,True
MTHFD1L-2,ENSG00000120254,MTHFD1L,ENSG00000120254,MTHFD1L,True,12.0,1.0,True,True
MTRR-1,ENSG00000124275,MTRR,ENSG00000124275,MTRR,True,12.0,1.0,True,True
MTRR-2,ENSG00000124275,MTRR,ENSG00000124275,MTRR,True,12.0,1.0,True,True
MTX1-1,ENSG00000173171,MTX1,ENSG00000173171,MTX1,True,12.0,1.0,True,True
MTX1-2,ENSG00000173171,MTX1,ENSG00000173171,MTX1,True,12.0,1.0,True,True
MXD3-1,ENSG00000213347,MXD3,ENSG00000213347,MXD3,True,12.0,1.0,True,True
MXD3-2,ENSG00000213347,MXD3,ENSG00000213347,MXD3,True,12.0,1.0,True,True
MYL12A-1,ENSG00000101608,MYL12A,ENSG00000101608,MYL12A,True,12.0,1.0,True,True
MYL12A-2,ENSG00000101608,MYL12A,ENSG00000101608,MYL12A,True,12.0,1.0,True,True
MYLIP-1,ENSG00000007944,MYLIP,ENSG00000007944,MYLIP,True,12.0,1.0,True,True
MYLIP-2,ENSG00000007944,MYLIP,ENSG00000007944,MYLIP,True,12.0,1.0,True,True
MYO18A-1,ENSG00000196535,MYO18A,ENSG00000196535,MYO18A,True,12.0,1.0,True,True
MYO18A-2,ENSG00000196535,MYO18A,ENSG00000196535,MYO18A,True,12.0,1.0,True,True
NDE1-1,ENSG00000072864,NDE1,ENSG00000072864,NDE1,True,12.0,1.0,True,True
NDE1-2,ENSG00000072864,NDE1,ENSG00000072864,NDE1,True,12.0,1.0,True,True
NDUFS7-1,ENSG00000115286,NDUFS7,ENSG00000115286,NDUFS7,True,12.0,1.0,True,True
NDUFS7-2,ENSG00000115286,NDUFS7,ENSG00000115286,NDUFS7,True,12.0,1.0,True,True
NEK2-1,ENSG00000117650,NEK2,ENSG00000117650,NEK2,True,12.0,1.0,True,True
NEK2-2,ENSG00000117650,NEK2,ENSG00000117650,NEK2,True,12.0,1.0,True,True
NFKB2-1,ENSG00000077150,NFKB2,ENSG00000077150,NFKB2,True,12.0,1.0,True,True
NFKB2-2,ENSG00000077150,NFKB2,ENSG00000077150,NFKB2,True,12.0,1.0,True,True
NFKBIA-1,ENSG00000100906,NFKBIA,ENSG00000100906,NFKBIA,True,12.0,1.0,True,True
NFKBIA-2,ENSG00000100906,NFKBIA,ENSG00000100906,NFKBIA,True,12.0,1.0,True,True
NOD1-1,ENSG00000106100,NOD1,ENSG00000106100,NOD1,True,12.0,1.0,True,True
NOD1-2,ENSG00000106100,NOD1,ENSG00000106100,NOD1,True,12.0,1.0,True,True
