setting,n_tasks,median_rmse,mean_rmse
context_and_perturbation_unseen,90,0.05029188282787795,0.053220019448134585
context_unseen_row,477,0.0498315617442131,0.05297739385964981
perturbation_unseen_column,180,0.0492058135569095,0.052802350330683874
random_missing_pair,90,0.04756097868084905,0.04947022472818688
