dataset,fold_id,target,score,n_tasks,spearman
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,error_two_predictor_mean_rmse,safeconf_calibrated_pair_risk,51,0.24208144796380088
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,51,0.14678733031674207
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,error_two_predictor_mean_rmse,risk_model_disagreement,51,0.15665158371040722
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,error_two_predictor_mean_rmse,baseline_predicted_magnitude,51,0.12199095022624433
Santinha,Santinha_context_holdout_4_Neurons_L_5,error_two_predictor_mean_rmse,safeconf_calibrated_pair_risk,51,-0.09020622061892905
Santinha,Santinha_context_holdout_4_Neurons_L_5,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,51,-0.05945701357466063
Santinha,Santinha_context_holdout_4_Neurons_L_5,error_two_predictor_mean_rmse,risk_model_disagreement,51,-0.061538461538461535
Santinha,Santinha_context_holdout_4_Neurons_L_5,error_two_predictor_mean_rmse,baseline_predicted_magnitude,51,0.12660633484162895
Santinha,Santinha_context_holdout_5_Neurons_L_6,error_two_predictor_mean_rmse,safeconf_calibrated_pair_risk,51,0.07390292987617261
Santinha,Santinha_context_holdout_5_Neurons_L_6,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,51,-0.4081447963800905
Santinha,Santinha_context_holdout_5_Neurons_L_6,error_two_predictor_mean_rmse,risk_model_disagreement,51,-0.4932126696832579
Santinha,Santinha_context_holdout_5_Neurons_L_6,error_two_predictor_mean_rmse,baseline_predicted_magnitude,51,-0.2495927601809955
