scope,target,comparator,unit,delta,ci95_low,ci95_high,p_gt_zero
Frangieh,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.011194129105613659,-0.027846638280786595,0.05561666639352418,0.699
Lara_exvivo,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.03210814760686883,-0.01781866320881575,0.0942854682284524,0.833
Santinha,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.15950709036019428,-0.07591561128007808,0.428573426434682,0.9045
three_dataset_macro,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,fixed_three_datasets,0.06760312235755893,-0.01729058255149221,0.15706876139364698,0.934
three_dataset_macro,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,dataset_population_plus_fold_plus_perturbation,0.06760312235755893,-0.008463244590007716,0.2031499743600619,0.94
Frangieh,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.11571162110279931,-0.0347936511728305,0.28285153492425297,0.9245
Lara_exvivo,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.21102667153818047,0.06316648403701544,0.3550885834680848,0.998
Santinha,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.1913984930751264,-0.10214166786426508,0.4790568862313896,0.902
three_dataset_macro,error_two_predictor_mean_rmse,risk_model_disagreement,fixed_three_datasets,0.1727122619053687,0.04495378382549882,0.2941880125534753,0.9975
three_dataset_macro,error_two_predictor_mean_rmse,risk_model_disagreement,dataset_population_plus_fold_plus_perturbation,0.1727122619053687,0.05095117148040256,0.30464411553044085,0.9945
Frangieh,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.10485818403678393,-0.044929635508847335,0.25494835751440725,0.912
Lara_exvivo,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.23962002192181217,0.08302455459456533,0.3891950325831932,1.0
Santinha,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.1538962306316875,-0.1588353438422125,0.4418678328463427,0.8155
three_dataset_macro,error_two_predictor_mean_rmse,baseline_predicted_magnitude,fixed_three_datasets,0.1661248121967612,0.02960624207618946,0.2859048094127865,0.9925
three_dataset_macro,error_two_predictor_mean_rmse,baseline_predicted_magnitude,dataset_population_plus_fold_plus_perturbation,0.1661248121967612,0.021912719102044575,0.29769348186610256,0.993
