alpha_magnitude,spearman,utility,capture,selected_mean_error
0.0,0.44392695554809486,0.3651302725946337,0.38523357686154386,0.07344878661932136
0.05,0.47120404242739194,0.4145126327828657,0.4120130800858355,0.07497288612372886
0.1,0.49984088608971666,0.4463777929275822,0.42834400816856955,0.07598668766466574
0.15,0.5280437329908854,0.49179310168217233,0.44251696780076555,0.07747300088907597
0.2,0.555761760590044,0.5255068388597528,0.4653918292463184,0.07845689157908278
0.25,0.5849741191082264,0.5722174557525176,0.4854707575037812,0.07987443523452488
0.3,0.6126351121922,0.6069644987289169,0.5086475038358423,0.0810217181299124
0.35,0.6388868382944453,0.643175242725691,0.5383681835307222,0.0821778756432967
0.4,0.6637365097410236,0.6898540502412134,0.5724748281378829,0.08362717693628996
0.45,0.6868908396322613,0.7095811217954344,0.580585177540802,0.08426421974228004
0.5,0.7075609516878137,0.7154397878140888,0.5878371036523771,0.08445805722493002
0.55,0.7254407097825835,0.7345807950958533,0.6048296121567536,0.08502652489889388
0.6,0.7395537040973501,0.7492687524331854,0.6100389863547758,0.08543873724826193
0.65,0.7492091409665526,0.7654870780163051,0.6256217204230621,0.08593776029252742
0.7,0.7557122054146541,0.7794621872185418,0.6352870875445695,0.08637674674280924
0.75,0.7594756180849076,0.7847821324072941,0.6449874686716792,0.08655540716167447
0.8,0.7603953062195882,0.7822050640504118,0.6494836628608558,0.0864425119011137
0.85,0.7581789481488028,0.7779296225155228,0.6487704828520102,0.08636169535635115
0.9,0.7543352645545465,0.7739422977787437,0.6517466733282007,0.0862486770552012
0.95,0.7485618612790355,0.7719249611053582,0.6457592783702175,0.08613225937707429
1.0,0.7421009069404304,0.7688113334356246,0.6426378446115288,0.08600946310383208
