fold_id,train_fraction,n_train_pairs,n_train_contexts,n_train_perturbations
Cui_direct_context_holdout_1_Macrophage,0.25,30,5,22
Cui_direct_context_holdout_1_Macrophage,0.5,63,5,28
Cui_direct_context_holdout_1_Macrophage,0.75,98,5,31
Cui_direct_context_holdout_1_Macrophage,1.0,128,5,32
Cui_direct_context_holdout_2_MigDC,0.25,31,5,20
Cui_direct_context_holdout_2_MigDC,0.5,63,5,28
Cui_direct_context_holdout_2_MigDC,0.75,97,5,31
Cui_direct_context_holdout_2_MigDC,1.0,128,5,32
Cui_direct_context_holdout_3_T_cell_CD4,0.25,33,5,20
Cui_direct_context_holdout_3_T_cell_CD4,0.5,63,5,28
Cui_direct_context_holdout_3_T_cell_CD4,0.75,95,5,32
Cui_direct_context_holdout_3_T_cell_CD4,1.0,128,5,32
Cui_direct_context_holdout_4_T_cell_CD8,0.25,33,5,21
Cui_direct_context_holdout_4_T_cell_CD8,0.5,65,5,32
Cui_direct_context_holdout_4_T_cell_CD8,0.75,95,5,32
Cui_direct_context_holdout_4_T_cell_CD8,1.0,128,5,32
Cui_direct_context_holdout_5_T_cell_gd,0.25,32,5,21
Cui_direct_context_holdout_5_T_cell_gd,0.5,64,5,31
Cui_direct_context_holdout_5_T_cell_gd,0.75,96,5,32
Cui_direct_context_holdout_5_T_cell_gd,1.0,128,5,32
Cui_direct_context_holdout_6_Treg,0.25,32,5,18
Cui_direct_context_holdout_6_Treg,0.5,63,5,27
Cui_direct_context_holdout_6_Treg,0.75,96,5,32
Cui_direct_context_holdout_6_Treg,1.0,128,5,32
