seed,model,epoch,train_mse,validation_mse
3407,scGPT,1,0.3645431896867721,0.014057863584679106
3407,scGPT,2,0.02207820043948136,0.011184216902145872
3407,scGPT,3,0.022433675457968524,0.01602095179259777
3407,scGPT,4,0.024365274897335393,0.01365582855499309
3407,scGPT,5,0.02327007589567649,0.017974162838705208
3407,GEARS,1,0.026282408960947867,0.01273760033528442
3407,GEARS,2,0.021573920366599372,0.012986337624328293
3407,GEARS,3,0.020930428989231586,0.013212170816310074
3407,GEARS,4,0.02063587337340179,0.013213096915379814
3407,GEARS,5,0.020649231504648924,0.01371569615667281
3407,GEARS,6,0.02008695880833425,0.013618460370470648
3407,GEARS,7,0.020503581231950146,0.013183529104065636
3408,scGPT,1,0.181540916918924,0.011638209669162397
3408,scGPT,2,0.022021671708085035,0.011451705925814484
3408,scGPT,3,0.02200252538252818,0.011627547199959341
3408,scGPT,4,0.02283570234124598,0.012132174497389275
3408,scGPT,5,0.022464778323314692,0.01119026610546786
3408,scGPT,6,0.022233663175843264,0.012744043994209042
3408,scGPT,7,0.02218518430661214,0.01161274668234198
3408,scGPT,8,0.022378575399910148,0.012691627378049105
3408,GEARS,1,0.02546203602105379,0.012525961612877638
3408,GEARS,2,0.021627964647976977,0.012495485195161207
3408,GEARS,3,0.02070186990558317,0.013055200243125792
3408,GEARS,4,0.0204554619022498,0.013146600321583126
3408,GEARS,5,0.020135120660262674,0.012908094015944263
3408,GEARS,6,0.019894706600002553,0.013196357201946817
3408,GEARS,7,0.019701524171978235,0.01339387930119815
3408,GEARS,8,0.01983460600144769,0.013098537719444088
3409,scGPT,1,0.38153360244867046,0.012710106599590053
3409,scGPT,2,0.022984568421777925,0.01578559260815382
3409,scGPT,3,0.02227436959449398,0.011868890010468338
3409,scGPT,4,0.022727657918279107,0.011169846675804129
3409,scGPT,5,0.022149331205965656,0.011266775307771952
3409,scGPT,6,0.022382429653876705,0.011170636477839687
3409,scGPT,7,0.02243983892625884,0.012133952918583933
3409,GEARS,1,0.02591234232348047,0.012765832063134598
3409,GEARS,2,0.02152730735312951,0.01300579807518617
3409,GEARS,3,0.020787794265503947,0.013495128844743189
3409,GEARS,4,0.020444258728897886,0.013175249909577162
3409,GEARS,5,0.020177417140650123,0.013318054418524971
3409,GEARS,6,0.0199865786554782,0.013206400908529758
3409,GEARS,7,0.019974468104345233,0.01322248098238007
