dataset,predictor,similarity,score,n_folds,spearman_risk_vs_retrieval_error
Santinha,GEARS,pearson,baseline_predicted_magnitude,5,-0.13118010350899895
Santinha,GEARS,pearson,directional_risk_frozen,5,-0.15287340088981058
Santinha,GEARS,pearson,risk_model_disagreement,5,-0.19897935340777773
Santinha,GEARS,pearson,safeconf_calibrated_pair_risk,5,0.01314611538182584
Santinha,scGPT,cosine,baseline_predicted_magnitude,5,-0.06758893280632412
Santinha,scGPT,cosine,directional_risk_frozen,5,-0.05810276679841897
Santinha,scGPT,cosine,risk_model_disagreement,5,-0.13122529644268774
Santinha,scGPT,cosine,safeconf_calibrated_pair_risk,5,-0.04677265829366527
Santinha,scGPT,pearson,baseline_predicted_magnitude,5,0.08214805504637294
Santinha,scGPT,pearson,directional_risk_frozen,5,0.049819025762526725
Santinha,scGPT,pearson,risk_model_disagreement,5,0.09657185563718453
Santinha,scGPT,pearson,safeconf_calibrated_pair_risk,5,0.02909025141793628
Shifrut,GEARS,cosine,baseline_predicted_magnitude,4,-0.34067253171989315
Shifrut,GEARS,cosine,directional_risk_frozen,4,0.08583567275619544
Shifrut,GEARS,cosine,risk_model_disagreement,4,-0.11246866605857467
Shifrut,GEARS,cosine,safeconf_calibrated_pair_risk,4,-0.08498775009881093
Shifrut,GEARS,pearson,baseline_predicted_magnitude,4,-0.34243385874540067
Shifrut,GEARS,pearson,directional_risk_frozen,4,0.12124955358767157
Shifrut,GEARS,pearson,risk_model_disagreement,4,-0.11752886067443719
Shifrut,GEARS,pearson,safeconf_calibrated_pair_risk,4,-0.05532847324467638
Shifrut,scGPT,cosine,baseline_predicted_magnitude,4,-0.0735182299371005
Shifrut,scGPT,cosine,directional_risk_frozen,4,-0.024609706982767765
Shifrut,scGPT,cosine,risk_model_disagreement,4,0.07728667870651278
Shifrut,scGPT,cosine,safeconf_calibrated_pair_risk,4,-0.03140236099033274
Shifrut,scGPT,pearson,baseline_predicted_magnitude,4,-0.1112781954887218
Shifrut,scGPT,pearson,directional_risk_frozen,4,0.04887218045112781
Shifrut,scGPT,pearson,risk_model_disagreement,4,0.12030075187969921
Shifrut,scGPT,pearson,safeconf_calibrated_pair_risk,4,0.05263157894736842
Tian_CRISPRi,GEARS,cosine,baseline_predicted_magnitude,4,-0.05725879984157281
Tian_CRISPRi,GEARS,cosine,directional_risk_frozen,4,0.012920527928161011
Tian_CRISPRi,GEARS,cosine,risk_model_disagreement,4,-0.012020686102173841
Tian_CRISPRi,GEARS,cosine,safeconf_calibrated_pair_risk,4,-0.003754858103631119
Tian_CRISPRi,GEARS,pearson,baseline_predicted_magnitude,4,-0.041919890313897375
Tian_CRISPRi,GEARS,pearson,directional_risk_frozen,4,0.03278473355217523
Tian_CRISPRi,GEARS,pearson,risk_model_disagreement,4,-0.004122470156506578
Tian_CRISPRi,GEARS,pearson,safeconf_calibrated_pair_risk,4,-0.025218829041178024
Tian_CRISPRi,scGPT,cosine,baseline_predicted_magnitude,4,0.011130376244720575
Tian_CRISPRi,scGPT,cosine,directional_risk_frozen,4,-0.008694279643461984
Tian_CRISPRi,scGPT,cosine,risk_model_disagreement,4,-0.07119404423851891
Tian_CRISPRi,scGPT,cosine,safeconf_calibrated_pair_risk,4,-0.017338512003543027
Tian_CRISPRi,scGPT,pearson,baseline_predicted_magnitude,4,0.07893399434348754
Tian_CRISPRi,scGPT,pearson,directional_risk_frozen,4,0.0013728691936388078
Tian_CRISPRi,scGPT,pearson,risk_model_disagreement,4,-0.061361425474708915
Tian_CRISPRi,scGPT,pearson,safeconf_calibrated_pair_risk,4,0.0007718143732950503
