dataset,fold_id,predictor,similarity,n_draws,n_draws_below_10,minimum_weighted_queries,maximum_weighted_queries,fraction_draws_below_10
Frangieh,frangieh_context_holdout_1_Co-culture,GEARS,cosine,3000,0,238,313,0.0
Frangieh,frangieh_context_holdout_1_Co-culture,GEARS,pearson,3000,0,238,313,0.0
Frangieh,frangieh_context_holdout_1_Co-culture,scGPT,cosine,3000,0,238,313,0.0
Frangieh,frangieh_context_holdout_1_Co-culture,scGPT,pearson,3000,0,238,313,0.0
Frangieh,frangieh_context_holdout_2_Control,GEARS,cosine,3000,0,235,317,0.0
Frangieh,frangieh_context_holdout_2_Control,GEARS,pearson,3000,0,235,317,0.0
Frangieh,frangieh_context_holdout_2_Control,scGPT,cosine,3000,0,235,317,0.0
Frangieh,frangieh_context_holdout_2_Control,scGPT,pearson,3000,0,235,317,0.0
Frangieh,frangieh_context_holdout_3_IFNγ,GEARS,cosine,3000,0,234,322,0.0
Frangieh,frangieh_context_holdout_3_IFNγ,GEARS,pearson,3000,0,234,322,0.0
Frangieh,frangieh_context_holdout_3_IFNγ,scGPT,cosine,3000,0,234,322,0.0
Frangieh,frangieh_context_holdout_3_IFNγ,scGPT,pearson,3000,0,234,322,0.0
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GEARS,cosine,3000,0,34,71,0.0
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GEARS,pearson,3000,0,34,71,0.0
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,scGPT,cosine,3000,0,34,71,0.0
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,scGPT,pearson,3000,0,34,71,0.0
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GEARS,cosine,3000,0,33,73,0.0
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GEARS,pearson,3000,0,33,73,0.0
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,scGPT,cosine,3000,0,33,73,0.0
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,scGPT,pearson,3000,0,33,73,0.0
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GEARS,cosine,3000,0,42,84,0.0
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GEARS,pearson,3000,0,42,84,0.0
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),scGPT,cosine,3000,0,42,84,0.0
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),scGPT,pearson,3000,0,42,84,0.0
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GEARS,cosine,3000,0,33,69,0.0
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GEARS,pearson,3000,0,33,69,0.0
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,scGPT,cosine,3000,0,33,69,0.0
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,scGPT,pearson,3000,0,33,69,0.0
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GEARS,cosine,3000,0,26,64,0.0
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GEARS,pearson,3000,0,26,64,0.0
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,scGPT,cosine,3000,0,26,64,0.0
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,scGPT,pearson,3000,0,26,64,0.0
Liang,Liang_context_holdout_1_DM2_1,GEARS,cosine,3000,34,6,32,0.011333333333333334
Liang,Liang_context_holdout_1_DM2_1,GEARS,pearson,3000,34,6,32,0.011333333333333334
Liang,Liang_context_holdout_1_DM2_1,scGPT,cosine,3000,34,6,32,0.011333333333333334
Liang,Liang_context_holdout_1_DM2_1,scGPT,pearson,3000,34,6,32,0.011333333333333334
Liang,Liang_context_holdout_2_DM2_2,GEARS,cosine,3000,37,6,32,0.012333333333333333
Liang,Liang_context_holdout_2_DM2_2,GEARS,pearson,3000,37,6,32,0.012333333333333333
Liang,Liang_context_holdout_2_DM2_2,scGPT,cosine,3000,37,6,32,0.012333333333333333
Liang,Liang_context_holdout_2_DM2_2,scGPT,pearson,3000,37,6,32,0.012333333333333333
Liang,Liang_context_holdout_3_DM2_3,GEARS,cosine,3000,38,5,33,0.012666666666666666
Liang,Liang_context_holdout_3_DM2_3,GEARS,pearson,3000,38,5,33,0.012666666666666666
Liang,Liang_context_holdout_3_DM2_3,scGPT,cosine,3000,38,5,33,0.012666666666666666
Liang,Liang_context_holdout_3_DM2_3,scGPT,pearson,3000,38,5,33,0.012666666666666666
Liang,Liang_context_holdout_4_DM2_4,GEARS,cosine,3000,33,6,35,0.011
Liang,Liang_context_holdout_4_DM2_4,GEARS,pearson,3000,33,6,35,0.011
Liang,Liang_context_holdout_4_DM2_4,scGPT,cosine,3000,33,6,35,0.011
Liang,Liang_context_holdout_4_DM2_4,scGPT,pearson,3000,33,6,35,0.011
Liang,Liang_context_holdout_5_DM2_5,GEARS,cosine,3000,28,5,38,0.009333333333333334
Liang,Liang_context_holdout_5_DM2_5,GEARS,pearson,3000,28,5,38,0.009333333333333334
Liang,Liang_context_holdout_5_DM2_5,scGPT,cosine,3000,28,5,38,0.009333333333333334
Liang,Liang_context_holdout_5_DM2_5,scGPT,pearson,3000,28,5,38,0.009333333333333334
Liang,Liang_context_holdout_6_DM2_6,GEARS,cosine,3000,45,5,37,0.015
Liang,Liang_context_holdout_6_DM2_6,GEARS,pearson,3000,45,5,37,0.015
Liang,Liang_context_holdout_6_DM2_6,scGPT,cosine,3000,45,5,37,0.015
Liang,Liang_context_holdout_6_DM2_6,scGPT,pearson,3000,45,5,37,0.015
Liang,Liang_context_holdout_7_EM2_1,GEARS,cosine,3000,37,5,31,0.012333333333333333
Liang,Liang_context_holdout_7_EM2_1,GEARS,pearson,3000,37,5,31,0.012333333333333333
Liang,Liang_context_holdout_7_EM2_1,scGPT,cosine,3000,37,5,31,0.012333333333333333
Liang,Liang_context_holdout_7_EM2_1,scGPT,pearson,3000,37,5,31,0.012333333333333333
Liang,Liang_context_holdout_8_EM2_2,GEARS,cosine,3000,38,5,35,0.012666666666666666
Liang,Liang_context_holdout_8_EM2_2,GEARS,pearson,3000,38,5,35,0.012666666666666666
Liang,Liang_context_holdout_8_EM2_2,scGPT,cosine,3000,38,5,35,0.012666666666666666
Liang,Liang_context_holdout_8_EM2_2,scGPT,pearson,3000,38,5,35,0.012666666666666666
Liang,Liang_context_holdout_9_EM2_3,GEARS,cosine,3000,35,6,35,0.011666666666666667
Liang,Liang_context_holdout_9_EM2_3,GEARS,pearson,3000,35,6,35,0.011666666666666667
Liang,Liang_context_holdout_9_EM2_3,scGPT,cosine,3000,35,6,35,0.011666666666666667
Liang,Liang_context_holdout_9_EM2_3,scGPT,pearson,3000,35,6,35,0.011666666666666667
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,GEARS,cosine,3000,0,106,154,0.0
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,GEARS,pearson,3000,0,106,154,0.0
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,scGPT,cosine,3000,0,106,154,0.0
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,scGPT,pearson,3000,0,106,154,0.0
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,GEARS,cosine,3000,0,103,148,0.0
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,GEARS,pearson,3000,0,103,148,0.0
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,scGPT,cosine,3000,0,103,148,0.0
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,scGPT,pearson,3000,0,103,148,0.0
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,GEARS,cosine,3000,0,10,42,0.0
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,GEARS,pearson,3000,0,10,42,0.0
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,scGPT,cosine,3000,0,10,42,0.0
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,scGPT,pearson,3000,0,10,42,0.0
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,GEARS,cosine,3000,0,10,38,0.0
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,GEARS,pearson,3000,0,10,38,0.0
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,scGPT,cosine,3000,0,10,38,0.0
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,scGPT,pearson,3000,0,10,38,0.0
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,GEARS,cosine,3000,0,10,38,0.0
