metric,n_bootstrap,n_finite,median,ci95_low,ci95_high,fraction_above_zero
directional_risk_frozen__scGPT__pearson,3000,3000,0.000992422650953246,-0.05594943475219077,0.05851577769259978,0.5146666666666667
directional_risk_frozen__scGPT__cosine,3000,3000,-0.04309970414701089,-0.09789979097087292,0.011980529875759763,0.06066666666666667
directional_risk_frozen__GEARS__pearson,3000,3000,0.1297724283354829,0.0738877670089324,0.18585040577943424,1.0
directional_risk_frozen__GEARS__cosine,3000,3000,0.11753414675305632,0.06172457819529587,0.17378145418021432,1.0
safeconf_calibrated_pair_risk__scGPT__pearson,3000,3000,-0.026861051924024097,-0.08368352925227965,0.03252993750418699,0.185
safeconf_calibrated_pair_risk__scGPT__cosine,3000,3000,-0.05684468767951734,-0.11480622144925277,0.00020183010016484735,0.025666666666666667
safeconf_calibrated_pair_risk__GEARS__pearson,3000,3000,-0.038350408465464746,-0.0943253658542086,0.021600653068802943,0.09966666666666667
safeconf_calibrated_pair_risk__GEARS__cosine,3000,3000,-0.04015423592103301,-0.09691666346417833,0.017859720014151557,0.09066666666666667
baseline_predicted_magnitude__scGPT__pearson,3000,3000,-0.02649738668655851,-0.08354394603005315,0.03055505102450873,0.18466666666666667
baseline_predicted_magnitude__scGPT__cosine,3000,3000,-0.07776731256369745,-0.133942626434919,-0.019981883984719187,0.0036666666666666666
baseline_predicted_magnitude__GEARS__pearson,3000,3000,-0.19232262548688878,-0.245193262537254,-0.13689546097460065,0.0
baseline_predicted_magnitude__GEARS__cosine,3000,3000,-0.1934012934778424,-0.2444915908186652,-0.13934684449739843,0.0
risk_model_disagreement__scGPT__pearson,3000,3000,0.002317450089208117,-0.055256085326216446,0.056019357489198326,0.532
risk_model_disagreement__scGPT__cosine,3000,3000,-0.05217063154089935,-0.10538835625501931,0.0015355618016765615,0.029666666666666668
risk_model_disagreement__GEARS__pearson,3000,3000,-0.18418445778534603,-0.24029298781012745,-0.12855958972902476,0.0
risk_model_disagreement__GEARS__cosine,3000,3000,-0.18835568298698013,-0.24503760013788572,-0.13159974807333388,0.0
delta_directional_vs_safeconf_calibrated_pair_risk__scGPT__pearson,3000,3000,0.02750921110709027,-0.030089398515596767,0.08810993233267567,0.8223333333333334
delta_directional_vs_baseline_predicted_magnitude__scGPT__pearson,3000,3000,0.027182306008482895,-0.03682802402950629,0.091356045927475,0.7976666666666666
delta_directional_vs_risk_model_disagreement__scGPT__pearson,3000,3000,9.546462439100067e-05,-0.07829492571961977,0.07030225429573293,0.501
delta_directional_vs_safeconf_calibrated_pair_risk__scGPT__cosine,3000,3000,0.013571449496004813,-0.038763779011530795,0.06783381860410438,0.7
delta_directional_vs_baseline_predicted_magnitude__scGPT__cosine,3000,3000,0.033935441446695774,-0.026733532344577378,0.09776668040179329,0.8703333333333333
delta_directional_vs_risk_model_disagreement__scGPT__cosine,3000,3000,0.008689874328698003,-0.0594097479363039,0.0789064992814658,0.594
delta_directional_vs_safeconf_calibrated_pair_risk__GEARS__pearson,3000,3000,0.16770968700986078,0.11122650368120855,0.2205660390098913,1.0
delta_directional_vs_baseline_predicted_magnitude__GEARS__pearson,3000,3000,0.3224905690106522,0.2614062051757381,0.37867636379427544,1.0
delta_directional_vs_risk_model_disagreement__GEARS__pearson,3000,3000,0.3131959278387894,0.24466069176382446,0.3829489353847955,1.0
delta_directional_vs_safeconf_calibrated_pair_risk__GEARS__cosine,3000,3000,0.15714224938443241,0.09991835550491628,0.21148467222140194,1.0
delta_directional_vs_baseline_predicted_magnitude__GEARS__cosine,3000,3000,0.3112117033957641,0.24998509038204944,0.3669384447036053,1.0
delta_directional_vs_risk_model_disagreement__GEARS__cosine,3000,3000,0.305607019149047,0.23393127062066627,0.374669387228557,1.0
