metric,n_bootstrap,n_finite,median,ci95_low,ci95_high,fraction_above_zero
directional_risk_frozen__scGPT__pearson,3000,3000,0.0010056573812787348,-0.05581409900016801,0.05860459529112564,0.5156666666666667
directional_risk_frozen__scGPT__cosine,3000,3000,-0.04287899467677586,-0.09768201676469551,0.011980529875759763,0.058666666666666666
directional_risk_frozen__GEARS__pearson,3000,3000,0.12980583796775408,0.0740894049885722,0.18618913441153015,1.0
directional_risk_frozen__GEARS__cosine,3000,3000,0.11745704279674984,0.06178231327540657,0.17381058170111008,1.0
safeconf_calibrated_pair_risk__scGPT__pearson,3000,3000,-0.027043424236632925,-0.08416940344363322,0.032910041813579545,0.186
safeconf_calibrated_pair_risk__scGPT__cosine,3000,3000,-0.05665851984523933,-0.11484388316960648,0.00032682885069299563,0.026333333333333334
safeconf_calibrated_pair_risk__GEARS__pearson,3000,3000,-0.03837398665062042,-0.09464473110758036,0.021685918311126488,0.099
safeconf_calibrated_pair_risk__GEARS__cosine,3000,3000,-0.03995227876239416,-0.09689337091019716,0.017850261904144425,0.09033333333333333
baseline_predicted_magnitude__scGPT__pearson,3000,3000,-0.026445675305109932,-0.08345436352925885,0.030841587696994417,0.18366666666666667
baseline_predicted_magnitude__scGPT__cosine,3000,3000,-0.07769434156801729,-0.13370807782205912,-0.019981883984719187,0.0036666666666666666
baseline_predicted_magnitude__GEARS__pearson,3000,3000,-0.19255634658220905,-0.24490189658593783,-0.13715129833278258,0.0
baseline_predicted_magnitude__GEARS__cosine,3000,3000,-0.19358362310026161,-0.24464449967019,-0.13938801034678383,0.0
risk_model_disagreement__scGPT__pearson,3000,3000,0.002390096485154546,-0.05522498541252218,0.056019357489198326,0.531
risk_model_disagreement__scGPT__cosine,3000,3000,-0.0521313776462391,-0.10576116903661992,0.0015913132717261026,0.030666666666666665
risk_model_disagreement__GEARS__pearson,3000,3000,-0.18421260247605692,-0.24150272009929072,-0.12814773702739904,0.0
risk_model_disagreement__GEARS__cosine,3000,3000,-0.18836880580938636,-0.24576020032052542,-0.13158921418734307,0.0
delta_directional_vs_safeconf_calibrated_pair_risk__scGPT__pearson,3000,3000,0.027517904289265677,-0.029905703058017617,0.08799242232706096,0.8243333333333334
delta_directional_vs_baseline_predicted_magnitude__scGPT__pearson,3000,3000,0.02725411865267667,-0.03667196805738203,0.09121420776044373,0.797
delta_directional_vs_risk_model_disagreement__scGPT__pearson,3000,3000,0.00020317105340415895,-0.07817058794220769,0.07050773919054718,0.5023333333333333
delta_directional_vs_safeconf_calibrated_pair_risk__scGPT__cosine,3000,3000,0.013484789633927954,-0.038763779011530795,0.06783381860410438,0.701
delta_directional_vs_baseline_predicted_magnitude__scGPT__cosine,3000,3000,0.033955156243874435,-0.026733532344577378,0.09838126354513616,0.8713333333333333
delta_directional_vs_risk_model_disagreement__scGPT__cosine,3000,3000,0.008659588473692942,-0.05928673235063046,0.0788220426714316,0.5946666666666667
delta_directional_vs_safeconf_calibrated_pair_risk__GEARS__pearson,3000,3000,0.16763995505736676,0.11122314934831086,0.22039672497408305,1.0
delta_directional_vs_baseline_predicted_magnitude__GEARS__pearson,3000,3000,0.3227738854213986,0.26131281398866674,0.37949875127778143,1.0
delta_directional_vs_risk_model_disagreement__GEARS__pearson,3000,3000,0.3131857976795525,0.24450183994657937,0.3829489353847955,1.0
delta_directional_vs_safeconf_calibrated_pair_risk__GEARS__cosine,3000,3000,0.15709728955022445,0.09991798440285148,0.21154671329733127,1.0
delta_directional_vs_baseline_predicted_magnitude__GEARS__cosine,3000,3000,0.3112117033957641,0.24968754861094622,0.36739560947302363,1.0
delta_directional_vs_risk_model_disagreement__GEARS__cosine,3000,3000,0.3056840423073051,0.23393127062066627,0.3750647922521737,1.0
