dataset,predictor,similarity,n_valid_queries,normalized_correct_rank_mean,normalized_correct_rank_median,retrieval_error_mean,top1_rate,top5_rate,mean_candidate_pool
Frangieh,GEARS,cosine,837,0.5372324682135896,0.5425531914893617,0.4627675317864104,0.021505376344086023,0.08243727598566308,142.67741935483872
Frangieh,GEARS,pearson,837,0.5374138881117809,0.5478723404255319,0.462586111888219,0.021505376344086023,0.08363201911589008,142.67741935483872
Frangieh,scGPT,cosine,837,0.49987128038557377,0.5,0.5001287196144263,0.010752688172043012,0.053763440860215055,142.67741935483872
Frangieh,scGPT,pearson,837,0.5001969625800229,0.5,0.4998030374199771,0.011947431302270013,0.053763440860215055,142.67741935483872
Lara_exvivo,GEARS,cosine,259,0.7972621972621973,0.9333333333333333,0.20273780273780273,0.43243243243243246,0.7335907335907336,22.745173745173744
Lara_exvivo,GEARS,pearson,259,0.7995865995865995,0.9333333333333333,0.20041340041340042,0.4247104247104247,0.7181467181467182,22.745173745173744
Lara_exvivo,scGPT,cosine,259,0.5000429000429001,0.5,0.4999570999570999,0.06177606177606178,0.29343629343629346,22.745173745173744
Lara_exvivo,scGPT,pearson,259,0.500986700986701,0.5,0.499013299013299,0.05791505791505792,0.29343629343629346,22.745173745173744
Liang,GEARS,cosine,162,0.7574437182280319,0.8823529411764706,0.24255628177196806,0.37037037037037035,0.6666666666666666,18.0
Liang,GEARS,pearson,162,0.760711692084241,0.9117647058823529,0.2392883079157589,0.37037037037037035,0.691358024691358,18.0
Liang,scGPT,cosine,162,0.5003631082062455,0.47058823529411764,0.49963689179375453,0.05555555555555555,0.2777777777777778,18.0
Liang,scGPT,pearson,162,0.49963689179375453,0.47058823529411764,0.5003631082062455,0.05555555555555555,0.2777777777777778,18.0
Nadig_two_cellline,GEARS,cosine,256,0.6073058149405772,0.6421052631578947,0.3926941850594228,0.08984375,0.22265625,80.0
Nadig_two_cellline,GEARS,pearson,256,0.6177883595076401,0.6684210526315789,0.38221164049235995,0.10546875,0.20703125,80.0
Nadig_two_cellline,scGPT,cosine,256,0.5,0.5,0.5,0.015625,0.078125,80.0
Nadig_two_cellline,scGPT,pearson,256,0.4994986205432937,0.5,0.5005013794567063,0.015625,0.078125,80.0
Santinha,GEARS,cosine,115,0.5648221343873517,0.5909090909090909,0.4351778656126482,0.06086956521739131,0.3217391304347826,23.0
Santinha,GEARS,pearson,115,0.5624505928853756,0.5909090909090909,0.43754940711462453,0.05217391304347826,0.33043478260869563,23.0
Santinha,scGPT,cosine,115,0.5,0.5,0.5,0.043478260869565216,0.21739130434782608,23.0
Santinha,scGPT,pearson,115,0.49960474308300395,0.5,0.500395256916996,0.043478260869565216,0.21739130434782608,23.0
Shifrut,GEARS,cosine,80,0.5855263157894737,0.6052631578947368,0.4144736842105264,0.1625,0.375,20.0
Shifrut,GEARS,pearson,80,0.5743421052631579,0.5789473684210527,0.4256578947368421,0.175,0.375,20.0
Shifrut,scGPT,cosine,80,0.5006578947368421,0.5,0.49934210526315786,0.05,0.25,20.0
Shifrut,scGPT,pearson,80,0.5,0.5,0.5,0.05,0.25,20.0
Tian_CRISPRi,GEARS,cosine,732,0.4966476518957453,0.48148148148148145,0.5033523481042547,0.025956284153005466,0.10792349726775956,66.48633879781421
Tian_CRISPRi,GEARS,pearson,732,0.4964727274490866,0.4827586206896552,0.5035272725509133,0.023224043715846996,0.11612021857923498,66.48633879781421
Tian_CRISPRi,scGPT,cosine,732,0.49993895240402547,0.5,0.5000610475959745,0.02185792349726776,0.1092896174863388,66.48633879781421
Tian_CRISPRi,scGPT,pearson,732,0.4993574542246347,0.5,0.5006425457753653,0.02185792349726776,0.11065573770491803,66.48633879781421
