draw,n_fold_endpoint_evaluations,n_fold_endpoint_evaluations_below_10,n_unique_dataset_fold_evaluations,n_unique_dataset_fold_evaluations_below_10,any_fold_endpoint_below_10,any_unique_dataset_fold_below_10
0,128,0,32,0,False,False
1,128,4,32,1,True,True
2,128,0,32,0,False,False
3,128,4,32,1,True,True
4,128,0,32,0,False,False
5,128,0,32,0,False,False
6,128,0,32,0,False,False
7,128,0,32,0,False,False
8,128,0,32,0,False,False
9,128,0,32,0,False,False
10,128,0,32,0,False,False
11,128,0,32,0,False,False
12,128,0,32,0,False,False
13,128,0,32,0,False,False
14,128,0,32,0,False,False
15,128,0,32,0,False,False
16,128,0,32,0,False,False
17,128,0,32,0,False,False
18,128,0,32,0,False,False
19,128,0,32,0,False,False
20,128,0,32,0,False,False
21,128,0,32,0,False,False
22,128,0,32,0,False,False
23,128,0,32,0,False,False
24,128,0,32,0,False,False
25,128,0,32,0,False,False
26,128,4,32,1,True,True
27,128,0,32,0,False,False
28,128,0,32,0,False,False
29,128,0,32,0,False,False
30,128,0,32,0,False,False
31,128,0,32,0,False,False
32,128,0,32,0,False,False
33,128,0,32,0,False,False
34,128,0,32,0,False,False
35,128,0,32,0,False,False
36,128,0,32,0,False,False
37,128,0,32,0,False,False
38,128,0,32,0,False,False
39,128,0,32,0,False,False
40,128,0,32,0,False,False
41,128,0,32,0,False,False
42,128,0,32,0,False,False
43,128,0,32,0,False,False
44,128,0,32,0,False,False
45,128,0,32,0,False,False
46,128,4,32,1,True,True
47,128,0,32,0,False,False
48,128,4,32,1,True,True
49,128,0,32,0,False,False
50,128,0,32,0,False,False
51,128,0,32,0,False,False
52,128,0,32,0,False,False
53,128,0,32,0,False,False
54,128,0,32,0,False,False
55,128,0,32,0,False,False
56,128,4,32,1,True,True
57,128,0,32,0,False,False
58,128,0,32,0,False,False
59,128,0,32,0,False,False
60,128,0,32,0,False,False
61,128,0,32,0,False,False
62,128,0,32,0,False,False
63,128,0,32,0,False,False
64,128,0,32,0,False,False
65,128,0,32,0,False,False
66,128,0,32,0,False,False
67,128,0,32,0,False,False
68,128,0,32,0,False,False
69,128,0,32,0,False,False
70,128,0,32,0,False,False
71,128,0,32,0,False,False
72,128,0,32,0,False,False
73,128,0,32,0,False,False
74,128,0,32,0,False,False
75,128,4,32,1,True,True
76,128,4,32,1,True,True
77,128,0,32,0,False,False
78,128,0,32,0,False,False
79,128,0,32,0,False,False
80,128,0,32,0,False,False
81,128,0,32,0,False,False
82,128,0,32,0,False,False
83,128,0,32,0,False,False
84,128,0,32,0,False,False
85,128,0,32,0,False,False
86,128,0,32,0,False,False
87,128,4,32,1,True,True
88,128,4,32,1,True,True
89,128,4,32,1,True,True
90,128,0,32,0,False,False
91,128,0,32,0,False,False
92,128,0,32,0,False,False
93,128,0,32,0,False,False
94,128,0,32,0,False,False
95,128,0,32,0,False,False
96,128,0,32,0,False,False
97,128,0,32,0,False,False
98,128,4,32,1,True,True
99,128,4,32,1,True,True
100,128,0,32,0,False,False
101,128,0,32,0,False,False
102,128,0,32,0,False,False
103,128,4,32,1,True,True
104,128,0,32,0,False,False
105,128,0,32,0,False,False
106,128,0,32,0,False,False
107,128,0,32,0,False,False
108,128,0,32,0,False,False
109,128,0,32,0,False,False
110,128,0,32,0,False,False
111,128,0,32,0,False,False
112,128,0,32,0,False,False
113,128,0,32,0,False,False
114,128,0,32,0,False,False
115,128,4,32,1,True,True
116,128,0,32,0,False,False
117,128,0,32,0,False,False
118,128,4,32,1,True,True
119,128,0,32,0,False,False
120,128,0,32,0,False,False
121,128,4,32,1,True,True
122,128,0,32,0,False,False
123,128,0,32,0,False,False
124,128,0,32,0,False,False
125,128,0,32,0,False,False
126,128,0,32,0,False,False
127,128,0,32,0,False,False
128,128,4,32,1,True,True
129,128,0,32,0,False,False
130,128,0,32,0,False,False
131,128,0,32,0,False,False
132,128,0,32,0,False,False
133,128,0,32,0,False,False
134,128,0,32,0,False,False
135,128,0,32,0,False,False
136,128,0,32,0,False,False
137,128,0,32,0,False,False
138,128,0,32,0,False,False
139,128,0,32,0,False,False
140,128,0,32,0,False,False
141,128,0,32,0,False,False
142,128,0,32,0,False,False
143,128,0,32,0,False,False
144,128,0,32,0,False,False
145,128,0,32,0,False,False
146,128,0,32,0,False,False
147,128,0,32,0,False,False
148,128,0,32,0,False,False
149,128,0,32,0,False,False
150,128,0,32,0,False,False
151,128,0,32,0,False,False
152,128,0,32,0,False,False
153,128,0,32,0,False,False
154,128,0,32,0,False,False
155,128,0,32,0,False,False
156,128,0,32,0,False,False
157,128,0,32,0,False,False
158,128,0,32,0,False,False
159,128,0,32,0,False,False
160,128,4,32,1,True,True
161,128,0,32,0,False,False
162,128,0,32,0,False,False
163,128,0,32,0,False,False
164,128,0,32,0,False,False
165,128,0,32,0,False,False
166,128,0,32,0,False,False
167,128,4,32,1,True,True
168,128,0,32,0,False,False
169,128,0,32,0,False,False
170,128,0,32,0,False,False
171,128,0,32,0,False,False
172,128,0,32,0,False,False
173,128,0,32,0,False,False
174,128,0,32,0,False,False
175,128,0,32,0,False,False
176,128,0,32,0,False,False
177,128,0,32,0,False,False
178,128,0,32,0,False,False
179,128,0,32,0,False,False
180,128,0,32,0,False,False
181,128,0,32,0,False,False
182,128,0,32,0,False,False
183,128,0,32,0,False,False
184,128,0,32,0,False,False
185,128,4,32,1,True,True
186,128,0,32,0,False,False
187,128,0,32,0,False,False
188,128,4,32,1,True,True
189,128,0,32,0,False,False
190,128,0,32,0,False,False
191,128,0,32,0,False,False
192,128,0,32,0,False,False
193,128,0,32,0,False,False
194,128,0,32,0,False,False
195,128,0,32,0,False,False
196,128,0,32,0,False,False
197,128,0,32,0,False,False
198,128,0,32,0,False,False
199,128,0,32,0,False,False
200,128,4,32,1,True,True
201,128,0,32,0,False,False
202,128,0,32,0,False,False
203,128,0,32,0,False,False
204,128,0,32,0,False,False
205,128,0,32,0,False,False
206,128,0,32,0,False,False
207,128,4,32,1,True,True
208,128,0,32,0,False,False
209,128,0,32,0,False,False
210,128,0,32,0,False,False
211,128,4,32,1,True,True
212,128,0,32,0,False,False
213,128,0,32,0,False,False
214,128,0,32,0,False,False
215,128,0,32,0,False,False
216,128,0,32,0,False,False
217,128,0,32,0,False,False
218,128,4,32,1,True,True
219,128,0,32,0,False,False
220,128,0,32,0,False,False
221,128,0,32,0,False,False
222,128,0,32,0,False,False
223,128,0,32,0,False,False
