dataset,fold_id,predictor,similarity,score,n_valid_queries,spearman_risk_vs_retrieval_error
Frangieh,frangieh_context_holdout_1_Co-culture,GEARS,cosine,directional_risk_frozen,279,0.049657040127093766
Frangieh,frangieh_context_holdout_1_Co-culture,GEARS,cosine,safeconf_calibrated_pair_risk,279,-0.12627510870093472
Frangieh,frangieh_context_holdout_1_Co-culture,GEARS,cosine,baseline_predicted_magnitude,279,-0.12417782669835993
Frangieh,frangieh_context_holdout_1_Co-culture,GEARS,cosine,risk_model_disagreement,279,-0.14197612818773783
Frangieh,frangieh_context_holdout_1_Co-culture,GEARS,pearson,directional_risk_frozen,279,0.05925125111439479
Frangieh,frangieh_context_holdout_1_Co-culture,GEARS,pearson,safeconf_calibrated_pair_risk,279,-0.11026727539093041
Frangieh,frangieh_context_holdout_1_Co-culture,GEARS,pearson,baseline_predicted_magnitude,279,-0.10283962959266135
Frangieh,frangieh_context_holdout_1_Co-culture,GEARS,pearson,risk_model_disagreement,279,-0.11839088309091947
Frangieh,frangieh_context_holdout_1_Co-culture,scGPT,cosine,directional_risk_frozen,279,-0.006358534893053816
Frangieh,frangieh_context_holdout_1_Co-culture,scGPT,cosine,safeconf_calibrated_pair_risk,279,-0.010597742340328103
Frangieh,frangieh_context_holdout_1_Co-culture,scGPT,cosine,baseline_predicted_magnitude,279,-0.039832083844064343
Frangieh,frangieh_context_holdout_1_Co-culture,scGPT,cosine,risk_model_disagreement,279,-0.03886676900955076
Frangieh,frangieh_context_holdout_1_Co-culture,scGPT,pearson,directional_risk_frozen,279,-0.03721280656847352
Frangieh,frangieh_context_holdout_1_Co-culture,scGPT,pearson,safeconf_calibrated_pair_risk,279,-0.06068599724408879
Frangieh,frangieh_context_holdout_1_Co-culture,scGPT,pearson,baseline_predicted_magnitude,279,-0.03830576509478804
Frangieh,frangieh_context_holdout_1_Co-culture,scGPT,pearson,risk_model_disagreement,279,-0.03154605420921239
Frangieh,frangieh_context_holdout_2_Control,GEARS,cosine,directional_risk_frozen,279,0.008553818887298757
Frangieh,frangieh_context_holdout_2_Control,GEARS,cosine,safeconf_calibrated_pair_risk,279,-0.036501267069657235
Frangieh,frangieh_context_holdout_2_Control,GEARS,cosine,baseline_predicted_magnitude,279,0.01198777931850794
Frangieh,frangieh_context_holdout_2_Control,GEARS,cosine,risk_model_disagreement,279,0.0059357314268322515
Frangieh,frangieh_context_holdout_2_Control,GEARS,pearson,directional_risk_frozen,279,0.031838425474449566
Frangieh,frangieh_context_holdout_2_Control,GEARS,pearson,safeconf_calibrated_pair_risk,279,-0.022296319201194757
Frangieh,frangieh_context_holdout_2_Control,GEARS,pearson,baseline_predicted_magnitude,279,0.043741676033868075
Frangieh,frangieh_context_holdout_2_Control,GEARS,pearson,risk_model_disagreement,279,0.031813835977437095
Frangieh,frangieh_context_holdout_2_Control,scGPT,cosine,directional_risk_frozen,279,-0.051359954824425465
Frangieh,frangieh_context_holdout_2_Control,scGPT,cosine,safeconf_calibrated_pair_risk,279,-0.0857732436152766
Frangieh,frangieh_context_holdout_2_Control,scGPT,cosine,baseline_predicted_magnitude,279,-0.07093762398223932
Frangieh,frangieh_context_holdout_2_Control,scGPT,cosine,risk_model_disagreement,279,-0.017773015959501072
Frangieh,frangieh_context_holdout_2_Control,scGPT,pearson,directional_risk_frozen,279,-0.054212809834495536
Frangieh,frangieh_context_holdout_2_Control,scGPT,pearson,safeconf_calibrated_pair_risk,279,-0.07563077215733717
Frangieh,frangieh_context_holdout_2_Control,scGPT,pearson,baseline_predicted_magnitude,279,-0.08017942651389283
