perturbation,n_seeds,all_three_seeds_present,in_frozen_test_manifest,n_cells_test,error_gears_ensemble_rmse,error_seed_mean_rmse,error_seed_std_rmse,risk_ensemble_disagreement,risk_predicted_magnitude,true_l2_diagnostic,true_max_abs_diff_across_seeds,training_support_for_heldout_gene
APOD+ctrl,3,True,True,592,0.03170041995096224,0.0343694135518158,0.0008419388904108584,0.013305970467627048,1.4462904930114746,1.1674683094024658,0.0,0
B2M+ctrl,3,True,True,707,0.03383577297256677,0.03816350429480697,0.004178068203230821,0.018139729276299477,1.596921682357788,1.1173970699310303,0.0,0
BOLA2B+ctrl,3,True,True,360,0.039519936895187124,0.04163614482118986,0.0008848001922092669,0.013134916312992573,1.6625944375991821,1.5596437454223633,0.0,0
CD63+ctrl,3,True,True,512,0.03677715750559823,0.04167376617719332,0.004475196990525892,0.020104000344872475,1.7166297435760498,1.263053059577942,0.0,0
CDK4+ctrl,3,True,True,505,0.03407059997565741,0.036638552655223866,0.0009729625331230818,0.013510160148143768,1.504573941230774,1.3740135431289673,0.0,0
DDR1+ctrl,3,True,True,575,0.03168402179771552,0.03498322751539897,0.001573785491744739,0.014913945458829403,1.488876461982727,1.200228214263916,0.0,0
DDX39A+ctrl,3,True,True,411,0.03818383549847863,0.040805469999257625,0.0008213016053992343,0.014413731172680855,1.6782666444778442,1.4396849870681763,0.0,0
EEA1+ctrl,3,True,True,498,0.035799821036661426,0.038556873388651346,0.00041624465174663314,0.014324055053293705,1.6153464317321777,1.2444767951965332,0.0,0
ENPP1+ctrl,3,True,True,598,0.031035399303795702,0.03388627179966564,0.000344496239414389,0.013608898036181927,1.5009955167770386,1.1629292964935303,0.0,0
HLA-B+ctrl,3,True,True,415,0.03647746181875142,0.04020449966754199,0.0015786784412151293,0.016979068517684937,1.625983476638794,1.4099268913269043,0.0,0
IRF4+ctrl,3,True,True,507,0.03424278414543717,0.036630467028958974,0.0005907429515491502,0.013021974824368954,1.473589539527893,1.2635796070098877,0.0,0
JAK1+ctrl,3,True,True,796,0.0615428027599961,0.06306149683635996,0.0011181569234453978,0.013801668770611286,1.3468455076217651,3.104016065597534,0.0,0
JAK2+ctrl,3,True,True,834,0.056004845819566405,0.05795429139322278,0.001355291114390827,0.014966427348554134,1.4152090549468994,2.9491782188415527,0.0,0
KLF4+ctrl,3,True,True,546,0.03356676456068998,0.03639067428624137,0.0014396573343763328,0.014128911308944225,1.5222595930099487,1.2520599365234375,0.0,0
LRPAP1+ctrl,3,True,True,656,0.03276214406149319,0.03540494401972694,0.0004967900392372246,0.013431261293590069,1.4859721660614014,1.2797467708587646,0.0,0
NOLC1+ctrl,3,True,True,232,0.04621825101084373,0.04838591221729275,0.0006301691156628247,0.014334116131067276,1.9393683671951294,1.722805142402649,0.0,0
NSG1+ctrl,3,True,True,590,0.03197930846636568,0.0348536213924357,0.0008689294557459614,0.01388718094676733,1.477025032043457,1.2528464794158936,0.0,0
PSAP+ctrl,3,True,True,733,0.030954017673648766,0.03532952098114314,0.0006000324005310506,0.01704065501689911,1.4620486497879028,1.1689581871032715,0.0,0
S100A6+ctrl,3,True,True,592,0.032039552875237125,0.035615495096960055,0.0008276748389863393,0.01557612232863903,1.459171175956726,1.2107398509979248,0.0,0
SAT1+ctrl,3,True,True,576,0.03433488720822219,0.03808361556944947,0.0007428971537437556,0.016493307426571846,1.6255593299865723,1.242814064025879,0.0,0
SDCBP+ctrl,3,True,True,622,0.034724637482057306,0.03837316322099469,0.002953888769565213,0.016595924273133278,1.564810872077942,1.3247767686843872,0.0,0
SET+ctrl,3,True,True,455,0.038779921054652916,0.041362164355174515,0.0006761332813722861,0.014401511289179325,1.6145350933074951,1.656477689743042,0.0,0
SHMT2+ctrl,3,True,True,448,0.036248105455577405,0.03899372991737285,0.0007380264130998724,0.014392029494047165,1.5966614484786987,1.3727514743804932,0.0,0
STOM+ctrl,3,True,True,655,0.03195290396502583,0.0352119919173439,0.0022545251397705097,0.014965934678912163,1.4726479053497314,1.1780731678009033,0.0,0
