setting,score,fold_macro_spearman_absolute_rmse
context_and_perturbation_unseen,baseline_predicted_magnitude,0.0661654135338346
context_and_perturbation_unseen,risk_model_disagreement,0.11954887218045115
context_and_perturbation_unseen,safeconf_calibrated_pair_risk,0.1481203007518797
context_and_perturbation_unseen,safeconf_frozen_pair_risk,0.11954887218045115
context_unseen,baseline_predicted_magnitude,0.5279015721120985
context_unseen,risk_model_disagreement,0.31506493506493505
context_unseen,safeconf_calibrated_pair_risk,0.3617947947294775
context_unseen,safeconf_frozen_pair_risk,0.3254010405423043
perturbation_unseen,baseline_predicted_magnitude,0.2390977443609022
perturbation_unseen,risk_model_disagreement,0.10902255639097744
perturbation_unseen,safeconf_calibrated_pair_risk,0.0488721804511278
perturbation_unseen,safeconf_frozen_pair_risk,0.10719107812959985
random_seen_pair,baseline_predicted_magnitude,0.17482517482517484
random_seen_pair,risk_model_disagreement,0.23776223776223782
random_seen_pair,safeconf_calibrated_pair_risk,0.12937062937062938
random_seen_pair,safeconf_frozen_pair_risk,0.23776223776223782
