perturbation,n_target_cells,n_guides,n_eligible_guides,min_cells_per_eligible_guide,max_cells_per_eligible_guide,is_single_gene_label,in_expression_var,in_scgpt_vocab,eligible_e180_target,selection_used_expression_matrix_or_truth_effect,cell_count_quartile,guide_count_stratum,selection_hash,target_split
LSM6,78,2,2,24,54,True,True,True,True,False,Q1,TWO_GUIDES,09a6be445ce37cb8f3d53b966adb22b4f17056b8d8dc3e3df8f29951f2ad0cf0,conformal_calibration
STAG2,1074,3,3,280,444,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,117e114e95d50ba2bec32b65f70391dcc4d05ddd14ffedf5ec4df175c3959be8,conformal_calibration
DHX15,376,3,3,29,259,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,165af712b5891e755936446cef2077beca4c705084f70ffb4ce9a3e4d378e4e7,conformal_calibration
ERCC2,466,2,2,199,267,True,True,True,True,False,Q2,TWO_GUIDES,1cbe4293bc82e7f5485130700943efa7cc9cb1de702f873b9c705faac249f7ad,conformal_calibration
TIAL1,660,3,3,193,246,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,217985f32df83d8d36ff3351810ade6920a47c2635fa8988b2d14a90ae951fd3,conformal_calibration
ATP6V1A,189,3,3,29,113,True,True,True,True,False,Q1,THREE_PLUS_GUIDES,300ab57edd56425cca15d95bb8e00abaa8715f1a94006729a12c283579640f2a,conformal_calibration
FOXK1,978,3,3,155,567,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,344b3423fcd1571096c5403c5afbb8c934c44bbf8f82a9cbc64a773a86e0a9e8,conformal_calibration
MED21,131,2,2,38,93,True,True,True,True,False,Q1,TWO_GUIDES,38a052bc0699d6f972474dbd82aa87d8538910534960040d3f273e5c4777ab25,conformal_calibration
PRPF38B,371,3,3,68,178,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,3ac2541f5ecae543519296ee98560c60da43edfe80cea002eaa43b91fdde08f8,conformal_calibration
CHD1,1148,3,3,260,468,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,498f7e4523cae61db8880ace99b58934eec47fcaf79f7879a211c18acba404bb,conformal_calibration
DIS3,581,3,3,142,246,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,4e82f13c37076417f58ef08584c84fa2aae71fe784f7ece49aba824f70c5c5fa,conformal_calibration
