source,drop_blank_run_dir,table,rows_before,rows_after,dropped_rows,blank_perturbation_rows_before
code/20260426_154505_perturb_transport_final_push/outputs/safeconf_phase1_main/LaraAstiasoHuntly2023_invivo,code/20260426_154505_perturb_transport_final_push/outputs/safeconf_formal_main_v3_drop_blank_inputs_20260609/LaraAstiasoHuntly2023_invivo,CONFIDENCE_FEATURES.csv,3910,3760,150,150
code/20260426_154505_perturb_transport_final_push/outputs/safeconf_phase1_main/LaraAstiasoHuntly2023_invivo,code/20260426_154505_perturb_transport_final_push/outputs/safeconf_formal_main_v3_drop_blank_inputs_20260609/LaraAstiasoHuntly2023_invivo,CONFIDENCE_SCORES.csv,39100,37600,1500,1500
code/20260426_154505_perturb_transport_final_push/outputs/safeconf_formal_main_20260604/McFarlandTsherniak2020,code/20260426_154505_perturb_transport_final_push/outputs/safeconf_formal_main_v3_drop_blank_inputs_20260609/McFarlandTsherniak2020,PREDICTION_RECORDS.csv,11630,11630,0,0
code/20260426_154505_perturb_transport_final_push/outputs/safeconf_formal_main_20260604/McFarlandTsherniak2020,code/20260426_154505_perturb_transport_final_push/outputs/safeconf_formal_main_v3_drop_blank_inputs_20260609/McFarlandTsherniak2020,CONFIDENCE_FEATURES.csv,11630,11630,0,0
code/20260426_154505_perturb_transport_final_push/outputs/safeconf_formal_main_20260604/McFarlandTsherniak2020,code/20260426_154505_perturb_transport_final_push/outputs/safeconf_formal_main_v3_drop_blank_inputs_20260609/McFarlandTsherniak2020,CONFIDENCE_SCORES.csv,116300,116300,0,0
code/20260426_154505_perturb_transport_final_push/outputs/safeconf_phase1_main/SantinhaPlatt2023,code/20260426_154505_perturb_transport_final_push/outputs/safeconf_formal_main_v3_drop_blank_inputs_20260609/SantinhaPlatt2023,PREDICTION_RECORDS.csv,2830,2730,100,100
code/20260426_154505_perturb_transport_final_push/outputs/safeconf_phase1_main/SantinhaPlatt2023,code/20260426_154505_perturb_transport_final_push/outputs/safeconf_formal_main_v3_drop_blank_inputs_20260609/SantinhaPlatt2023,CONFIDENCE_FEATURES.csv,2830,2730,100,100
code/20260426_154505_perturb_transport_final_push/outputs/safeconf_phase1_main/SantinhaPlatt2023,code/20260426_154505_perturb_transport_final_push/outputs/safeconf_formal_main_v3_drop_blank_inputs_20260609/SantinhaPlatt2023,CONFIDENCE_SCORES.csv,28300,27300,1000,1000
code/20260426_154505_perturb_transport_final_push/outputs/safeconf_phase1_main/SrivatsanTrapnell2020_sciplex3,code/20260426_154505_perturb_transport_final_push/outputs/safeconf_formal_main_v3_drop_blank_inputs_20260609/SrivatsanTrapnell2020_sciplex3,PREDICTION_RECORDS.csv,5640,5640,0,0
code/20260426_154505_perturb_transport_final_push/outputs/safeconf_phase1_main/SrivatsanTrapnell2020_sciplex3,code/20260426_154505_perturb_transport_final_push/outputs/safeconf_formal_main_v3_drop_blank_inputs_20260609/SrivatsanTrapnell2020_sciplex3,CONFIDENCE_FEATURES.csv,5640,5640,0,0
code/20260426_154505_perturb_transport_final_push/outputs/safeconf_phase1_main/SrivatsanTrapnell2020_sciplex3,code/20260426_154505_perturb_transport_final_push/outputs/safeconf_formal_main_v3_drop_blank_inputs_20260609/SrivatsanTrapnell2020_sciplex3,CONFIDENCE_SCORES.csv,56400,56400,0,0
