dataset_name,score_name,predictor_name,n,aligned_rho,normalized_rmse_rho,magnitude_only_rho,partial_rho_control_magnitude,risk_coverage80_improve_pct,mean_rmse,aurc,oracle_aurc,random_aurc,excess_aurc
CuiHacohen2023,context_similarity_score,ContextSimBaseline,1253,0.5007557436436295,0.15868560780642713,0.7301720897895864,0.38998291034999777,23.561567435392966,0.20944653360776738,0.14672081450331925,0.11013868722710064,0.20944653360776738,0.03658212727621861
CuiHacohen2023,context_similarity_score,V0StrongBaseline,1253,0.3649390685465703,-0.027025444756017522,0.7423327386789552,0.17526237776280687,19.94599218866244,0.2126422947368181,0.16212028319298258,0.11293751975486647,0.2126422947368181,0.0491827634381161
CuiHacohen2023,historical_residual_risk,ContextSimBaseline,2506,0.19824407733669067,-0.07973577514013684,0.7301720897895863,0.08859786898839864,4.284760364612464,0.20944653360776738,0.19533639456142984,0.11010709947223292,0.20944653360776738,0.08522929508919692
CuiHacohen2023,historical_residual_risk,V0StrongBaseline,2506,0.34863149391760667,0.12675252291328964,0.7423327386789551,0.31545066949004585,7.919591227793374,0.2126422947368181,0.1882985487354909,0.11290392974797825,0.2126422947368181,0.07539461898751265
CuiHacohen2023,learned_risk_score,ContextSimBaseline,1253,0.6696095037532733,-0.036430585126282125,0.7301720897895864,0.4121718399946625,25.238798610166928,0.20944653360776738,0.1347617287780449,0.11013868722710064,0.20944653360776738,0.02462304155094426
CuiHacohen2023,learned_risk_score,V0StrongBaseline,1253,0.688606127428554,0.02382133467532864,0.7423327386789552,0.469215295952764,23.569674219835132,0.2126422947368181,0.14014971885251615,0.11293751975486647,0.2126422947368181,0.027212199097649672
CuiHacohen2023,model_disagreement_risk,ContextSimBaseline,2506,0.2711590170353003,-0.0750320239725254,0.7301720897895863,0.09822285985071631,11.532613838475664,0.20944653360776738,0.16320329846125178,0.11010709947223292,0.20944653360776738,0.053096198989018864
CuiHacohen2023,model_disagreement_risk,V0StrongBaseline,2506,0.4371610524029517,0.115180289563787,0.7423327386789551,0.35313242667368144,14.848198620302819,0.2126422947368181,0.1594394116716045,0.11290392974797825,0.2126422947368181,0.04653548192362625
CuiHacohen2023,prediction_magnitude_risk,ContextSimBaseline,1253,-0.1777186912164127,0.26105657411710037,0.7301720897895864,0.05853884959589195,-5.424946284950146,0.20944653360776738,0.22043576710715285,0.11013868722710064,0.20944653360776738,0.1102970798800522
CuiHacohen2023,prediction_magnitude_risk,V0StrongBaseline,1253,-0.23971110208666727,0.16994215792915293,0.7423327386789552,-0.038101515930754476,-7.1067287907314,0.2126422947368181,0.23042553872124655,0.11293751975486647,0.2126422947368181,0.11748801896638007
