dimension,columns,n_groups,n_groups_ge_50,n_groups_ge_100,n_groups_ge_300,n_groups_ge_900,median_cells_per_group,max_cells_per_group,top10_groups
drug,drug,291,291,291,291,289,9423.0,71736,DMSO_TF:71736 | Adagrasib:48029 | Quinestrol:35709 | Berbamine:30723 | Clonidine (hydrochloride):29205 | Tolcapone:28570 | Afatinib:28364 | Selinexor:28295 | Raltitrexed:28039 | Goserelin (acetate):27147
cell_line,cell_line_id,50,50,50,50,49,66759.5,224101,CVCL_0546:224101 | CVCL_0459:200847 | CVCL_0480:136862 | CVCL_0399:122639 | CVCL_1285:120882 | CVCL_0293:105339 | CVCL_0023:105065 | CVCL_0131:101837 | CVCL_1056:98103 | CVCL_0152:97351
moa,moa-fine,27,27,27,27,27,53783.0,1963112,unclear:1963112 | DNA synthesis/repair inhibitor:268621 | EGFR/ERBB inhibitor:123184 | Other TK inhibitor:102124 | Cyclooxygenase inhibitor:101852 | Other MAPK inhibitor:100301 | MTOR inhibitor:99494 | Microtubule inhibitor:87523 | JAK/STAT inhibitor:82916 | RAS inhibitor:81129
plate,plate,8,8,8,8,8,381034.0,1411250,plate4:1411250 | plate3:620928 | plate9:564500 | plate6:564500 | plate2:197568 | plate8:112900 | plate13:112896 | plate5:28225
drug_x_cell_line,drug+cell_line_id,14467,12167,10144,4428,319,171.0,4072,DMSO_TF / CVCL_0546:4072 | DMSO_TF / CVCL_0459:3806 | Adagrasib / CVCL_0546:3071 | DMSO_TF / CVCL_0480:3048 | Adagrasib / CVCL_0459:2806 | DMSO_TF / CVCL_1285:2297 | DMSO_TF / CVCL_0399:2278 | DMSO_TF / CVCL_1056:2226 | DMSO_TF / CVCL_0023:2225 | Quinestrol / CVCL_0546:2165
moa_x_cell_line,moa-fine+cell_line_id,1349,1275,1229,1009,679,903.0,122895,unclear / CVCL_0546:122895 | unclear / CVCL_0459:109100 | unclear / CVCL_0480:73960 | unclear / CVCL_0399:66323 | unclear / CVCL_1285:65260 | unclear / CVCL_0023:57638 | unclear / CVCL_0293:55330 | unclear / CVCL_0131:54617 | unclear / CVCL_1056:53575 | unclear / CVCL_0152:53115
drug_x_plate,drug+plate,669,666,665,648,557,3824.0,31811,DMSO_TF / plate4:31811 | Selinexor / plate4:24493 | Quinestrol / plate4:24349 | Fusidic acid / plate4:22516 | Clonidine (hydrochloride) / plate4:22430 | Adagrasib / plate4:21627 | Palmatine (chloride) / plate4:21547 | Artesunate / plate4:21018 | Goserelin (acetate) / plate4:20746 | Berbamine / plate4:20155
cell_line_x_plate,cell_line_id+plate,400,392,386,370,326,4544.0,87021,CVCL_0546 / plate4:87021 | CVCL_0459 / plate4:75207 | CVCL_0399 / plate4:50069 | CVCL_0480 / plate4:49832 | CVCL_1285 / plate4:47373 | CVCL_0023 / plate4:44114 | CVCL_0293 / plate4:42688 | CVCL_0131 / plate4:42546 | CVCL_0152 / plate4:41944 | CVCL_1056 / plate4:38978
