file_name,relative_path,n_rows,columns_read
train-00000-of-03388.parquet,mega_external/Tahoe-100M/data/train-00000-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00003-of-03388.parquet,mega_external/Tahoe-100M/data/train-00003-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00006-of-03388.parquet,mega_external/Tahoe-100M/data/train-00006-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00010-of-03388.parquet,mega_external/Tahoe-100M/data/train-00010-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00014-of-03388.parquet,mega_external/Tahoe-100M/data/train-00014-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00018-of-03388.parquet,mega_external/Tahoe-100M/data/train-00018-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00032-of-03388.parquet,mega_external/Tahoe-100M/data/train-00032-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00042-of-03388.parquet,mega_external/Tahoe-100M/data/train-00042-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00045-of-03388.parquet,mega_external/Tahoe-100M/data/train-00045-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00048-of-03388.parquet,mega_external/Tahoe-100M/data/train-00048-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00051-of-03388.parquet,mega_external/Tahoe-100M/data/train-00051-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00054-of-03388.parquet,mega_external/Tahoe-100M/data/train-00054-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00057-of-03388.parquet,mega_external/Tahoe-100M/data/train-00057-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00060-of-03388.parquet,mega_external/Tahoe-100M/data/train-00060-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00063-of-03388.parquet,mega_external/Tahoe-100M/data/train-00063-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00065-of-03388.parquet,mega_external/Tahoe-100M/data/train-00065-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00068-of-03388.parquet,mega_external/Tahoe-100M/data/train-00068-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00071-of-03388.parquet,mega_external/Tahoe-100M/data/train-00071-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00074-of-03388.parquet,mega_external/Tahoe-100M/data/train-00074-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00077-of-03388.parquet,mega_external/Tahoe-100M/data/train-00077-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00080-of-03388.parquet,mega_external/Tahoe-100M/data/train-00080-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00083-of-03388.parquet,mega_external/Tahoe-100M/data/train-00083-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00086-of-03388.parquet,mega_external/Tahoe-100M/data/train-00086-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00089-of-03388.parquet,mega_external/Tahoe-100M/data/train-00089-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00092-of-03388.parquet,mega_external/Tahoe-100M/data/train-00092-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00094-of-03388.parquet,mega_external/Tahoe-100M/data/train-00094-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00097-of-03388.parquet,mega_external/Tahoe-100M/data/train-00097-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00101-of-03388.parquet,mega_external/Tahoe-100M/data/train-00101-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00104-of-03388.parquet,mega_external/Tahoe-100M/data/train-00104-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00107-of-03388.parquet,mega_external/Tahoe-100M/data/train-00107-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00110-of-03388.parquet,mega_external/Tahoe-100M/data/train-00110-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00113-of-03388.parquet,mega_external/Tahoe-100M/data/train-00113-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00119-of-03388.parquet,mega_external/Tahoe-100M/data/train-00119-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00122-of-03388.parquet,mega_external/Tahoe-100M/data/train-00122-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00125-of-03388.parquet,mega_external/Tahoe-100M/data/train-00125-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00129-of-03388.parquet,mega_external/Tahoe-100M/data/train-00129-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00132-of-03388.parquet,mega_external/Tahoe-100M/data/train-00132-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00135-of-03388.parquet,mega_external/Tahoe-100M/data/train-00135-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00138-of-03388.parquet,mega_external/Tahoe-100M/data/train-00138-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00141-of-03388.parquet,mega_external/Tahoe-100M/data/train-00141-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00144-of-03388.parquet,mega_external/Tahoe-100M/data/train-00144-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00147-of-03388.parquet,mega_external/Tahoe-100M/data/train-00147-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00150-of-03388.parquet,mega_external/Tahoe-100M/data/train-00150-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00153-of-03388.parquet,mega_external/Tahoe-100M/data/train-00153-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00155-of-03388.parquet,mega_external/Tahoe-100M/data/train-00155-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00158-of-03388.parquet,mega_external/Tahoe-100M/data/train-00158-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00161-of-03388.parquet,mega_external/Tahoe-100M/data/train-00161-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00164-of-03388.parquet,mega_external/Tahoe-100M/data/train-00164-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00167-of-03388.parquet,mega_external/Tahoe-100M/data/train-00167-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00171-of-03388.parquet,mega_external/Tahoe-100M/data/train-00171-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00312-of-03388.parquet,mega_external/Tahoe-100M/data/train-00312-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00554-of-03388.parquet,mega_external/Tahoe-100M/data/train-00554-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00562-of-03388.parquet,mega_external/Tahoe-100M/data/train-00562-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00569-of-03388.parquet,mega_external/Tahoe-100M/data/train-00569-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00571-of-03388.parquet,mega_external/Tahoe-100M/data/train-00571-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00576-of-03388.parquet,mega_external/Tahoe-100M/data/train-00576-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00579-of-03388.parquet,mega_external/Tahoe-100M/data/train-00579-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00638-of-03388.parquet,mega_external/Tahoe-100M/data/train-00638-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00642-of-03388.parquet,mega_external/Tahoe-100M/data/train-00642-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00645-of-03388.parquet,mega_external/Tahoe-100M/data/train-00645-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00648-of-03388.parquet,mega_external/Tahoe-100M/data/train-00648-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00652-of-03388.parquet,mega_external/Tahoe-100M/data/train-00652-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00655-of-03388.parquet,mega_external/Tahoe-100M/data/train-00655-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00658-of-03388.parquet,mega_external/Tahoe-100M/data/train-00658-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00660-of-03388.parquet,mega_external/Tahoe-100M/data/train-00660-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00663-of-03388.parquet,mega_external/Tahoe-100M/data/train-00663-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00666-of-03388.parquet,mega_external/Tahoe-100M/data/train-00666-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
