field,status,n_rows,n_missing_or_empty,n_unique,top20
drug,ok,3612767,0,291,DMSO_TF:71736 | Adagrasib:48029 | Quinestrol:35709 | Berbamine:30723 | Clonidine (hydrochloride):29205 | Tolcapone:28570 | Afatinib:28364 | Selinexor:28295 | Raltitrexed:28039 | Goserelin (acetate):27147 | Palmatine (chloride):27081 | Retinoic acid:26773 | Riluzole hydrochloride:26761 | Fusidic acid:26724 | Pasireotide (acetate):26680 | Chlorhexidine (diacetate):25626 | Diammonium Glycyrrhizinate:25611 | Aliskiren:25575 | Artesunate:25323 | Terfenadine:25276
cell_line_id,ok,3612767,0,50,CVCL_0546:224101 | CVCL_0459:200847 | CVCL_0480:136862 | CVCL_0399:122639 | CVCL_1285:120882 | CVCL_0293:105339 | CVCL_0023:105065 | CVCL_0131:101837 | CVCL_1056:98103 | CVCL_0152:97351 | CVCL_0359:94483 | CVCL_1550:93089 | CVCL_0504:90317 | CVCL_1119:90190 | CVCL_0371:89998 | CVCL_1517:88439 | CVCL_0320:86285 | CVCL_1381:84526 | CVCL_1478:79781 | CVCL_1097:79758
moa-fine,ok,3612767,71736,27,unclear:1963112 | DNA synthesis/repair inhibitor:268621 | EGFR/ERBB inhibitor:123184 | Other TK inhibitor:102124 | Cyclooxygenase inhibitor:101852 | Other MAPK inhibitor:100301 | MTOR inhibitor:99494 | Microtubule inhibitor:87523 | JAK/STAT inhibitor:82916 | RAS inhibitor:81129 | PI3K/AKT inhibitor:75211 | Adrenoceptor agonist:74823 | EMPTY:71736 | Protein synthesis inhibitor:53783 | RAF inhibitor:51520 | Multi-TK inhibitor:41766 | MEK inhibitor:38884 | GSK3 inhibitor:34846 | Retinoic receptor agonist:31955 | Glucocorticoid receptor agonist:30954
canonical_smiles,ok,3612767,84834,287,EMPTY:84834 | CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F:48029 | CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5:35709 | CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC:30723 | C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl:29205 | CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-]:28570 | CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4:28364 | C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F:28295 | CC1=NC2=C(C=C(C=C2)CN(C)C3=CC=C(S3)C(=O)NC(CCC(=O)O)C(=O)O)C(=O)N1:28039 | CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O:27147 | COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-]:27081 | CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C:26773 | C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N.Cl:26761 | CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C:26724 | CC(=O)O.C1C(CN2C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C2=O)CC3=CC=CC=C3)CC4=CC=C(C=C4)OCC5=CC=CC=C5)CCCCN)CC6=CNC7=CC=CC=C76)C8=CC=CC=C8)OC(=O)NCCN:26680 | CC(=O)O.CC(=O)O.C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl:25626 | CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C.N.N:25611 | CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N:25575 | CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C:25323 | CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O:25276
pubchem_cid,ok,3612767,84834,288,EMPTY:84834 | 138611145.0:48029 | 9046.0:35709 | 275182.0:30723 | 20179.0:29205 | 4659569.0:28570 | 10184653.0:28364 | 71481097.0:28295 | 135400182.0:28039 | 16052011.0:27147 | 73442.0:27081 | 444795.0:26773 | 6419992.0:26761 | 3000226.0:26724 | 72205932.0:26680 | 9562059.0:25626 | 656656.0:25611 | 5493444.0:25575 | 6917864.0:25323 | 5405.0:25276
plate,ok,3612767,0,8,plate4:1411250 | plate3:620928 | plate9:564500 | plate6:564500 | plate2:197568 | plate8:112900 | plate13:112896 | plate5:28225
