fold_id,setting,split,n_tasks,min_cells,median_cells
Shifrut_context_holdout_1_D1_nostim,context_and_perturbation_unseen,test,5,203,247.0
Shifrut_context_holdout_1_D1_nostim,context_unseen_row,test,15,112,190.0
Shifrut_context_holdout_1_D1_nostim,perturbation_unseen_column,test,15,185,270.0
Shifrut_context_holdout_1_D1_nostim,random_missing_pair,test,8,150,205.0
Shifrut_context_holdout_1_D1_nostim,source_train_pair,train,29,109,289.0
Shifrut_context_holdout_1_D1_nostim,source_validation_pair,val,8,134,198.5
Shifrut_context_holdout_2_D1_stim,context_and_perturbation_unseen,test,5,166,227.0
Shifrut_context_holdout_2_D1_stim,context_unseen_row,test,15,158,276.0
Shifrut_context_holdout_2_D1_stim,perturbation_unseen_column,test,15,139,229.0
Shifrut_context_holdout_2_D1_stim,random_missing_pair,test,8,190,295.0
Shifrut_context_holdout_2_D1_stim,source_train_pair,train,29,109,222.0
Shifrut_context_holdout_2_D1_stim,source_validation_pair,val,8,178,286.5
Shifrut_context_holdout_3_D2_nostim,context_and_perturbation_unseen,test,5,134,221.0
Shifrut_context_holdout_3_D2_nostim,context_unseen_row,test,15,109,223.0
Shifrut_context_holdout_3_D2_nostim,perturbation_unseen_column,test,15,112,255.0
Shifrut_context_holdout_3_D2_nostim,random_missing_pair,test,8,139,227.5
Shifrut_context_holdout_3_D2_nostim,source_train_pair,train,29,131,279.0
Shifrut_context_holdout_3_D2_nostim,source_validation_pair,val,8,166,283.0
Shifrut_context_holdout_4_D2_stim,context_and_perturbation_unseen,test,5,211,297.0
Shifrut_context_holdout_4_D2_stim,context_unseen_row,test,15,174,294.0
Shifrut_context_holdout_4_D2_stim,perturbation_unseen_column,test,15,112,236.0
Shifrut_context_holdout_4_D2_stim,random_missing_pair,test,8,166,203.0
Shifrut_context_holdout_4_D2_stim,source_train_pair,train,29,109,235.0
Shifrut_context_holdout_4_D2_stim,source_validation_pair,val,8,139,269.5
