dataset,predictor,held_perturbation_bucket,method,n_fit,n_test,n_fit_perturbations,n_test_perturbations,utility20,spearman
CuiHacohen2023,PertMeanPredictor,0,M,1034,219,71,15,0.3084656843136936,0.49553486595258245
CuiHacohen2023,PertMeanPredictor,0,P,1034,219,71,15,0.2915028437008316,0.5640704274715254
CuiHacohen2023,PertMeanPredictor,0,P_plus_B,1034,219,71,15,0.6449803094788968,0.6520387994561678
CuiHacohen2023,PertMeanPredictor,0,P_plus_E,1034,219,71,15,0.6706122812068563,0.7234533343996711
CuiHacohen2023,PertMeanPredictor,0,P_plus_B_plus_E,1034,219,71,15,0.6610481687157083,0.7280450603813682
CuiHacohen2023,PertMeanPredictor,0,P_plus_B_plus_E_dynamic,1034,219,71,15,0.7398768038269213,0.7583632313482268
CuiHacohen2023,PertMeanPredictor,1,M,945,308,65,21,0.19115635093069275,0.3252650889017421
CuiHacohen2023,PertMeanPredictor,1,P,945,308,65,21,0.3768602607524676,0.46490199406411475
CuiHacohen2023,PertMeanPredictor,1,P_plus_B,945,308,65,21,0.6939627325859704,0.5654683699021323
CuiHacohen2023,PertMeanPredictor,1,P_plus_E,945,308,65,21,0.7589588994337481,0.7122670820846085
CuiHacohen2023,PertMeanPredictor,1,P_plus_B_plus_E,945,308,65,21,0.7659114421597397,0.6999507560527136
CuiHacohen2023,PertMeanPredictor,1,P_plus_B_plus_E_dynamic,945,308,65,21,0.757688809883962,0.7581166282610888
CuiHacohen2023,PertMeanPredictor,2,M,992,261,68,18,0.07693236509840526,0.27492866290049117
CuiHacohen2023,PertMeanPredictor,2,P,992,261,68,18,0.33910859091516554,0.4345774704093421
CuiHacohen2023,PertMeanPredictor,2,P_plus_B,992,261,68,18,0.7482532065308747,0.5823010103873489
CuiHacohen2023,PertMeanPredictor,2,P_plus_E,992,261,68,18,0.7513181374126523,0.6907870492234799
CuiHacohen2023,PertMeanPredictor,2,P_plus_B_plus_E,992,261,68,18,0.7644793083517818,0.7068837278366101
CuiHacohen2023,PertMeanPredictor,2,P_plus_B_plus_E_dynamic,992,261,68,18,0.8212070840351777,0.7284449375770158
CuiHacohen2023,PertMeanPredictor,3,M,1049,204,72,14,0.2796399603858924,0.49864337672703385
CuiHacohen2023,PertMeanPredictor,3,P,1049,204,72,14,0.3869355626016606,0.5544457468454257
CuiHacohen2023,PertMeanPredictor,3,P_plus_B,1049,204,72,14,0.5931060226383167,0.6706815274469754
CuiHacohen2023,PertMeanPredictor,3,P_plus_E,1049,204,72,14,0.8312248309006413,0.7406831529920631
CuiHacohen2023,PertMeanPredictor,3,P_plus_B_plus_E,1049,204,72,14,0.7446252489848141,0.7448516160038448
CuiHacohen2023,PertMeanPredictor,3,P_plus_B_plus_E_dynamic,1049,204,72,14,0.8571534809179141,0.7748715708341332
CuiHacohen2023,PertMeanPredictor,4,M,992,261,68,18,0.4693161321229437,0.4957485316598149
CuiHacohen2023,PertMeanPredictor,4,P,992,261,68,18,0.4972715705523985,0.5532495200745082
CuiHacohen2023,PertMeanPredictor,4,P_plus_B,992,261,68,18,0.6453700978591352,0.6527797463570035
CuiHacohen2023,PertMeanPredictor,4,P_plus_E,992,261,68,18,0.6700743491343633,0.7235892036365845
CuiHacohen2023,PertMeanPredictor,4,P_plus_B_plus_E,992,261,68,18,0.6837436813127524,0.7329688649509655
CuiHacohen2023,PertMeanPredictor,4,P_plus_B_plus_E_dynamic,992,261,68,18,0.6392956464285364,0.7721731893931204
CuiHacohen2023,V0StrongBaseline,0,M,1034,219,71,15,0.3442163794383867,0.5229013017795192
CuiHacohen2023,V0StrongBaseline,0,P,1034,219,71,15,0.4879747431780632,0.5540793126692336
CuiHacohen2023,V0StrongBaseline,0,P_plus_B,1034,219,71,15,0.6515602285644221,0.6218149828053059
CuiHacohen2023,V0StrongBaseline,0,P_plus_E,1034,219,71,15,0.7488465185679519,0.7063054828795686
CuiHacohen2023,V0StrongBaseline,0,P_plus_B_plus_E,1034,219,71,15,0.7465347787672735,0.7128451792018464
CuiHacohen2023,V0StrongBaseline,0,P_plus_B_plus_E_dynamic,1034,219,71,15,0.7163577626854367,0.7337165342495379
CuiHacohen2023,V0StrongBaseline,1,M,945,308,65,21,0.3172116019783714,0.36569815054062077
CuiHacohen2023,V0StrongBaseline,1,P,945,308,65,21,0.40080391917655556,0.4368344725702179
CuiHacohen2023,V0StrongBaseline,1,P_plus_B,945,308,65,21,0.7267198152374978,0.5363339421402102
CuiHacohen2023,V0StrongBaseline,1,P_plus_E,945,308,65,21,0.7674488330371098,0.699404513768386
CuiHacohen2023,V0StrongBaseline,1,P_plus_B_plus_E,945,308,65,21,0.7750237955070836,0.6888751803523633
CuiHacohen2023,V0StrongBaseline,1,P_plus_B_plus_E_dynamic,945,308,65,21,0.8010208485592628,0.7474206168112302
CuiHacohen2023,V0StrongBaseline,2,M,992,261,68,18,0.12314739026766745,0.3332131339205245
CuiHacohen2023,V0StrongBaseline,2,P,992,261,68,18,0.404399936468091,0.3995477892292844
CuiHacohen2023,V0StrongBaseline,2,P_plus_B,992,261,68,18,0.7144074820849232,0.5443321791834559
CuiHacohen2023,V0StrongBaseline,2,P_plus_E,992,261,68,18,0.7321494560004741,0.6681501879711935
CuiHacohen2023,V0StrongBaseline,2,P_plus_B_plus_E,992,261,68,18,0.7452044443174808,0.6836488684606611
CuiHacohen2023,V0StrongBaseline,2,P_plus_B_plus_E_dynamic,992,261,68,18,0.8257331387886584,0.7023221482851688
CuiHacohen2023,V0StrongBaseline,3,M,1049,204,72,14,0.3585553858457214,0.5558807931124756
CuiHacohen2023,V0StrongBaseline,3,P,1049,204,72,14,0.40964522376720686,0.5379239668954209
CuiHacohen2023,V0StrongBaseline,3,P_plus_B,1049,204,72,14,0.7576722544436484,0.6428451279586688
CuiHacohen2023,V0StrongBaseline,3,P_plus_E,1049,204,72,14,0.8201934099970538,0.7191397332692538
CuiHacohen2023,V0StrongBaseline,3,P_plus_B_plus_E,1049,204,72,14,0.8153063974331691,0.7328282364249317
CuiHacohen2023,V0StrongBaseline,3,P_plus_B_plus_E_dynamic,1049,204,72,14,0.8306636383746492,0.756624666855521
CuiHacohen2023,V0StrongBaseline,4,M,992,261,68,18,0.4442252345543808,0.51733805128019
CuiHacohen2023,V0StrongBaseline,4,P,992,261,68,18,0.47967917764709306,0.539678447173755
CuiHacohen2023,V0StrongBaseline,4,P_plus_B,992,261,68,18,0.6911623425611061,0.634354519745412
CuiHacohen2023,V0StrongBaseline,4,P_plus_E,992,261,68,18,0.6740864473990972,0.7258131357104771
CuiHacohen2023,V0StrongBaseline,4,P_plus_B_plus_E,992,261,68,18,0.7242553328964678,0.7421257955872328
CuiHacohen2023,V0StrongBaseline,4,P_plus_B_plus_E_dynamic,992,261,68,18,0.7421374040248097,0.7719381311401736
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,M,268,55,35,7,-0.08230387044257945,0.23483553279187278
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,P,268,55,35,7,0.12569830150418973,0.22168509536606648
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,P_plus_B,268,55,35,7,0.9611691178864366,0.757792207792208
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,P_plus_E,268,55,35,7,0.9524487152234399,0.606854256854257
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,P_plus_B_plus_E,268,55,35,7,0.9611691178864366,0.7774170274170276
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,P_plus_B_plus_E_dynamic,268,55,35,7,0.9805263336782656,0.5755149639906219
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,M,256,67,33,9,0.17577562502062535,0.07868735220694532
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,P,256,67,33,9,0.3621714231601202,0.08526474377503666
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,P_plus_B,256,67,33,9,0.9529837621531745,0.5898714981243517
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,P_plus_E,256,67,33,9,0.060159987360846566,0.4928166653364196
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,P_plus_B_plus_E,256,67,33,9,0.7594554179350084,0.620600207518557
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,P_plus_B_plus_E_dynamic,256,67,33,9,0.9550385285008108,0.7126565245618247
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,M,231,92,30,12,-0.13212520327210164,0.25501489937865357
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,P,231,92,30,12,0.07639716365937921,0.27156640631881773
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,P_plus_B,231,92,30,12,0.957809147444581,0.5933449439760801
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,P_plus_E,231,92,30,12,0.8609068238778219,0.6477197416888861
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,P_plus_B_plus_E,231,92,30,12,0.9628777105922895,0.6552409722115191
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,P_plus_B_plus_E_dynamic,231,92,30,12,0.96427076129425,0.6617525149715063
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,M,268,55,35,7,0.1536766406073995,0.24854650991887337
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,P,268,55,35,7,0.19370231505343763,0.2246834302843854
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,P_plus_B,268,55,35,7,0.9359221767764048,0.6940836940836942
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,P_plus_E,268,55,35,7,0.7580335718970124,0.5746031746031747
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,P_plus_B_plus_E,268,55,35,7,0.9359221767764048,0.7045454545454546
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,P_plus_B_plus_E_dynamic,268,55,35,7,0.93605465699727,0.7348510108301647
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,M,269,54,35,7,0.0002395364614798491,0.0157128988004508
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,P,269,54,35,7,0.22619816798021433,0.02001257936829708
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,P_plus_B,269,54,35,7,0.9683663241084288,0.5611206403659232
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,P_plus_E,269,54,35,7,0.3941719845834665,0.4663617305126739
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,P_plus_B_plus_E,269,54,35,7,0.9810298013315683,0.575528873642081
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,P_plus_B_plus_E_dynamic,269,54,35,7,0.9995270536944608,0.6549758935987455
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,M,268,55,35,7,0.10141770524259383,0.5396662461761128
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,P,268,55,35,7,0.10753478268688448,0.6864368572563504
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,P_plus_B,268,55,35,7,0.2950699771864742,0.8345598845598847
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,P_plus_E,268,55,35,7,0.1128994234294557,0.7823953823953825
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,P_plus_B_plus_E,268,55,35,7,0.998180215317468,0.941919191919192
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,P_plus_B_plus_E_dynamic,268,55,35,7,1.0,0.9616252271640965
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,M,256,67,33,9,-0.039472184421009596,0.3750790505725115
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,P,256,67,33,9,-0.025103204993478498,0.5702598080927187
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,P_plus_B,256,67,33,9,0.43561300021653915,0.7174954106472984
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,P_plus_E,256,67,33,9,-0.08459218578772723,0.6400750259398198
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,P_plus_B_plus_E,256,67,33,9,0.9767832237484039,0.8287572831032007
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,P_plus_B_plus_E_dynamic,256,67,33,9,1.0,0.9383143161757709
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,M,231,92,30,12,0.16965255814416802,0.4137435171568091
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,P,231,92,30,12,0.16965255814416802,0.5583322124206928
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,P_plus_B,231,92,30,12,0.08680272768143789,0.7246736433272197
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,P_plus_E,231,92,30,12,0.10417234627493739,0.6732271935637995
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,P_plus_B_plus_E,231,92,30,12,0.3079726195338351,0.8466316292403248
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,P_plus_B_plus_E_dynamic,231,92,30,12,0.9516359404756775,0.9587302219960846
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,M,268,55,35,7,0.4061474790556059,0.5574719789775701
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,P,268,55,35,7,0.4060653967542554,0.6113436345958801
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,P_plus_B,268,55,35,7,0.48959674884144205,0.7401154401154403
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,P_plus_E,268,55,35,7,0.32118708777844934,0.7523809523809526
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,P_plus_B_plus_E,268,55,35,7,0.8714534553030276,0.9130591630591633
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,P_plus_B_plus_E_dynamic,268,55,35,7,0.7917296025197699,0.8770248975451272
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,M,269,54,35,7,0.09239564494916,0.45659487365889917
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,P,269,54,35,7,0.09239564494916,0.5853044913647418
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,P_plus_B,269,54,35,7,0.0192735446489044,0.7740423098913664
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,P_plus_E,269,54,35,7,0.07607868343888126,0.7473603964170001
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,P_plus_B_plus_E,269,54,35,7,0.6358277011288612,0.8764246235944348
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,P_plus_B_plus_E_dynamic,269,54,35,7,0.993759978987638,0.9617782478844376
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,M,268,55,35,7,0.060233012746606564,0.6464442875907468
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,P,268,55,35,7,0.060233012746606564,0.6721500721500723
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,P_plus_B,268,55,35,7,0.23964746862750602,0.8306637806637809
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,P_plus_E,268,55,35,7,0.07580868496404225,0.801731601731602
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,P_plus_B_plus_E,268,55,35,7,0.9985528829515733,0.9409812409812411
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,P_plus_B_plus_E_dynamic,268,55,35,7,0.9965760447192995,0.9468367293575698
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,M,256,67,33,9,-0.076754614828769,0.4329630384610112
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,P,256,67,33,9,-0.06530180242491254,0.531981762003856
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,P_plus_B,256,67,33,9,0.4379669613540833,0.7189719849948122
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,P_plus_E,256,67,33,9,-0.10346909183906815,0.6120999281666535
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,P_plus_B_plus_E,256,67,33,9,0.978715799548777,0.8180221885226276
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,P_plus_B_plus_E_dynamic,256,67,33,9,1.0,0.9028382452987993
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,M,231,92,30,12,0.10278445366136128,0.4713143979363213
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,P,231,92,30,12,0.10278445366136128,0.5354310691443027
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,P_plus_B,231,92,30,12,0.0326232471543169,0.722592975047393
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,P_plus_E,231,92,30,12,0.0587889082890115,0.6506480896382719
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,P_plus_B_plus_E,231,92,30,12,0.17659185830141558,0.8308031379560132
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,P_plus_B_plus_E_dynamic,231,92,30,12,0.9557198626557464,0.9340310893964978
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,M,268,55,35,7,0.33071726428305803,0.5136757945446984
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,P,268,55,35,7,0.33517508670699103,0.5474257707860678
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,P_plus_B,268,55,35,7,0.41000680371693915,0.6980519480519481
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,P_plus_E,268,55,35,7,0.29005613197932667,0.6555555555555557
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,P_plus_B_plus_E,268,55,35,7,0.8513827579612905,0.8548340548340551
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,P_plus_B_plus_E_dynamic,268,55,35,7,0.8001387311320112,0.8193716945122207
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,M,269,54,35,7,0.04175810727499612,0.5407848638532186
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,P,269,54,35,7,0.04175810727499612,0.5633910196972556
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,P_plus_B,269,54,35,7,-0.022086154921297986,0.7693157995044786
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,P_plus_E,269,54,35,7,0.03331299610514761,0.7469792262245092
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,P_plus_B_plus_E,269,54,35,7,0.7804792748814611,0.8588145607013531
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,P_plus_B_plus_E_dynamic,269,54,35,7,0.9904344873754836,0.9400754801841654
SantinhaPlatt2023,ContextSimBaseline,0,M,234,39,25,4,0.23800391853872524,0.3467342216611753
SantinhaPlatt2023,ContextSimBaseline,0,P,234,39,25,4,0.23800391853872524,0.27611336032388667
SantinhaPlatt2023,ContextSimBaseline,0,P_plus_B,234,39,25,4,0.7939307784706762,0.6959514170040487
SantinhaPlatt2023,ContextSimBaseline,0,P_plus_E,234,39,25,4,0.7065162033409039,0.7836032388663968
SantinhaPlatt2023,ContextSimBaseline,0,P_plus_B_plus_E,234,39,25,4,0.816141064556179,0.8076923076923078
SantinhaPlatt2023,ContextSimBaseline,0,P_plus_B_plus_E_dynamic,234,39,25,4,0.8186035173782368,0.8214740278788575
SantinhaPlatt2023,ContextSimBaseline,1,M,223,50,24,5,0.19486025967148102,0.29246501904664934
SantinhaPlatt2023,ContextSimBaseline,1,P,223,50,24,5,0.1859969617772541,0.2472568369701155
SantinhaPlatt2023,ContextSimBaseline,1,P_plus_B,223,50,24,5,0.6776797191671461,0.8153181272509004
SantinhaPlatt2023,ContextSimBaseline,1,P_plus_E,223,50,24,5,0.672098938394041,0.8254021608643458
SantinhaPlatt2023,ContextSimBaseline,1,P_plus_B_plus_E,223,50,24,5,0.8387622977470858,0.8156062424969988
SantinhaPlatt2023,ContextSimBaseline,1,P_plus_B_plus_E_dynamic,223,50,24,5,0.8857590159472255,0.8611610943319906
SantinhaPlatt2023,ContextSimBaseline,2,M,236,37,25,4,0.31000354220749254,0.2818688664070065
SantinhaPlatt2023,ContextSimBaseline,2,P,236,37,25,4,0.19901890623019214,0.25746799431009953
SantinhaPlatt2023,ContextSimBaseline,2,P_plus_B,236,37,25,4,0.5309084644946179,0.6379800853485064
SantinhaPlatt2023,ContextSimBaseline,2,P_plus_E,236,37,25,4,0.4968092583817519,0.6846846846846846
SantinhaPlatt2023,ContextSimBaseline,2,P_plus_B_plus_E,236,37,25,4,0.5244778498895363,0.6192508297771455
SantinhaPlatt2023,ContextSimBaseline,2,P_plus_B_plus_E_dynamic,236,37,25,4,0.5357173360569425,0.7771916319740004
SantinhaPlatt2023,ContextSimBaseline,3,M,211,62,22,7,0.3337010364247438,0.3879811703778669
SantinhaPlatt2023,ContextSimBaseline,3,P,211,62,22,7,0.24769257669968886,0.3563999899272242
SantinhaPlatt2023,ContextSimBaseline,3,P_plus_B,211,62,22,7,0.2941348670844181,0.6774697187177356
SantinhaPlatt2023,ContextSimBaseline,3,P_plus_E,211,62,22,7,0.7320243666083965,0.8010626778474478
SantinhaPlatt2023,ContextSimBaseline,3,P_plus_B_plus_E,211,62,22,7,0.6867015016147208,0.7786003878018686
SantinhaPlatt2023,ContextSimBaseline,3,P_plus_B_plus_E_dynamic,211,62,22,7,0.4134552140187085,0.8087989026030014
SantinhaPlatt2023,ContextSimBaseline,4,M,188,85,20,9,0.1416076538875848,0.2370001532963959
SantinhaPlatt2023,ContextSimBaseline,4,P,188,85,20,9,0.1655312645780392,0.22091068985733828
SantinhaPlatt2023,ContextSimBaseline,4,P_plus_B,188,85,20,9,0.5456938875509223,0.6436193081883916
SantinhaPlatt2023,ContextSimBaseline,4,P_plus_E,188,85,20,9,0.6671846480148301,0.6881962087160445
SantinhaPlatt2023,ContextSimBaseline,4,P_plus_B_plus_E,188,85,20,9,0.7906976825493892,0.705061559507524
SantinhaPlatt2023,ContextSimBaseline,4,P_plus_B_plus_E_dynamic,188,85,20,9,0.8025738745985537,0.7696998462284879
SantinhaPlatt2023,PertMeanPredictor,0,M,234,39,25,4,0.3572197945981421,0.42905526997697335
SantinhaPlatt2023,PertMeanPredictor,0,P,234,39,25,4,0.35454481392301085,0.3409079411218508
SantinhaPlatt2023,PertMeanPredictor,0,P_plus_B,234,39,25,4,0.6703149700849886,0.6759109311740891
SantinhaPlatt2023,PertMeanPredictor,0,P_plus_E,234,39,25,4,0.8208820285778526,0.831174089068826
SantinhaPlatt2023,PertMeanPredictor,0,P_plus_B_plus_E,234,39,25,4,0.8390367666860228,0.8663967611336032
SantinhaPlatt2023,PertMeanPredictor,0,P_plus_B_plus_E_dynamic,234,39,25,4,0.8989167503849353,0.8065202356437984
SantinhaPlatt2023,PertMeanPredictor,1,M,223,50,24,5,0.08218442897985663,0.321266785827851
SantinhaPlatt2023,PertMeanPredictor,1,P,223,50,24,5,-0.004607118292832692,0.29614867494769276
SantinhaPlatt2023,PertMeanPredictor,1,P_plus_B,223,50,24,5,0.8583259842922181,0.758079231692677
SantinhaPlatt2023,PertMeanPredictor,1,P_plus_E,223,50,24,5,0.8092772009910102,0.8127250900360143
SantinhaPlatt2023,PertMeanPredictor,1,P_plus_B_plus_E,223,50,24,5,0.8092772009910102,0.815798319327731
SantinhaPlatt2023,PertMeanPredictor,1,P_plus_B_plus_E_dynamic,223,50,24,5,0.8092772009910102,0.7976084732677597
SantinhaPlatt2023,PertMeanPredictor,2,M,236,37,25,4,0.10951325948589138,0.15404974987466682
SantinhaPlatt2023,PertMeanPredictor,2,P,236,37,25,4,0.05809996786683762,0.1728307254623044
SantinhaPlatt2023,PertMeanPredictor,2,P_plus_B,236,37,25,4,0.5854766730037076,0.578710289236605
SantinhaPlatt2023,PertMeanPredictor,2,P_plus_E,236,37,25,4,0.5792695693802873,0.6325272641062113
SantinhaPlatt2023,PertMeanPredictor,2,P_plus_B_plus_E,236,37,25,4,0.590733844454419,0.5403034613560929
SantinhaPlatt2023,PertMeanPredictor,2,P_plus_B_plus_E_dynamic,236,37,25,4,0.6300009284675991,0.6346609767662398
SantinhaPlatt2023,PertMeanPredictor,3,M,211,62,22,7,0.20329620865362166,0.36595161737086973
SantinhaPlatt2023,PertMeanPredictor,3,P,211,62,22,7,0.25002601318733814,0.36728321227776345
SantinhaPlatt2023,PertMeanPredictor,3,P_plus_B,211,62,22,7,0.2858809151061959,0.6525899624789101
