e170_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e170_selection_sha256,e170_column_unseen_sha256,target_stratum,perturbation_support_contexts_pretruth,excluded_e168_primary_target,selection_used_expression_abundance_effect_or_error
1,P01,1,ENSG00000026751,SLAMF7,2,SLAMF7-1+SLAMF7-2,True,SLAMF7,True,True,SLAMF7,True,True,2587f777a02bcdc52460f2d96bb7ce372a86ae655b1e7bf00ef7ab7855ace679,13363d27e9f5b661cff267b467806ec1cc3959607d1891be143a955d5ed376b4,000d321f9cd4fbdea615c25439aec0ad9772be19290014d9e09ecaaed07d8672,e52b34f7ba8df1af5599275daca07f3910a2538d95209aea99cbb21ed7afd9e1,DONOR_UNSEEN_ONLY,6,True,False
2,P01,2,ENSG00000147684,NDUFB9,2,NDUFB9-1+NDUFB9-2,True,NDUFB9,True,True,NDUFB9,True,True,27198d89ff78d6b60f757e19d0635099cde8fd0325e09510406cd241fc82117a,390d25e50d66ca1e2860c2939600f692eb4159eada248177399ec09e78e589a5,0013bb7b1376402e98eddd7daa85bdf5c8eba9a6df5acbb46e97dc7670d6ae46,1faf91d83f1d3619451b260e25bb4b0cc9bf2b0153562c7cd3615eb2cfed84c5,COLUMN_UNSEEN,0,True,False
3,P01,3,ENSG00000197136,PCNX3,2,PCNX3-1+PCNX3-2,True,PCNX3,True,True,PCNX3,True,True,0e3a0b300b6b6448c54ae5fd3410f1d85136939fd0f40a088c9f3b871b491cfd,03a706152ed4bc8455d89d9423bdd53206adebcd450a9b22e019e9c24e750890,001621f38813f22352478a3634ac3c44f867bb723e35cf0fbe7d101d28c14428,d01deb1556f58203f585bf6d1f4be1b5b11869d88792d71020263e588f1de41f,DONOR_UNSEEN_ONLY,6,True,False
4,P01,4,ENSG00000136158,SPRY2,2,SPRY2-1+SPRY2-2,True,SPRY2,True,True,SPRY2,True,True,75ecd22bfd6d86368ef0212eea359feefadeae7c9bf5429eb0e5caa1cebed2ca,f138ad2f79a0f587080a7096e97f5bc8baf0b06ba425b055cb2e7dd0256d726b,0017a12cc4fb4454d4f593cf1a74a6d92673093e92c8c016c6f6b83a8efabb40,2ada444f7e1bc68ea5061f9d1f96555c8bc1cc5b5f6df492f9046b54012981eb,COLUMN_UNSEEN,0,True,False
5,P01,5,ENSG00000125868,DSTN,2,DSTN-1+DSTN-2,True,DSTN,True,True,DSTN,True,True,7afe7220d0946b69f71ebc0eeee1972f9bf4b8b1f1ecdc35bd9983489ea9515d,18c4b4532f4ee9031838802744618aad8410dd7c8499e8dd9f04b040e0f3f641,0023be1ed3b664ca8d837f091a7d9f3b659ca2b301edb404c482fc2db21fb164,86a56fec4199efedc64ffdc313ffcf4920228f55ed3da5ab92adbaa72120ff7d,DONOR_UNSEEN_ONLY,6,True,False
6,P01,6,ENSG00000177409,SAMD9L,2,SAMD9L-1+SAMD9L-2,True,SAMD9L,True,True,SAMD9L,True,True,592f83e6f9357e3c05f300a73f2c45b4662c1688ee57688a3215a145f5bccc56,e47c4c7bf5f68e8e5603b7abb3f6e9015562d698c3d749ddaab428628f12c1e3,00473f1e9baa3f4f91ebd7d19340def54864512f7462072c1c70daafb08b7fe2,b4a8f6b917e89a585eb48f14c9bd8772ab331773de20d6517d59fe0d54f73500,DONOR_UNSEEN_ONLY,6,True,False
7,P01,7,ENSG00000110987,BCL7A,2,BCL7A-1+BCL7A-2,True,BCL7A,True,True,BCL7A,True,True,a0256fc35e3e1275fb8cab31456011d2b9c2c69caed66aea2586494ab761f4ea,c4bbac04ab965075e7c3a5e6c2a16441cbd9eb55d864d509a9fbe0b6ec885442,004918184443453a0158e16646b2107acf2b4525d68e625cbe940423222a3303,fb9752fb486722e1a0a7c37444ce076d4d35edaeda197b8ab9e6b37c2c9d0f94,DONOR_UNSEEN_ONLY,6,True,False
8,P01,8,ENSG00000157103,SLC6A1,2,SLC6A1-1+SLC6A1-2,True,SLC6A1,True,True,SLC6A1,True,True,124c7fbb687a87687ce5399fb25a8da9027ceb6216dc004ca9467bde82c8fae3,009b4937218886b3507decde8cbe817906ddb48fc1c7ed1980c1235a77b6b7b0,004a7f635bfc51bd7070357d6dbe65ff51cdc364d898a9aab9161c9b49eef01b,3cb0dd0e2fc358b11f591dce76bae2ca1242963992b737cfe5af993f1937df59,DONOR_UNSEEN_ONLY,6,True,False
9,P01,9,ENSG00000136603,SKIL,2,SKIL-1+SKIL-2,True,SKIL,True,True,SKIL,True,True,68170028bdf323e6ceabf2f48c9850cca31f5d5b5e11917a0aa921a2fcb997f9,4891e0e72abbb34df685acb6a643e8b5bf10b3947a9d7a0d0641923725b82e84,007060be8e160441f5f2f165efbae862ac2eadcf410305b485258696b3c9aba8,93306c8e4cfc178f055f7a5146469d572f1d816b22a4705bb0f41d60d41d185f,DONOR_UNSEEN_ONLY,6,True,False
10,P01,10,ENSG00000164111,ANXA5,2,ANXA5-1+ANXA5-2,True,ANXA5,True,True,ANXA5,True,True,cf21542b5a7a8a4e021abcd8e9996fe612a5433a924e3e21e8690eafa6164785,f17ecd248e783690a2dd93809e90ecb2e7dd76b64c4186c565b77ed43dca2320,0073ba1cdd3b5765785869113c4fe9a43c0023065efcb15c9decb5f312d16b75,bdadf6620a77efd447fba6f22bd68781d77db4705aab5590716f4e4469e0f1ba,DONOR_UNSEEN_ONLY,6,True,False
11,P01,11,ENSG00000149256,TENM4,2,TENM4-1+TENM4-2,True,TENM4,True,True,TENM4,True,True,bc603e7a5d34d827df95b08b6926b062ac687e6449be019a49df9120c0d1e79a,cd46e89e599e75777a68b28ea464d3b31bf5c2bb81780a8cd59e37e71050aef4,007ce49e88253a60502841760a648a8be4e309c7e5269ffd030e68990168b8c8,5632e946e26f2e7607f728cd96a32ba86224241a92745b89c01cf1825d438bcd,DONOR_UNSEEN_ONLY,6,True,False
12,P01,12,ENSG00000179151,EDC3,2,EDC3-1+EDC3-2,True,EDC3,True,True,EDC3,True,True,09eb082b636864cff504d7bd33010c3ac9fc1b0efd8b18edf3589e432eab06d4,4fb2206947b409e2723a2e3ab12718b390129eea8eaf403202888403b9129939,008a28820b3e55f873d6dd3468bc2757d5b0d6894f7fadbdde039bac89a29f17,da40598539520bbf2beb07f68ae21404091d2ac0ca79580d5f4d1484fbe75dc3,DONOR_UNSEEN_ONLY,6,True,False
13,P01,13,ENSG00000239672,NME1,2,NME1-1+NME1-2,True,NME1,True,True,NME1,True,True,8bc38e6b65f5e3a8f811d6f911ebda2a35594ec0853affc632fa73d8c788a9b8,64cebc75d1dae53400b4b700798a4c801859d1eeb51f64219d2935b6f4cd4cb5,008da5db161076b247dac3752aafd7855746869bbe1dd32b8a8da80eb948984a,34ef5a0f3df9a93bbd45e264892c7c11ecfa7805572c7663750907e30a09963e,DONOR_UNSEEN_ONLY,6,True,False
14,P01,14,ENSG00000165175,MID1IP1,2,MID1IP1-1+MID1IP1-2,True,MID1IP1,True,True,MID1IP1,True,True,94a8e9511990787746d0a4873c6959bd700dc2c483e46e91f827279ba9f9a3da,e38f628a056ac9a20c050095368b15f8682df482402d2681fe60cc91e56eddb5,009c7bbf1281be99f16f54b62910d0d7d1b6100931177ebdd276a18c725f9636,fac8485ec3b8376e8e2504cff5cc635d8649faeb2e14878ff5d467fb926c4249,DONOR_UNSEEN_ONLY,6,True,False
15,P01,15,ENSG00000236320,SLFN14,2,SLFN14-1+SLFN14-2,True,SLFN14,True,True,SLFN14,True,True,a9269363e9d0daba359838dc8190be1fc7a6723f035500978fba46e201d634a8,a7ee3c4542101fe2a6f0dea119c4d2b12eacb04b511f4310566b8fb98594d9b5,00b58730b8d6f355cc6531b61f03c2fad404ee8133a7ab19112693aac721c80c,1ca6095435208d934606127630cf7a8db02fc4da89386f455bf79f625671ca20,COLUMN_UNSEEN,0,True,False
