target_dataset,target_error,risk_model,reject_fraction,n_kept,kept_mean_error,kept_vs_all_error_ratio
Adamson,gears_ensemble_rmse,magnitude_only,0.0,24,0.10013181826981699,0.9999999999999999
Adamson,gears_ensemble_rmse,magnitude_only,0.1,21,0.09510307648940822,0.9497787829353279
Adamson,gears_ensemble_rmse,magnitude_only,0.2,19,0.09506265260292447,0.949375076229685
Adamson,gears_ensemble_rmse,magnitude_only,0.3,16,0.09980021729017609,0.9966883555559994
Adamson,gears_ensemble_rmse,disagreement_only,0.0,24,0.100131818269817,1.0
Adamson,gears_ensemble_rmse,disagreement_only,0.1,21,0.09863689337599173,0.9850704309613452
Adamson,gears_ensemble_rmse,disagreement_only,0.2,19,0.09019300834361958,0.9007427399409035
Adamson,gears_ensemble_rmse,disagreement_only,0.3,16,0.08626984941506842,0.8615627969783204
Adamson,gears_ensemble_rmse,fixed_rank_average,0.0,24,0.10013181826981699,0.9999999999999999
Adamson,gears_ensemble_rmse,fixed_rank_average,0.1,21,0.09504270146191703,0.9491758274658836
Adamson,gears_ensemble_rmse,fixed_rank_average,0.2,19,0.09802649231802993,0.9789744559904623
Adamson,gears_ensemble_rmse,fixed_rank_average,0.3,16,0.08388460967164635,0.8377417999702089
Adamson,gears_ensemble_rmse,predictor_aware_residual,0.0,24,0.10013181826981699,0.9999999999999999
Adamson,gears_ensemble_rmse,predictor_aware_residual,0.1,21,0.09504270146191703,0.9491758274658836
Adamson,gears_ensemble_rmse,predictor_aware_residual,0.2,19,0.0975641499429709,0.9743571187339551
Adamson,gears_ensemble_rmse,predictor_aware_residual,0.3,16,0.08388460967164635,0.8377417999702089
Adamson,scgpt_finetuned_rmse,magnitude_only,0.0,24,0.11505550840568808,1.0000000000000002
Adamson,scgpt_finetuned_rmse,magnitude_only,0.1,21,0.11070912371079886,0.9622235844670403
Adamson,scgpt_finetuned_rmse,magnitude_only,0.2,19,0.11077231303280269,0.9627727917399422
Adamson,scgpt_finetuned_rmse,magnitude_only,0.3,16,0.11022904290939806,0.9580509828415013
Adamson,scgpt_finetuned_rmse,disagreement_only,0.0,24,0.11505550840568808,1.0000000000000002
Adamson,scgpt_finetuned_rmse,disagreement_only,0.1,21,0.10857966464280808,0.9437154826169118
Adamson,scgpt_finetuned_rmse,disagreement_only,0.2,19,0.10134448366786666,0.8808312185325708
Adamson,scgpt_finetuned_rmse,disagreement_only,0.3,16,0.09930737247584195,0.8631257542722955
Adamson,scgpt_finetuned_rmse,fixed_rank_average,0.0,24,0.11505550840568808,1.0000000000000002
Adamson,scgpt_finetuned_rmse,fixed_rank_average,0.1,21,0.10830701233116768,0.941345736783631
Adamson,scgpt_finetuned_rmse,fixed_rank_average,0.2,19,0.10997959860679674,0.9558829484200481
Adamson,scgpt_finetuned_rmse,fixed_rank_average,0.3,16,0.09867563937950849,0.8576350732515663
Adamson,scgpt_finetuned_rmse,predictor_aware_residual,0.0,24,0.11505550840568808,1.0000000000000002
Adamson,scgpt_finetuned_rmse,predictor_aware_residual,0.1,21,0.1085796646428081,0.9437154826169122
Adamson,scgpt_finetuned_rmse,predictor_aware_residual,0.2,19,0.10134448366786668,0.880831218532571
Adamson,scgpt_finetuned_rmse,predictor_aware_residual,0.3,16,0.09930737247584197,0.8631257542722957
