target_dataset,target_error,delta_spearman,bootstrap_delta_mean,bootstrap_ci95_low,bootstrap_ci95_high,reliably_positive
Adamson,gears_ensemble_rmse,0.21130434782608695,0.20541953998821258,-0.23452559647783322,0.6353271919461391,False
Adamson,scgpt_finetuned_rmse,0.27391304347826095,0.2635400679647643,-0.09344978165938866,0.6719160104986877,False
Adamson,task_max_rmse,0.5052173913043477,0.4889824649434186,0.037470107948760094,0.9514316782276669,True
Adamson,task_mean_rmse,0.34695652173913044,0.3352082625230236,-0.11750519455336417,0.7630374475486741,False
Frangieh,gears_ensemble_rmse,0.055652173913043446,0.05646569167079591,-0.22378710175488703,0.37792518273904735,False
Frangieh,scgpt_finetuned_rmse,0.15217391304347824,0.14645858378681031,-0.06658491574128893,0.3898193567683537,False
Frangieh,task_max_rmse,0.04956521739130434,0.04551749294412202,-0.1065513820607767,0.19431284896933093,False
Frangieh,task_mean_rmse,0.1869565217391304,0.1874364189266961,-0.20605381818655408,0.5819799937480463,False
Norman,gears_ensemble_rmse,0.19739130434782598,0.18656291477365924,-0.043727319720808525,0.49802735343480786,False
Norman,scgpt_finetuned_rmse,-0.011304347826086969,-0.0080062502092782,-0.2988323288353977,0.28347077237061646,False
Norman,task_max_rmse,0.18695652173913035,0.17987301196818345,-0.05244927392082764,0.4428116568244355,False
Norman,task_mean_rmse,0.2017391304347826,0.19687204129346997,-0.06890912864937074,0.5065505048768467,False
