target_dataset,target_error,risk_model,target_spearman,top20_k,top20_error_enrichment,target_truth_used_for_fit_feature_ranking_or_selection
Adamson,gears_ensemble_rmse,magnitude_only,0.10695652173913042,5,1.1923747103271969,False
Adamson,gears_ensemble_rmse,disagreement_only,0.3347826086956522,5,1.377177588224566,False
Adamson,gears_ensemble_rmse,fixed_rank_average,0.2407490081175705,5,1.0974429488109698,False
Adamson,gears_ensemble_rmse,predictor_aware_residual,0.3182608695652174,5,1.0974429488109698,False
Adamson,scgpt_finetuned_rmse,magnitude_only,0.28086956521739126,5,1.1414633913882202,False
Adamson,scgpt_finetuned_rmse,disagreement_only,0.5660869565217391,5,1.452841369576231,False
Adamson,scgpt_finetuned_rmse,fixed_rank_average,0.42403170688338815,5,1.1474709822923779,False
Adamson,scgpt_finetuned_rmse,predictor_aware_residual,0.5547826086956522,5,1.452841369576231,False
Adamson,task_mean_rmse,magnitude_only,0.14782608695652172,5,1.159755673878003,False
Adamson,task_mean_rmse,disagreement_only,0.49391304347826087,5,1.4176331994624911,False
Adamson,task_mean_rmse,fixed_rank_average,0.3635179417326787,5,1.1241917398093357,False
Adamson,task_mean_rmse,predictor_aware_residual,0.49478260869565216,5,1.4176331994624911,False
Adamson,task_max_rmse,magnitude_only,0.09565217391304347,5,1.1211759073825203,False
Adamson,task_max_rmse,disagreement_only,0.6,5,1.4807315682050992,False
Adamson,task_max_rmse,fixed_rank_average,0.46147187812771195,5,1.14234324862361,False
Adamson,task_max_rmse,predictor_aware_residual,0.6008695652173912,5,1.4807315682050992,False
Norman,gears_ensemble_rmse,magnitude_only,0.42,5,1.2400187085362797,False
Norman,gears_ensemble_rmse,disagreement_only,0.7078260869565216,5,1.283876335089138,False
Norman,gears_ensemble_rmse,fixed_rank_average,0.5652173913043478,5,1.2871209707149278,False
Norman,gears_ensemble_rmse,predictor_aware_residual,0.617391304347826,5,1.238392509110814,False
Norman,scgpt_finetuned_rmse,magnitude_only,0.33999999999999997,5,1.1394585687073768,False
Norman,scgpt_finetuned_rmse,disagreement_only,0.2982608695652174,5,1.165725033705057,False
Norman,scgpt_finetuned_rmse,fixed_rank_average,0.2782608695652174,5,1.1846888117753664,False
Norman,scgpt_finetuned_rmse,predictor_aware_residual,0.328695652173913,5,1.269874707234208,False
Norman,task_mean_rmse,magnitude_only,0.38260869565217387,5,1.222458949668442,False
Norman,task_mean_rmse,disagreement_only,0.588695652173913,5,1.2270120870636014,False
Norman,task_mean_rmse,fixed_rank_average,0.49478260869565216,5,1.237822083411134,False
Norman,task_mean_rmse,predictor_aware_residual,0.5843478260869565,5,1.1907772559621703,False
Norman,task_max_rmse,magnitude_only,0.3739130434782608,5,1.2793299328001397,False
Norman,task_max_rmse,disagreement_only,0.5956521739130434,5,1.3197329572007788,False
Norman,task_max_rmse,fixed_rank_average,0.45999999999999996,5,1.322722017545893,False
Norman,task_max_rmse,predictor_aware_residual,0.5608695652173912,5,1.2778318267640505,False
Frangieh,gears_ensemble_rmse,magnitude_only,0.23826086956521736,5,0.9669833016850514,False
Frangieh,gears_ensemble_rmse,disagreement_only,0.32608695652173914,5,1.0273988767241153,False
Frangieh,gears_ensemble_rmse,fixed_rank_average,0.3326810254770264,5,1.0470630354292043,False
Frangieh,gears_ensemble_rmse,predictor_aware_residual,0.2939130434782608,5,0.9841195948855694,False
Frangieh,scgpt_finetuned_rmse,magnitude_only,-0.017391304347826087,5,0.9089009665145878,False
Frangieh,scgpt_finetuned_rmse,disagreement_only,0.30347826086956514,5,0.9590007390939729,False
Frangieh,scgpt_finetuned_rmse,fixed_rank_average,0.19569472086883902,5,0.9797909680227231,False
Frangieh,scgpt_finetuned_rmse,predictor_aware_residual,0.13478260869565215,5,0.9197650811427639,False
Frangieh,task_mean_rmse,magnitude_only,0.011304347826086955,5,0.9156654577982372,False
Frangieh,task_mean_rmse,disagreement_only,0.348695652173913,5,0.9935940784169681,False
Frangieh,task_mean_rmse,fixed_rank_average,0.29180257267331333,5,1.013814781175879,False
Frangieh,task_mean_rmse,predictor_aware_residual,0.19826086956521738,5,0.9680584308015695,False
Frangieh,task_max_rmse,magnitude_only,-0.013913043478260868,5,0.9182005318569894,False
Frangieh,task_max_rmse,disagreement_only,0.3695652173913043,5,1.0089656525085169,False
Frangieh,task_max_rmse,fixed_rank_average,0.337899551366862,5,1.0282770038915092,False
Frangieh,task_max_rmse,predictor_aware_residual,0.03565217391304347,5,0.9182005318569894,False
