target_dataset,target_error,stage,alpha,grouped_source_cv_mae
Adamson,gears_ensemble_rmse,magnitude_base,0.0,0.23266795059069575
Adamson,gears_ensemble_rmse,magnitude_base,0.1,0.2323338264996283
Adamson,gears_ensemble_rmse,magnitude_base,1.0,0.2335518804817084
Adamson,gears_ensemble_rmse,magnitude_base,10.0,0.24312974672658946
Adamson,gears_ensemble_rmse,magnitude_base,100.0,0.2490426811554003
Adamson,gears_ensemble_rmse,disagreement_residual,0.0,0.23750751480994137
Adamson,gears_ensemble_rmse,disagreement_residual,0.1,0.23531899245976792
Adamson,gears_ensemble_rmse,disagreement_residual,1.0,0.22451344611625354
Adamson,gears_ensemble_rmse,disagreement_residual,10.0,0.2294683951309767
Adamson,gears_ensemble_rmse,disagreement_residual,100.0,0.23203528031167106
Adamson,scgpt_finetuned_rmse,magnitude_base,0.0,0.2625438790859513
Adamson,scgpt_finetuned_rmse,magnitude_base,0.1,0.25836297004474607
Adamson,scgpt_finetuned_rmse,magnitude_base,1.0,0.2495259271977661
Adamson,scgpt_finetuned_rmse,magnitude_base,10.0,0.2488999190972135
Adamson,scgpt_finetuned_rmse,magnitude_base,100.0,0.24984940318018364
Adamson,scgpt_finetuned_rmse,disagreement_residual,0.0,0.22717533604434512
Adamson,scgpt_finetuned_rmse,disagreement_residual,0.1,0.22821265225907195
Adamson,scgpt_finetuned_rmse,disagreement_residual,1.0,0.23526767029302786
Adamson,scgpt_finetuned_rmse,disagreement_residual,10.0,0.24553823343965955
Adamson,scgpt_finetuned_rmse,disagreement_residual,100.0,0.2484994745252541
Adamson,task_mean_rmse,magnitude_base,0.0,0.2418548325782248
Adamson,task_mean_rmse,magnitude_base,0.1,0.24000628272649926
Adamson,task_mean_rmse,magnitude_base,1.0,0.23761672899893585
Adamson,task_mean_rmse,magnitude_base,10.0,0.24513866143548332
Adamson,task_mean_rmse,magnitude_base,100.0,0.24937303358954524
Adamson,task_mean_rmse,disagreement_residual,0.0,0.21756487931361565
Adamson,task_mean_rmse,disagreement_residual,0.1,0.21792556130012217
Adamson,task_mean_rmse,disagreement_residual,1.0,0.22256568160194598
Adamson,task_mean_rmse,disagreement_residual,10.0,0.23161392037088654
Adamson,task_mean_rmse,disagreement_residual,100.0,0.23689341035138858
Adamson,task_max_rmse,magnitude_base,0.0,0.24916452836301642
Adamson,task_max_rmse,magnitude_base,0.1,0.24694079531067062
Adamson,task_max_rmse,magnitude_base,1.0,0.2411969270808568
Adamson,task_max_rmse,magnitude_base,10.0,0.24521891821222389
Adamson,task_max_rmse,magnitude_base,100.0,0.24931781479159207
Adamson,task_max_rmse,disagreement_residual,0.0,0.23055614249616876
Adamson,task_max_rmse,disagreement_residual,0.1,0.2280774145707276
Adamson,task_max_rmse,disagreement_residual,1.0,0.2282964971684068
Adamson,task_max_rmse,disagreement_residual,10.0,0.2349321574096581
Adamson,task_max_rmse,disagreement_residual,100.0,0.2403916518279189
Norman,gears_ensemble_rmse,magnitude_base,0.0,0.24534168248297591
Norman,gears_ensemble_rmse,magnitude_base,0.1,0.24511499288528737
Norman,gears_ensemble_rmse,magnitude_base,1.0,0.24570274109398194
Norman,gears_ensemble_rmse,magnitude_base,10.0,0.24863385995590392
Norman,gears_ensemble_rmse,magnitude_base,100.0,0.24984014886487113
Norman,gears_ensemble_rmse,disagreement_residual,0.0,0.2448846592648921
Norman,gears_ensemble_rmse,disagreement_residual,0.1,0.23368561580065697
Norman,gears_ensemble_rmse,disagreement_residual,1.0,0.2359353777450405
Norman,gears_ensemble_rmse,disagreement_residual,10.0,0.24399582658223315
Norman,gears_ensemble_rmse,disagreement_residual,100.0,0.24500884970415346
Norman,scgpt_finetuned_rmse,magnitude_base,0.0,0.2581012669510321
Norman,scgpt_finetuned_rmse,magnitude_base,0.1,0.2572948516972931
Norman,scgpt_finetuned_rmse,magnitude_base,1.0,0.25398936061550476
Norman,scgpt_finetuned_rmse,magnitude_base,10.0,0.2500706482734297
Norman,scgpt_finetuned_rmse,magnitude_base,100.0,0.2500075165674143
Norman,scgpt_finetuned_rmse,disagreement_residual,0.0,0.24207449335903494
Norman,scgpt_finetuned_rmse,disagreement_residual,0.1,0.22641652176464885
Norman,scgpt_finetuned_rmse,disagreement_residual,1.0,0.21325247869031502
Norman,scgpt_finetuned_rmse,disagreement_residual,10.0,0.23798501147681025
Norman,scgpt_finetuned_rmse,disagreement_residual,100.0,0.2484025661338272
Norman,task_mean_rmse,magnitude_base,0.0,0.24858065751378314
Norman,task_mean_rmse,magnitude_base,0.1,0.24772761794231224
Norman,task_mean_rmse,magnitude_base,1.0,0.2462697472273894
Norman,task_mean_rmse,magnitude_base,10.0,0.248439287251267
Norman,task_mean_rmse,magnitude_base,100.0,0.24981955329809427
Norman,task_mean_rmse,disagreement_residual,0.0,0.25140322924854663
Norman,task_mean_rmse,disagreement_residual,0.1,0.23640018743534374
Norman,task_mean_rmse,disagreement_residual,1.0,0.22517803093827082
Norman,task_mean_rmse,disagreement_residual,10.0,0.23842896654006965
Norman,task_mean_rmse,disagreement_residual,100.0,0.24520574717952723
Norman,task_max_rmse,magnitude_base,0.0,0.26359264220372225
Norman,task_max_rmse,magnitude_base,0.1,0.2622725343074554
Norman,task_max_rmse,magnitude_base,1.0,0.25533786998115976
Norman,task_max_rmse,magnitude_base,10.0,0.2495537279768605
Norman,task_max_rmse,magnitude_base,100.0,0.2499446470856328
Norman,task_max_rmse,disagreement_residual,0.0,0.20962063228872072
Norman,task_max_rmse,disagreement_residual,0.1,0.20067731823102697
Norman,task_max_rmse,disagreement_residual,1.0,0.2156436899428329
Norman,task_max_rmse,disagreement_residual,10.0,0.24112594252138106
Norman,task_max_rmse,disagreement_residual,100.0,0.24849206262577872
Frangieh,gears_ensemble_rmse,magnitude_base,0.0,0.234964265331547
Frangieh,gears_ensemble_rmse,magnitude_base,0.1,0.23552783915869255
Frangieh,gears_ensemble_rmse,magnitude_base,1.0,0.2392945496096401
Frangieh,gears_ensemble_rmse,magnitude_base,10.0,0.2468685134931721
Frangieh,gears_ensemble_rmse,magnitude_base,100.0,0.24962581549475304
Frangieh,gears_ensemble_rmse,disagreement_residual,0.0,0.24061181919089272
Frangieh,gears_ensemble_rmse,disagreement_residual,0.1,0.23191889679316213
Frangieh,gears_ensemble_rmse,disagreement_residual,1.0,0.23063130534333862
Frangieh,gears_ensemble_rmse,disagreement_residual,10.0,0.23175103149110132
Frangieh,gears_ensemble_rmse,disagreement_residual,100.0,0.23448161480877963
Frangieh,scgpt_finetuned_rmse,magnitude_base,0.0,0.24419873423021454
Frangieh,scgpt_finetuned_rmse,magnitude_base,0.1,0.24140107023625443
Frangieh,scgpt_finetuned_rmse,magnitude_base,1.0,0.2375762708109177
Frangieh,scgpt_finetuned_rmse,magnitude_base,10.0,0.24629353406091573
Frangieh,scgpt_finetuned_rmse,magnitude_base,100.0,0.2495459339203877
