method,feature_group,n_targets,mean_spearman,delta_vs_M_spearman,positive_targets_vs_M_spearman,delta_vs_frozen_spearman,positive_targets_vs_frozen_spearman,mean_utility_20,delta_vs_M_utility_20,positive_targets_vs_M_utility_20,delta_vs_frozen_utility_20,positive_targets_vs_frozen_utility_20
M,reference,4,0.7294157717771083,0.0,0,-0.02179325344033542,0,0.7608989071134722,0.0,0,-0.015356901675927653,1
frozen_M_plus_S,reference,4,0.7512090252174436,0.02179325344033542,4,0.0,0,0.7762558087893997,0.015356901675927653,3,0.0,0
histgb,A_D,4,0.716388289145348,-0.013027482631760207,1,-0.034820736072095626,0,0.7489223547860765,-0.011976552327395584,2,-0.027333454003323238,1
histgb,A_D_Bio,4,0.7078420549549492,-0.021573716822158973,1,-0.04336697026249439,1,0.7675816867220824,0.006682779608610412,3,-0.008674122067317241,1
histgb,A_M,4,0.7142392338459562,-0.015176537931152007,1,-0.036969791371487426,0,0.7511935490796278,-0.00970535803384423,2,-0.025062259709771884,1
ridge,A_D,4,0.7345290519954536,0.005113280218345367,2,-0.016679973221990052,0,0.7635755818041234,0.002676674690651387,3,-0.012680226985276266,1
ridge,A_D_Bio,4,0.7259464206943673,-0.0034693510827409346,2,-0.025262604523076354,0,0.7550589427386644,-0.005839964374807799,2,-0.021196866050735452,1
ridge,A_M,4,0.7294157717771083,0.0,0,-0.02179325344033542,0,0.7608989071134722,0.0,0,-0.015356901675927653,1
