target,method,feature_group,n_source,n_target,spearman,utility_20
K562,M,reference,1242,566,0.8871070648049291,0.933698440350732
K562,frozen_M_plus_S,reference,1242,566,0.9022571878843464,0.9327003084405817
K562,ridge,A_M,1242,566,0.8871070648049291,0.933698440350732
K562,histgb,A_M,1242,566,0.8532897871302887,0.8952623375619327
K562,ridge,A_D,1242,566,0.8970881519303922,0.9114277954534018
K562,histgb,A_D,1242,566,0.8607744499869888,0.889320855339608
K562,ridge,A_D_Bio,1242,566,0.9011308843386143,0.8911831916690134
K562,histgb,A_D_Bio,1242,566,0.8592287002070947,0.9165163814025565
RPE1,M,reference,1392,416,0.5739723698335123,0.6089265531479356
RPE1,frozen_M_plus_S,reference,1392,416,0.5896483050058327,0.6181269659019567
RPE1,ridge,A_M,1392,416,0.5739723698335123,0.6089265531479356
RPE1,histgb,A_M,1392,416,0.5746355620569712,0.6094177016575204
RPE1,ridge,A_D,1392,416,0.5725418553016716,0.6179818347676593
RPE1,histgb,A_D,1392,416,0.5839688285075789,0.6108720180738424
RPE1,ridge,A_D_Bio,1392,416,0.5859070482261086,0.6257577726391563
RPE1,histgb,A_D_Bio,1392,416,0.5963741709043504,0.6269867480803096
hepg2,M,reference,1403,405,0.7693076532612211,0.7882033298990127
hepg2,frozen_M_plus_S,reference,1403,405,0.7959227571422817,0.82703532831549
hepg2,ridge,A_M,1403,405,0.7693076532612211,0.7882033298990127
hepg2,histgb,A_M,1403,405,0.7513054483825188,0.7712346254476771
hepg2,ridge,A_D,1403,405,0.7650109017469893,0.7936723079019802
hepg2,histgb,A_D,1403,405,0.740732766730436,0.7530820762706057
hepg2,ridge,A_D_Bio,1403,405,0.7310559791611345,0.8119762456113302
hepg2,histgb,A_D_Bio,1403,405,0.7144197963089395,0.8003004458576901
jurkat,M,reference,1387,421,0.6872759992087704,0.712767305056208
jurkat,frozen_M_plus_S,reference,1387,421,0.7170078508373138,0.7271606324995705
jurkat,ridge,A_M,1387,421,0.6872759992087704,0.712767305056208
jurkat,histgb,A_M,1387,421,0.6777261378140461,0.7288595316513812
jurkat,ridge,A_D,1387,421,0.7034752990027613,0.7312203890934525
jurkat,histgb,A_D,1387,421,0.6800771113563883,0.7424144694602498
jurkat,ridge,A_D_Bio,1387,421,0.6856917710516116,0.6913185610351572
jurkat,histgb,A_D_Bio,1387,421,0.6613455523994123,0.7265231715477737
