metric_group,metric,n_seeds,mean,min,max,std,range
model_and_simple_baseline,ensemble_minus_simple_baseline,3,-0.4802131021399152,-0.4825133574643612,-0.4776376659925644,0.002449466308404524,0.004875691471796784
model_and_simple_baseline,fraction_tasks_ensemble_beats_simple_baseline,3,1.0,1.0,1.0,0.0,0.0
model_and_simple_baseline,rmse_ensemble_mean,3,0.10055367097674638,0.0982534156523004,0.1031291071240972,0.002449466308404543,0.0048756914717967975
model_and_simple_baseline,rmse_gears_mean,3,0.10877077474482377,0.1065247796236046,0.1131432115777687,0.0037871131681005404,0.006618431954164103
model_and_simple_baseline,rmse_individual_mean,3,0.10807826545187767,0.1032392295045644,0.1125416345135635,0.0046625667764205354,0.009302405008999093
model_and_simple_baseline,rmse_scgpt_mean,3,0.10738575615893163,0.0999536793855243,0.118438935994029,0.009760146951153053,0.018485256608504697
model_and_simple_baseline,rmse_training_perturbed_mean,3,0.5807667731166616,0.5807667731166616,0.5807667731166616,0.0,0.0
two_fold_macro_spearman,absolute_disagreement_spearman,3,0.21873760147714094,-0.0364230452298113,0.362467954587072,0.22156497959304616,0.3988909998168833
two_fold_macro_spearman,absolute_magnitude_spearman,3,0.2937539542476475,0.2143167061782109,0.3461648507599341,0.06995570788919764,0.1318481445817232
two_fold_macro_spearman,absolute_safeconf_spearman,3,0.29235553940528836,0.1726050128805805,0.3748213455003992,0.10613893761333391,0.2022163326198187
two_fold_macro_spearman,directional_composite_spearman,3,0.3177768469988676,0.1905178490301894,0.3893930316437876,0.11049853650992379,0.19887518261359818
two_fold_macro_spearman,directional_cosine_spearman,3,0.31648561030636474,0.1870592491583921,0.3888803959382153,0.11234942935444348,0.20182114677982319
two_fold_macro_spearman,directional_pearson_spearman,3,0.318501428194321,0.1937176022413164,0.388828859696941,0.10835693272181829,0.19511125745562458
two_fold_macro_spearman,magnitude_composite_spearman,3,0.30093917889900673,0.2080665409062664,0.3487641517891081,0.08044205072867373,0.1406976108828417
two_fold_macro_spearman,magnitude_cosine_spearman,3,0.30247726914239453,0.2114426341988372,0.3511233061710309,0.07890036410274369,0.1396806719721937
two_fold_macro_spearman,magnitude_pearson_spearman,3,0.29920309983692833,0.2042610116514187,0.3470689891961179,0.08222320830856239,0.1428079775446992
