run_id,seed,train_fraction,reused_e151,metric_group,metric,value,fold_min,fold_max
seed2_frac50,2026071542,50,False,model_and_simple_baseline,rmse_ensemble_mean,0.1054679229842229,,
seed2_frac50,2026071542,50,False,model_and_simple_baseline,rmse_training_perturbed_mean,0.5817765020663426,,
seed2_frac50,2026071542,50,False,model_and_simple_baseline,ensemble_minus_simple_baseline,-0.4763085790821195,,
seed2_frac50,2026071542,50,False,model_and_simple_baseline,fraction_tasks_ensemble_beats_simple_baseline,1.0,,
seed2_frac75,2026071542,75,False,two_fold_macro_spearman,absolute_disagreement_spearman,0.0906942409815052,-0.0185005035707745,0.199888985533785
seed2_frac75,2026071542,75,False,two_fold_macro_spearman,absolute_magnitude_spearman,0.0443936406353369,-0.1088985821243086,0.1976858633949826
seed2_frac75,2026071542,75,False,two_fold_macro_spearman,absolute_safeconf_spearman,,,
seed2_frac75,2026071542,75,False,two_fold_macro_spearman,directional_composite_spearman,0.2101976463676138,0.1756078433871137,0.2447874493481139
seed2_frac75,2026071542,75,False,two_fold_macro_spearman,directional_cosine_spearman,0.2080623781742222,0.1713403693535001,0.2447843869949444
seed2_frac75,2026071542,75,False,two_fold_macro_spearman,directional_pearson_spearman,0.212397537059587,0.1798647658387488,0.2449303082804252
seed2_frac75,2026071542,75,False,two_fold_macro_spearman,magnitude_composite_spearman,0.0442475381633126,-0.1213485975416963,0.2098436738683216
seed2_frac75,2026071542,75,False,two_fold_macro_spearman,magnitude_cosine_spearman,0.0474135876212734,-0.1162090360740618,0.2110362113166086
seed2_frac75,2026071542,75,False,two_fold_macro_spearman,magnitude_pearson_spearman,0.0435423510045158,-0.1218456678865917,0.2089303698956235
seed2_frac75,2026071542,75,False,model_and_simple_baseline,rmse_scgpt_mean,0.096558164600473,,
seed2_frac75,2026071542,75,False,model_and_simple_baseline,rmse_gears_mean,0.1073629108502462,,
seed2_frac75,2026071542,75,False,model_and_simple_baseline,rmse_individual_mean,0.1019605377253596,,
seed2_frac75,2026071542,75,False,model_and_simple_baseline,rmse_ensemble_mean,0.0975701146794458,,
seed2_frac75,2026071542,75,False,model_and_simple_baseline,rmse_training_perturbed_mean,0.5815781883567576,,
seed2_frac75,2026071542,75,False,model_and_simple_baseline,ensemble_minus_simple_baseline,-0.4840080736773118,,
seed2_frac75,2026071542,75,False,model_and_simple_baseline,fraction_tasks_ensemble_beats_simple_baseline,1.0,,
seed2_frac100,2026071542,100,False,two_fold_macro_spearman,absolute_disagreement_spearman,0.362467954587072,0.211253662332906,0.5136822468412379
seed2_frac100,2026071542,100,False,two_fold_macro_spearman,absolute_magnitude_spearman,0.3461648507599341,0.1537664804980772,0.5385632210217909
seed2_frac100,2026071542,100,False,two_fold_macro_spearman,absolute_safeconf_spearman,0.3748213455003992,0.2112699634823274,0.5383727275184711
seed2_frac100,2026071542,100,False,two_fold_macro_spearman,directional_composite_spearman,0.3893930316437876,0.1994057114425676,0.5793803518450077
seed2_frac100,2026071542,100,False,two_fold_macro_spearman,directional_cosine_spearman,0.3888803959382153,0.2002105853504291,0.5775502065260015
seed2_frac100,2026071542,100,False,two_fold_macro_spearman,directional_pearson_spearman,0.388828859696941,0.2016583596121166,0.5759993597817654
seed2_frac100,2026071542,100,False,two_fold_macro_spearman,magnitude_composite_spearman,0.3487641517891081,0.1515184029999283,0.5460099005782879
