level,group_id,score_name,top_fraction,n_records,aligned_rho,precision,random_expected_precision,enrichment
overall,overall,safeconf_full,0.05,16114,0.39893325695776743,0.4739454094292804,0.050018617351371475,9.475380058986879
overall,overall,safeconf_full,0.1,16114,0.39893325695776743,0.4882133995037221,0.10003723470274295,4.880316823575049
overall,overall,safeconf_full,0.2,16114,0.39893325695776743,0.48464163822525597,0.20001241156758098,2.4230578213967653
overall,overall,predicted_magnitude,0.05,16114,0.48537558737895586,0.7245657568238213,0.050018617351371475,14.485921346723396
overall,overall,predicted_magnitude,0.1,16114,0.48537558737895586,0.6488833746898263,0.10003723470274295,6.486418548233164
overall,overall,predicted_magnitude,0.2,16114,0.48537558737895586,0.5851690971144896,0.20001241156758098,2.925663925194814
overall,overall,support_only,0.05,16114,0.20769967276013798,0.09181141439205956,0.050018617351371475,1.8355448281807045
overall,overall,support_only,0.1,16114,0.20769967276013798,0.20099255583126552,0.10003723470274295,2.009177447062663
overall,overall,support_only,0.2,16114,0.20769967276013798,0.3490536766987279,0.20001241156758098,1.7451600826321134
overall,overall,disagreement_only,0.05,16114,0.3955306302710903,0.5880893300248139,0.050018617351371475,11.75740876429262
overall,overall,disagreement_only,0.1,16114,0.3955306302710903,0.5372208436724566,0.10003723470274295,5.370208855420574
overall,overall,disagreement_only,0.2,16114,0.3955306302710903,0.5243561898852002,0.20001241156758098,2.6216182574651303
overall,overall,random,0.05,16114,-0.00750550107797362,0.04714640198511166,0.050018617351371475,0.942577073930632
overall,overall,random,0.1,16114,-0.00750550107797362,0.1054590570719603,0.10003723470274295,1.054198043211891
overall,overall,random,0.2,16114,-0.00750550107797362,0.20012410797393732,0.20001241156758098,1.000558447375745
overall,overall,oracle_error,0.05,16114,1.0,1.0,0.050018617351371475,19.99255583126551
overall,overall,oracle_error,0.1,16114,1.0,1.0,0.10003723470274295,9.996277915632755
overall,overall,oracle_error,0.2,16114,1.0,1.0,0.20001241156758098,4.999689730065157
predictor,V0DrugMeanAcrossDose,safeconf_full,0.05,8057,0.3373453700137546,0.5459057071960298,0.050018617351371475,10.914050329723109
predictor,V0DrugMeanAcrossDose,safeconf_full,0.1,8057,0.3373453700137546,0.4441687344913151,0.10003723470274295,4.440034111410082
predictor,V0DrugMeanAcrossDose,safeconf_full,0.2,8057,0.3373453700137546,0.41873449131513646,0.2000744694054859,2.092893174023607
predictor,V0DrugMeanAcrossDose,predicted_magnitude,0.05,8057,0.3864024872756067,0.6799007444168734,0.050018617351371475,13.592953592473323
predictor,V0DrugMeanAcrossDose,predicted_magnitude,0.1,8057,0.3864024872756067,0.5893300248138957,0.10003723470274295,5.891106712066449
predictor,V0DrugMeanAcrossDose,predicted_magnitude,0.2,8057,0.3864024872756067,0.5055831265508685,0.2000744694054859,2.526974721228503
predictor,V0DrugMeanAcrossDose,support_only,0.05,8057,0.01995185026041137,0.02729528535980149,0.050018617351371475,0.5457025164861554
predictor,V0DrugMeanAcrossDose,support_only,0.1,8057,0.01995185026041137,0.08436724565756824,0.10003723470274295,0.8433584345695129
predictor,V0DrugMeanAcrossDose,support_only,0.2,8057,0.01995185026041137,0.2140198511166253,0.2000744694054859,1.0697009556120658
predictor,V0DrugMeanAcrossDose,disagreement_only,0.05,8057,0.34192846386489895,0.6352357320099256,0.050018617351371475,12.699985838223252
predictor,V0DrugMeanAcrossDose,disagreement_only,0.1,8057,0.34192846386489895,0.533498759305211,0.10003723470274295,5.333001865660155
predictor,V0DrugMeanAcrossDose,disagreement_only,0.2,8057,0.34192846386489895,0.4838709677419355,0.2000744694054859,2.4184543344272793
predictor,V0DrugMeanAcrossDose,random,0.05,8057,-0.007094736859138575,0.052109181141439205,0.050018617351371475,1.041795713291751
predictor,V0DrugMeanAcrossDose,random,0.1,8057,-0.007094736859138575,0.1141439205955335,0.10003723470274295,1.1410143526528702
predictor,V0DrugMeanAcrossDose,random,0.2,8057,-0.007094736859138575,0.19913151364764267,0.2000744694054859,0.9952869760912265
predictor,V0DrugMeanAcrossDose,oracle_error,0.05,8057,1.0,1.0,0.050018617351371475,19.99255583126551
predictor,V0DrugMeanAcrossDose,oracle_error,0.1,8057,1.0,1.0,0.10003723470274295,9.996277915632755
predictor,V0DrugMeanAcrossDose,oracle_error,0.2,8057,1.0,1.0,0.2000744694054859,4.998138957816377
predictor,V0ExactDoseMean,safeconf_full,0.05,8057,0.4685468744371758,0.47642679900744417,0.050018617351371475,9.524989378667438
predictor,V0ExactDoseMean,safeconf_full,0.1,8057,0.4685468744371758,0.47890818858560796,0.10003723470274295,4.787299349174
predictor,V0ExactDoseMean,safeconf_full,0.2,8057,0.4685468744371758,0.543424317617866,0.2000744694054859,2.716110252510637
predictor,V0ExactDoseMean,predicted_magnitude,0.05,8057,0.6098262179696882,0.7518610421836228,0.050018617351371475,15.031623863209552
