perturbation,combo_size,genes,available_single_count,missing_single_count,n_cells,mean_single_pred_l2,sum_single_pred_l2,true_l2_diagnostic,error_mean_single_rmse,error_sum_single_rmse,mean_vs_sum_disagreement_rmse,risk_mean_single_magnitude,risk_sum_single_magnitude,risk_additive_disagreement,risk_missing_single,risk_norman_formal
AHR+FEV,2,AHR+FEV,2,0,276,1.6845491990442025,3.369098398088405,3.7884901995488676,0.07647730229856069,0.05495734300031237,0.05327012299592018,0.41985907112458193,0.41985907112458193,0.4198590711245816,0.0,0.8397181422491635
AHR+KLF1,2,AHR+KLF1,2,0,300,1.2007336571640346,2.401467314328069,2.026038726127713,0.03752506023168515,0.03993682513554408,0.03797053219862104,-0.533836852878412,-0.533836852878412,-0.5338368528784125,0.0,-1.0676737057568246
BAK1+BCL2L11,2,BAK1+BCL2L11,2,0,175,0.5686019868501393,1.1372039737002786,0.8285035880499931,0.022607559814913407,0.031343288995539606,0.0179807736054355,-1.7798931392655155,-1.7798931392655155,-1.7798931392655157,0.0,-3.559786278531031
BAK1+KLF1,2,BAK1+KLF1,2,0,300,1.0733864106547117,2.1467728213094235,1.6479843476163414,0.02656163002872468,0.031614944926943174,0.033943458671417175,-0.784863410349,-0.784863410349,-0.784863410349,0.0,-1.569726820698
BAK1+TMSB4X,2,BAK1+TMSB4X,2,0,300,1.1947414676012094,2.3894829352024187,2.1185321950988136,0.03475150680149522,0.027963728955386527,0.037781042526720876,-0.5456486411887079,-0.5456486411887079,-0.5456486411887084,0.0,-1.0912972823774163
BCL2L11+TGFBR2,2,BCL2L11+TGFBR2,2,0,300,0.5674808029071511,1.1349616058143022,0.817797461396641,0.01985882805044495,0.02764095400929167,0.017945318656076986,-1.7821032141058775,-1.7821032141058775,-1.782103214105878,0.0,-3.5642064282117554
BPGM+SAMD1,2,BPGM+SAMD1,2,0,300,1.4509313930090448,2.9018627860180897,2.2258924621995733,0.03136029274900637,0.03496773489616131,0.04588247930549489,-0.04064773385407125,-0.04064773385407125,-0.040647733854071874,0.0,-0.08129546770814312
BPGM+ZBTB1,2,BPGM+ZBTB1,2,0,300,1.586834475622925,3.17366895124585,2.1827410292097174,0.02801842890295535,0.042916123098847084,0.05018011212647379,0.22724406524898771,0.22724406524898771,0.2272440652489866,0.0,0.4544881304979743
CBFA2T3+FEV,2,CBFA2T3+FEV,2,0,159,1.3151739819602761,2.6303479639205523,4.619069655786164,0.11402028268847289,0.09013773044272042,0.041589453023876725,-0.30825238555101353,-0.30825238555101353,-0.30825238555101364,0.0,-0.6165047711020272
CBFA2T3+POU3F2,2,CBFA2T3+POU3F2,2,0,216,1.1149375411209164,2.2298750822418327,2.3999953804304894,0.051028065431095816,0.043976363405745726,0.03525742078769737,-0.7029579312291273,-0.7029579312291273,-0.702957931229128,0.0,-1.4059158624582553
