experiment_group,risk_score_name,target_error,n_tasks,spearman,top20_k,top20_mean_error,top20_enrichment
internal_cell_type_holdout_pooled,risk_op_formal,error_additive_rmse,602,0.5248539916324316,121,1.040003878747238,1.5668107465598975
internal_cell_type_holdout_pooled,risk_op_formal,error_pair_or_additive_rmse,602,0.5248539916324316,121,1.040003878747238,1.5668107465598975
internal_cell_type_holdout_pooled,risk_op_formal,error_drug_mean_rmse,602,0.5248539916324316,121,1.0400038787329544,1.566810746518
internal_cell_type_holdout_pooled,risk_op_formal,error_cell_mean_rmse,602,0.35376764306449354,121,1.0491098017404337,1.6387646513526135
internal_cell_type_holdout_pooled,risk_predicted_magnitude,error_additive_rmse,602,0.6153577417801513,121,1.041180128229292,1.5685828171903817
internal_cell_type_holdout_pooled,risk_predicted_magnitude,error_pair_or_additive_rmse,602,0.6153577417801513,121,1.041180128229292,1.5685828171903817
internal_cell_type_holdout_pooled,risk_predicted_magnitude,error_drug_mean_rmse,602,0.6153577417801513,121,1.04118012823061,1.5685828171719656
internal_cell_type_holdout_pooled,risk_predicted_magnitude,error_cell_mean_rmse,602,0.39635826758931203,121,1.0501484438806261,1.6403870649664496
internal_cell_type_holdout_pooled,risk_disagreement,error_additive_rmse,602,0.34907229569313647,121,1.0208279809687768,1.5379214286177196
internal_cell_type_holdout_pooled,risk_disagreement,error_pair_or_additive_rmse,602,0.34907229569313647,121,1.0208279809687768,1.5379214286177196
internal_cell_type_holdout_pooled,risk_disagreement,error_drug_mean_rmse,602,0.34907229569313647,121,1.0208279809532501,1.5379214285743252
internal_cell_type_holdout_pooled,risk_disagreement,error_cell_mean_rmse,602,0.30532527054117536,121,1.0520438810514816,1.6433478374511836
internal_cell_type_holdout_pooled,risk_low_drug_support,error_additive_rmse,602,0.30091776632561756,121,0.7666972277804777,1.15506247658533
internal_cell_type_holdout_pooled,risk_low_drug_support,error_pair_or_additive_rmse,602,0.30091776632561756,121,0.7666972277804777,1.15506247658533
internal_cell_type_holdout_pooled,risk_low_drug_support,error_drug_mean_rmse,602,0.30091776632561756,121,0.7666972277981081,1.1550624765968678
internal_cell_type_holdout_pooled,risk_low_drug_support,error_cell_mean_rmse,602,0.1745189408496299,121,0.7816240730686533,1.2209378841625538
internal_cell_type_holdout_pooled,risk_low_pair_support,error_additive_rmse,602,,121,0.6761493347667225,1.0186481662625626
internal_cell_type_holdout_pooled,risk_low_pair_support,error_pair_or_additive_rmse,602,,121,0.6761493347667225,1.0186481662625626
internal_cell_type_holdout_pooled,risk_low_pair_support,error_drug_mean_rmse,602,,121,0.676149334791684,1.0186481662869193
internal_cell_type_holdout_pooled,risk_low_pair_support,error_cell_mean_rmse,602,,121,0.7233440374852865,1.129901405392504
internal_cell_type_holdout_pooled,risk_low_smiles_similarity,error_additive_rmse,602,,121,0.6761493347667225,1.0186481662625626
internal_cell_type_holdout_pooled,risk_low_smiles_similarity,error_pair_or_additive_rmse,602,,121,0.6761493347667225,1.0186481662625626
internal_cell_type_holdout_pooled,risk_low_smiles_similarity,error_drug_mean_rmse,602,,121,0.676149334791684,1.0186481662869193
internal_cell_type_holdout_pooled,risk_low_smiles_similarity,error_cell_mean_rmse,602,,121,0.7233440374852865,1.129901405392504
internal_cell_type_holdout_pooled,risk_oracle_true_magnitude_diagnostic,error_additive_rmse,602,0.5670662447762514,121,1.1145912938618618,1.6791799078177272
internal_cell_type_holdout_pooled,risk_oracle_true_magnitude_diagnostic,error_pair_or_additive_rmse,602,0.5670662447762514,121,1.1145912938618618,1.6791799078177272
internal_cell_type_holdout_pooled,risk_oracle_true_magnitude_diagnostic,error_drug_mean_rmse,602,0.5670662447762514,121,1.1145912938305684,1.6791799077487422
internal_cell_type_holdout_pooled,risk_oracle_true_magnitude_diagnostic,error_cell_mean_rmse,602,0.526951452872673,121,1.1545303994330436,1.8034371658372865
internal_compound_holdout_pooled,risk_op_formal,error_additive_rmse,596,0.41865579660753716,120,0.7276078557810484,1.1819170172041122
internal_compound_holdout_pooled,risk_op_formal,error_pair_or_additive_rmse,596,0.41865579660753716,120,0.7276078557810484,1.1819170172041122
internal_compound_holdout_pooled,risk_op_formal,error_drug_mean_rmse,596,0.26130590916343605,120,0.7038675905890642,1.1311636993429255
internal_compound_holdout_pooled,risk_op_formal,error_cell_mean_rmse,596,0.41865579660753716,120,0.7276078557552205,1.181917017177643
internal_compound_holdout_pooled,risk_predicted_magnitude,error_additive_rmse,596,0.1803789688955748,120,0.6674528952034738,1.0842020585062602
internal_compound_holdout_pooled,risk_predicted_magnitude,error_pair_or_additive_rmse,596,0.1803789688955748,120,0.6674528952034738,1.0842020585062602
internal_compound_holdout_pooled,risk_predicted_magnitude,error_drug_mean_rmse,596,0.03532506591385669,120,0.6415930435998081,1.0310842129606663
internal_compound_holdout_pooled,risk_predicted_magnitude,error_cell_mean_rmse,596,0.1803789688955748,120,0.6674528951834081,1.0842020584878707
internal_compound_holdout_pooled,risk_disagreement,error_additive_rmse,596,0.331559835157968,120,0.6831140655770365,1.1096418659887906
internal_compound_holdout_pooled,risk_disagreement,error_pair_or_additive_rmse,596,0.331559835157968,120,0.6831140655770365,1.1096418659887906
internal_compound_holdout_pooled,risk_disagreement,error_drug_mean_rmse,596,0.2777979911400667,120,0.6865048785655966,1.1032606252055657
internal_compound_holdout_pooled,risk_disagreement,error_cell_mean_rmse,596,0.331559835157968,120,0.683114065559484,1.1096418659748168
internal_compound_holdout_pooled,risk_low_drug_support,error_additive_rmse,596,,120,0.7863032455718224,1.2772610675383078
internal_compound_holdout_pooled,risk_low_drug_support,error_pair_or_additive_rmse,596,,120,0.7863032455718224,1.2772610675383078
internal_compound_holdout_pooled,risk_low_drug_support,error_drug_mean_rmse,596,,120,0.7724917808885959,1.241447499878005
