dataset_name,setting,risk_score_name,target_error,n_tasks,spearman,top20_k,top20_mean_error,top20_enrichment
sciplex3_cell_line_formal,leave_context,risk_predicted_magnitude,error_v0_rmse,104,0.9358419707909257,21,0.22125761763087398,1.7066804995662115
sciplex3_cell_line_formal,leave_context,risk_predicted_magnitude,error_mean_rmse,104,0.9354578868045552,21,0.22076512923605401,1.7079944437484933
sciplex3_cell_line_formal,leave_context,risk_predicted_magnitude,error_contextsim_rmse,104,0.9352445068121272,21,0.22042545108378467,1.7094444811011091
sciplex3_cell_line_formal,leave_context,risk_safeconf_smoke,error_contextsim_rmse,104,0.8960572712027165,21,0.212584961172514,1.6486398773584312
sciplex3_cell_line_formal,leave_context,risk_safeconf_smoke,error_mean_rmse,104,0.8956411802174816,21,0.2128939533286569,1.6470974861441685
sciplex3_cell_line_formal,leave_context,risk_safeconf_smoke,error_v0_rmse,104,0.8953424482280825,21,0.21333719248654923,1.6455859470403655
sciplex3_cell_line_formal,leave_context,risk_disagreement,error_v0_rmse,104,0.8358419153511145,21,0.2229666696782422,1.7198633487409376
sciplex3_cell_line_formal,leave_context,risk_disagreement,error_mean_rmse,104,0.8357565622158512,21,0.22247312770081687,1.7212087221893
sciplex3_cell_line_formal,leave_context,risk_disagreement,error_contextsim_rmse,104,0.8354258188167054,21,0.22213252583572726,1.7226831951388366
sciplex3_cell_line_formal,leave_context,risk_inverse_context_similarity,error_contextsim_rmse,104,-0.03773221805918599,21,0.12036069578861001,0.9334218264982589
sciplex3_cell_line_formal,leave_context,risk_inverse_context_similarity,error_mean_rmse,104,-0.0447670383753054,21,0.12032108666818482,0.9308886245132517
sciplex3_cell_line_formal,leave_context,risk_inverse_context_similarity,error_v0_rmse,104,-0.04921008278548609,21,0.1202830314438395,0.9278085265131463
sciplex3_cell_line_formal,leave_context,risk_inverse_support,error_contextsim_rmse,104,-0.12474183775855778,21,0.12036069578861001,0.9334218264982589
sciplex3_cell_line_formal,leave_context,risk_inverse_support,error_v0_rmse,104,-0.12548234516025455,21,0.1202830314438395,0.9278085265131463
sciplex3_cell_line_formal,leave_context,risk_inverse_support,error_mean_rmse,104,-0.12659310626279974,21,0.12032108666818482,0.9308886245132517
