heldout_dose,celltype,log_dose,n_train,n_test_same_dose,nearest_logdose_distance,predicted_l2_mean,dose_predictor_disagreement,error_nearest_rmse,error_linear_rmse,error_mean_rmse,true_l2_diagnostic,risk_logdose_extreme,risk_nearest_dose_distance,risk_predicted_magnitude,risk_dose_disagreement,risk_tcdd_dose_aware
0.01,Cholangiocytes,-2.0,42,6,0.4771212547196624,2.0717718580017093,0.07154165448755527,0.07142813279932719,0.09829790063882894,0.0781196238527524,2.2496020501239755,1.6324236139484583,0.0,-0.6299446397076751,0.1949258207582385,1.1974047949990216
0.01,EndothelialCells,-2.0,42,6,0.4771212547196624,1.834159077733792,0.0700456328526143,0.06080813505831668,0.09089505628025683,0.06894325639466098,2.1826004679005497,1.6324236139484583,0.0,-0.8046655027749665,0.13288686527663024,0.9606449764501219
0.01,HepatocytesCentral,-2.0,42,6,0.4771212547196624,1.9861968402785477,0.07989362703030457,0.056817460552078765,0.08318842962751977,0.05897899129118406,1.792582739439703,1.6324236139484583,0.0,-0.6928694577108604,0.5412761947511131,1.480830350988711
0.01,HepatocytesPortal,-2.0,42,6,0.4771212547196624,1.888214306714479,0.07425945372122232,0.056209576202780435,0.07351730962385576,0.05388449701787554,1.6567661240890832,1.6324236139484583,0.0,-0.7649177406800296,0.30763102616930305,1.1751368994377316
0.01,PortalFibroblasts,-2.0,42,6,0.4771212547196624,2.8039799836179244,0.08919977893360415,0.09241936712512355,0.0992390314285398,0.08488646681827779,2.776391748866478,1.6324236139484583,0.0,-0.09153910651917976,0.9271957096494822,2.468080217078761
0.01,StellateCells,-2.0,42,6,0.4771212547196624,1.9120468095777763,0.08168559356924344,0.06309043900078058,0.10569430326126762,0.07686163261607254,2.2681153420290214,1.6324236139484583,0.0,-0.7473932814963363,0.6155877753708322,1.5006181078229541
0.03,Cholangiocytes,-1.5228787452803376,42,6,0.4771212547196624,1.85277004314397,0.045551727440469036,0.07142813279932719,0.061506152340933894,0.06263986348396323,2.206692392188278,0.853559611027364,0.0,-0.7909805320620471,-0.8828580089575966,-0.8202789299922797
0.03,EndothelialCells,-1.5228787452803376,42,6,0.4771212547196624,1.8195528612957947,0.04428399379438159,0.06080813505831668,0.05345589966255403,0.0527950113401499,1.8585819768760603,0.853559611027364,0.0,-0.8154057110218338,-0.9354300235563421,-0.8972761235508119
0.03,HepatocytesCentral,-1.5228787452803376,42,6,0.4771212547196624,1.6789896084440392,0.03799295553751582,0.056817460552078765,0.0609934132076322,0.05579734735211954,2.1120070232145,0.853559611027364,0.0,-0.9187643469761501,-1.196314915348825,-1.2615196512976112
0.03,HepatocytesPortal,-1.5228787452803376,42,6,0.4771212547196624,1.5589604219775353,0.03218588505702398,0.056209576202780435,0.06260588878504872,0.057275859526549615,1.9440769758813496,0.853559611027364,0.0,-1.007023922193637,-1.4371300069246957,-1.5905943180909687
0.03,PortalFibroblasts,-1.5228787452803376,42,6,0.4771212547196624,2.535223455851044,0.052876642516873185,0.09241936712512355,0.08598583982109646,0.08525530601557602,2.8066277105549546,0.853559611027364,0.0,-0.28916051574410295,-0.5790989791962874,-0.014699883913026346
0.03,StellateCells,-1.5228787452803376,42,6,0.4771212547196624,1.8484366139801682,0.051642565815459104,0.06309043900078058,0.05594764228044308,0.053745068927528714,1.7628282801046118,0.853559611027364,0.0,-0.7941669788629587,-0.6302752641856009,-0.5708826320211956
0.1,Cholangiocytes,-1.0,42,6,0.4771212547196624,1.6847993136972559,0.046735130911234705,0.06696152893012293,0.05218796248883939,0.0552962184726545,1.8422632015508045,0.0,0.0,-0.9144923683609255,-0.8337831068807234,-1.748275475241649
0.1,EndothelialCells,-1.0,42,6,0.4771212547196624,1.584615641123108,0.03672140690711161,0.057699914055264014,0.0418853063635402,0.046954382694981964,1.7133472880430334,0.0,0.0,-0.9881591876190035,-1.2490451346397105,-2.237204322258714
0.1,HepatocytesCentral,-1.0,42,6,0.4771212547196624,2.071617934266378,0.03895894053911444,0.05512758946837523,0.041764545707394726,0.044857713242951056,2.0956869084070178,0.0,0.0,-0.6300578225417521,-1.1562562028874626,-1.7863140254292147
0.1,HepatocytesPortal,-1.0,42,6,0.4771212547196624,1.7053320867383206,0.031711750074794993,0.04975520291699744,0.04214784550846847,0.043296671649875045,1.5974530251135302,0.0,0.0,-0.8993942586428599,-1.4567920481464043,-2.3561863067892643
0.1,PortalFibroblasts,-1.0,42,6,0.4771212547196624,2.2520270678114027,0.05867769643711226,0.08379604583209682,0.057514184348888574,0.06560534531892147,2.4717510258648074,0.0,0.0,-0.4973998085970999,-0.33853339010417494,-0.8359331987012748
0.1,StellateCells,-1.0,42,6,0.4771212547196624,1.4319746340789667,0.037505512937525985,0.057380671338078025,0.04706871147662777,0.049013637351889607,1.752064710380088,0.0,0.0,-1.1003988089901349,-1.2165288140347232,-2.316927623024858
0.3,Cholangiocytes,-0.5228787452803376,42,6,0.4771212547196624,1.7879302033355133,0.053656229991071634,0.06696152893012293,0.06696322925779936,0.061353178079317526,1.9058284322853163,-0.7788640029210941,0.0,-0.8386584084780577,-0.5467700399107768,-2.1642924513099286
0.3,EndothelialCells,-0.5228787452803376,42,6,0.4771212547196624,1.728036871534654,0.04413153888651717,0.057699914055264014,0.05222115843838096,0.050410976524886186,1.7189017486684177,-0.7788640029210941,0.0,-0.8826990304194473,-0.9417522203889611,-2.6033152537295026
0.3,HepatocytesCentral,-0.5228787452803376,42,6,0.4771212547196624,2.346101905525633,0.05365289391531723,0.05512758946837523,0.05544805338990756,0.04834367193635385,2.235082514012777,-0.7788640029210941,0.0,-0.4282249232234573,-0.5469083846047149,-1.7539973107492663
0.3,HepatocytesPortal,-0.5228787452803376,42,6,0.4771212547196624,1.8013773130464892,0.05064238343369752,0.04975520291699744,0.0530047633335169,0.04473678382176634,1.8390776134857922,-0.7788640029210941,0.0,-0.8287705118261474,-0.6717521177326046,-2.279386632479846
0.3,PortalFibroblasts,-0.5228787452803376,42,6,0.4771212547196624,2.230100521705542,0.0543736331058408,0.08379604583209682,0.07880049190599522,0.07665849213608822,2.688559906849117,-0.7788640029210941,0.0,-0.5135227842021204,-0.5170198418788564,-1.809406629002071
0.3,StellateCells,-0.5228787452803376,42,6,0.4771212547196624,1.6039921596216273,0.053039149425625,0.057380671338078025,0.053339557013812114,0.04863678700192558,1.5755622614661493,-0.7788640029210941,0.0,-0.973911292234406,-0.5723599330207249,-2.325135228176225
1.0,Cholangiocytes,0.0,42,6,0.47712125471966244,2.6584547216501355,0.0673272800569196,0.07673524531083332,0.06560143570284474,0.06294984082289962,2.626152260469892,-1.6324236139484583,0.0,-0.19854639518621464,0.020158704041139525,-1.8108113050935333
1.0,EndothelialCells,0.0,42,6,0.47712125471966244,2.5927849208449145,0.07768832015647263,0.06605137271603057,0.06134713964333996,0.05053967666954422,2.458244233801902,-1.6324236139484583,0.0,-0.24683455654356284,0.4498236837890357,-1.4294344867029853
1.0,HepatocytesCentral,0.0,42,6,0.47712125471966244,3.9051501012800833,0.05678891218654189,0.055786340390576755,0.06852140094536542,0.05565432547441142,3.4723854856195366,-1.6324236139484583,0.0,0.718170678976819,-0.4168599325141856,-1.331112867485825
1.0,HepatocytesPortal,0.0,42,6,0.47712125471966244,3.4320250256009004,0.055771313947563,0.06453004167195962,0.06940208128407638,0.06093256696967382,2.9356883033277477,-1.6324236139484583,0.0,0.37027347635902746,-0.45905900930004034,-1.7212091468894712
1.0,PortalFibroblasts,0.0,42,6,0.47712125471966244,2.6847868466266895,0.07408428092933221,0.10045048872202121,0.11311848922158323,0.1003540057692224,4.056463359399602,-1.6324236139484583,0.0,-0.1791839198298312,0.30036673480891213,-1.5112407989693775
1.0,StellateCells,0.0,42,6,0.47712125471966244,2.361192949440781,0.07741180217318643,0.05863238673728726,0.07343142111128706,0.05400757735301464,2.17295569376906,-1.6324236139484583,0.0,-0.4171282127920232,0.438356679265646,-1.6111951474748356
3.0,Cholangiocytes,0.47712125471966244,42,6,0.47712125471966244,2.632372762448349,0.0753792677821232,0.07673524531083332,0.08452673463617856,0.07138644736742471,3.1667605852904512,-0.853559611027364,0.0,-0.2177249192415443,0.3540689205481831,-0.7172156097207252
