dataset_name,setting,risk_score_name,target_error,n_tasks,spearman,top20_k,top20_mean_error,top20_enrichment
crossSpecies_species,leave_context,risk_inverse_context_similarity,error_mean_rmse,12,,3,0.2252377735981096,1.254637211015583
crossSpecies_species,leave_context,risk_inverse_context_similarity,error_v0_rmse,12,,3,0.23359314199090964,1.2960025684934156
crossSpecies_species,leave_context,risk_inverse_context_similarity,error_contextsim_rmse,12,,3,0.21961546877961743,1.2050703189189722
sciplex3_cell_line,leave_context,risk_predicted_magnitude,error_contextsim_rmse,104,0.8792162553003329,21,0.20406640584886165,1.4777044127008054
sciplex3_cell_line,leave_context,risk_predicted_magnitude,error_mean_rmse,104,0.87287886952522,21,0.20761162593719704,1.4850006164711955
sciplex3_cell_line,leave_context,risk_predicted_magnitude,error_v0_rmse,104,0.8626046228898095,21,0.21233809090009276,1.491126017018082
sciplex3_cell_line,leave_context,risk_safeconf_smoke,error_contextsim_rmse,104,0.8261913271819633,21,0.18831037365876674,1.3636103843519984
sciplex3_cell_line,leave_context,risk_safeconf_smoke,error_mean_rmse,104,0.8168772905124793,21,0.1908365719631344,1.365012319185974
sciplex3_cell_line,leave_context,risk_safeconf_smoke,error_v0_rmse,104,0.8021967470334296,21,0.1941885461095192,1.3636723966170547
sciplex3_cell_line,leave_context,risk_disagreement,error_contextsim_rmse,104,0.7762814306500909,21,0.20340274736200958,1.472898667872458
sciplex3_cell_line,leave_context,risk_disagreement,error_v0_rmse,104,0.7747077322186711,21,0.21210020586394746,1.4894554897709362
sciplex3_cell_line,leave_context,risk_disagreement,error_mean_rmse,104,0.7746917285058091,21,0.20711791193912926,1.4814691880736697
sciplex3_cell_line,leave_context,risk_inverse_support,error_contextsim_rmse,104,-0.24907976238891733,21,0.12362831021188846,0.8952286819328558
sciplex3_cell_line,leave_context,risk_inverse_context_similarity,error_contextsim_rmse,104,-0.24907976238891733,21,0.12362831021188846,0.8952286819328558
sciplex3_cell_line,leave_context,risk_inverse_support,error_mean_rmse,104,-0.2617581466906955,21,0.12344489871326145,0.8829743992509886
sciplex3_cell_line,leave_context,risk_inverse_context_similarity,error_mean_rmse,104,-0.2617581466906955,21,0.12344489871326145,0.8829743992509886
sciplex3_cell_line,leave_context,risk_inverse_support,error_v0_rmse,104,-0.2842089847330479,21,0.12327024035957909,0.8656546818569918
sciplex3_cell_line,leave_context,risk_inverse_context_similarity,error_v0_rmse,104,-0.2842089847330479,21,0.12327024035957909,0.8656546818569918
