dataset,fold_id,score,coverage,retained_mean_error
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,0.9,0.05529620013001222
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,0.95,0.05522540126885826
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,1.0,0.05558482043433714
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.5,0.052482135573254894
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.55,0.052381241934684436
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.6,0.05329296803383975
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.65,0.05344181979428652
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.7,0.05393257153284357
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.75,0.05398921067985593
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.8,0.05437074398644594
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.85,0.054237805082791246
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.9,0.054313825113355106
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.95,0.054890997007693544
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,1.0,0.05470167173268503
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.5,0.05383912273316183
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.55,0.05346934676864515
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.6,0.05349853389242704
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.65,0.05350951673360954
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.7,0.05361498081312735
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.75,0.05355015314181517
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.8,0.053514139086027424
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.85,0.05349611832293411
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.9,0.05355332374215231
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.95,0.054230247088866125
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,1.0,0.054701671732685024
Frangieh,frangieh_context_holdout_3_IFNγ,model_disagreement,0.5,0.05358206750207489
Frangieh,frangieh_context_holdout_3_IFNγ,model_disagreement,0.55,0.05346481970343935
Frangieh,frangieh_context_holdout_3_IFNγ,model_disagreement,0.6,0.053336509341062974
Frangieh,frangieh_context_holdout_3_IFNγ,model_disagreement,0.65,0.05319830133240608
Frangieh,frangieh_context_holdout_3_IFNγ,model_disagreement,0.7,0.053356353374363855
Frangieh,frangieh_context_holdout_3_IFNγ,model_disagreement,0.75,0.05340472884372077
Frangieh,frangieh_context_holdout_3_IFNγ,model_disagreement,0.8,0.05339316593930001
Frangieh,frangieh_context_holdout_3_IFNγ,model_disagreement,0.85,0.05354842457409794
Frangieh,frangieh_context_holdout_3_IFNγ,model_disagreement,0.9,0.05346767696248114
Frangieh,frangieh_context_holdout_3_IFNγ,model_disagreement,0.95,0.05480249577714997
Frangieh,frangieh_context_holdout_3_IFNγ,model_disagreement,1.0,0.054701671732685024
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,SafeConf,0.5,0.0934570498953341
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,SafeConf,0.55,0.09241113459144645
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,SafeConf,0.6,0.09172700726326488
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,SafeConf,0.65,0.09059777057191037
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,SafeConf,0.7,0.09064197677950883
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,SafeConf,0.75,0.09209326920952535
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,SafeConf,0.8,0.09621230289018994
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,SafeConf,0.85,0.09662129980984137
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,SafeConf,0.9,0.10010899507513453
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,SafeConf,0.95,0.1006526167377735
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,SafeConf,1.0,0.10127382107640462
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,predicted_magnitude,0.5,0.09444773559333859
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,predicted_magnitude,0.55,0.09312997107810597
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,predicted_magnitude,0.6,0.09145520601183181
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,predicted_magnitude,0.65,0.09059777057191037
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,predicted_magnitude,0.7,0.09037808630706079
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,predicted_magnitude,0.75,0.09332686933269363
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,predicted_magnitude,0.8,0.09506234009193117
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,predicted_magnitude,0.85,0.09670428045492499
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,predicted_magnitude,0.9,0.09995281795086898
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,predicted_magnitude,0.95,0.10050002024630578
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,predicted_magnitude,1.0,0.10127382107640463
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,model_disagreement,0.5,0.09221963684472585
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,model_disagreement,0.55,0.09228041558620903
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,model_disagreement,0.6,0.09063816517592438
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,model_disagreement,0.65,0.09142843799093704
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,model_disagreement,0.7,0.09512056644729205
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,model_disagreement,0.75,0.09642206808390696
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,model_disagreement,0.8,0.09561864754043549
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,model_disagreement,0.85,0.09754702053077173
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,model_disagreement,0.9,0.09995281795086898
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,model_disagreement,0.95,0.10065261673777351
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,model_disagreement,1.0,0.10127382107640463
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,SafeConf,0.5,0.10835562727910464
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,SafeConf,0.55,0.10767350068889546
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,SafeConf,0.6,0.10451808597465424
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,SafeConf,0.65,0.10456161042996504
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,SafeConf,0.7,0.10573809218635184
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,SafeConf,0.75,0.10495814800077906
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,SafeConf,0.8,0.10444711429089416
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,SafeConf,0.85,0.10523869777197378
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,SafeConf,0.9,0.10369290393698283
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,SafeConf,0.95,0.10458210088949134
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,SafeConf,1.0,0.10567584449508471
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,predicted_magnitude,0.5,0.1054775851977009
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,predicted_magnitude,0.55,0.11268644575027953
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,predicted_magnitude,0.6,0.10816990971789711
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,predicted_magnitude,0.65,0.10662670570896085
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,predicted_magnitude,0.7,0.10464613325608797
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,predicted_magnitude,0.75,0.10421935017010432
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,predicted_magnitude,0.8,0.10435687945436357
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,predicted_magnitude,0.85,0.10325924431990477
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,predicted_magnitude,0.9,0.10403957683247168
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,predicted_magnitude,0.95,0.10529464743808795
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,predicted_magnitude,1.0,0.10567584449508471
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,model_disagreement,0.5,0.10831863138981276
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,model_disagreement,0.55,0.11268644575027956
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,model_disagreement,0.6,0.10816990971789711
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,model_disagreement,0.65,0.10662670570896085
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,model_disagreement,0.7,0.10439441767184987
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,model_disagreement,0.75,0.104131303047658
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,model_disagreement,0.8,0.1037265228645621
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,model_disagreement,0.85,0.10287309035329234
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,model_disagreement,0.9,0.10403957683247168
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,model_disagreement,0.95,0.10496757370006433
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,model_disagreement,1.0,0.10567584449508471
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),SafeConf,0.5,0.09326861821434562
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),SafeConf,0.55,0.10023915796835696
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),SafeConf,0.6,0.10213153211753807
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),SafeConf,0.65,0.10266293813975953
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),SafeConf,0.7,0.10136235013499524
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),SafeConf,0.75,0.10126691824404094
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),SafeConf,0.8,0.10455566993961007
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),SafeConf,0.85,0.10475112279030147
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),SafeConf,0.9,0.10872795207487396
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),SafeConf,0.95,0.11138976150623468
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),SafeConf,1.0,0.11467654445847578
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),predicted_magnitude,0.5,0.09900499827980228
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),predicted_magnitude,0.55,0.09909312735237433
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),predicted_magnitude,0.6,0.10126631512473835
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),predicted_magnitude,0.65,0.10365356838489623
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),predicted_magnitude,0.7,0.10417114107162023
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),predicted_magnitude,0.75,0.10325878913114911
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),predicted_magnitude,0.8,0.10512625987041625
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),predicted_magnitude,0.85,0.1099637193084111
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),predicted_magnitude,0.9,0.10929967367093096
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),predicted_magnitude,0.95,0.11295214212357292
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),predicted_magnitude,1.0,0.11467654445847578
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),model_disagreement,0.5,0.1003773619445222
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),model_disagreement,0.55,0.09958471432049015
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),model_disagreement,0.6,0.10103010254780335
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),model_disagreement,0.65,0.10197028998003144
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),model_disagreement,0.7,0.10443037538909022
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),model_disagreement,0.75,0.10306442188717692
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),model_disagreement,0.8,0.10512625987041624
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),model_disagreement,0.85,0.1060229967245553
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),model_disagreement,0.9,0.11060843900762056
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),model_disagreement,0.95,0.11295214212357292
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),model_disagreement,1.0,0.11467654445847578
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,SafeConf,0.5,0.0822554667252721
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,SafeConf,0.55,0.08186070954861177
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,SafeConf,0.6,0.08442903987190355
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,SafeConf,0.65,0.08696834138710081
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,SafeConf,0.7,0.09069662030568588
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,SafeConf,0.75,0.09014690035313712
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,SafeConf,0.8,0.09075490641896766
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,SafeConf,0.85,0.09253522233400115
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,SafeConf,0.9,0.09312533007380262
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,SafeConf,0.95,0.09370503892310633
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,SafeConf,1.0,0.09490830598344813
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,predicted_magnitude,0.5,0.09261396851353478
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,predicted_magnitude,0.55,0.09713049905456737
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,predicted_magnitude,0.6,0.09654878265951557
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,predicted_magnitude,0.65,0.0949699043423744
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,predicted_magnitude,0.7,0.09382212675234307
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,predicted_magnitude,0.75,0.09185334396223775
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,predicted_magnitude,0.8,0.09075490641896766
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,predicted_magnitude,0.85,0.09250109149540042
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,predicted_magnitude,0.9,0.09312533007380264
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,predicted_magnitude,0.95,0.09370503892310633
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,predicted_magnitude,1.0,0.09490830598344813
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,model_disagreement,0.5,0.09538506417607386
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,model_disagreement,0.55,0.09633377407480444
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,model_disagreement,0.6,0.09596854723743739
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,model_disagreement,0.65,0.09583533752334916
