scope,score,normalized_aurc_50_100,top20_error_enrichment,reject20_remaining_error_reduction,top20_total_error_capture
Frangieh,SafeConf,0.9794196934727797,1.0636477893157845,0.015983301352842923,0.21349202939671663
Frangieh,model_disagreement,0.9804513310965509,1.0963311836740066,0.024190790519033018,0.22005213722489017
Frangieh,predicted_magnitude,0.979349411247383,1.0967976686022978,0.024307934716272062,0.22014576860834648
Lara_exvivo,SafeConf,0.9474588831079224,1.2161221273676546,0.05501290514813022,0.24674941714706033
Lara_exvivo,model_disagreement,0.9623499858928646,1.1987521269643586,0.050591450500018606,0.24322506923914525
Lara_exvivo,predicted_magnitude,0.9631539588038992,1.1832204433755933,0.04663793104106015,0.24007371314867107
Santinha,SafeConf,0.9970401462959669,1.0354050758929811,0.009736395870569955,0.2233226634278979
Santinha,model_disagreement,1.0073071243143168,0.9801505762525696,-0.005458591530543215,0.21140502625055424
Santinha,predicted_magnitude,1.0113885805218288,0.9850243066876885,-0.004118315660885561,0.2124562230110701
three_dataset_equal_macro,SafeConf,0.974639574292223,1.1050583308588067,0.026910867457181034,0.2278547033238916
three_dataset_equal_macro,model_disagreement,0.9833694804345775,1.091744628963645,0.023107883162836133,0.22489407757152988
three_dataset_equal_macro,predicted_magnitude,0.984630650191037,1.0883474728885265,0.02227585003214888,0.22422523492269586
