dataset,fold_id,score,n_tasks,normalized_aurc_50_100,top20_error_enrichment,reject20_remaining_error_reduction,top20_total_error_capture
Frangieh,frangieh_context_holdout_1_Co-culture,SafeConf,279,0.9752711641911745,1.1231540453718134,0.03092657641624035,0.22543593742229948
Frangieh,frangieh_context_holdout_1_Co-culture,predicted_magnitude,279,0.9802887396835419,1.0902349020466158,0.022659885715741963,0.21882851080505553
Frangieh,frangieh_context_holdout_1_Co-culture,model_disagreement,279,0.9829161101561297,1.0932286720083995,0.02341168445053998,0.21942941086906942
Frangieh,frangieh_context_holdout_2_Control,SafeConf,279,0.9786613503956519,1.0425509962379755,0.010685451970074766,0.2092575476319951
Frangieh,frangieh_context_holdout_2_Control,predicted_magnitude,279,0.9766071090907493,1.1162517312235911,0.029193259858839162,0.22405052669720826
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,279,0.9783684840020406,1.1020587838500127,0.025629111639465012,0.22120176306666922
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,279,0.9843265658315127,1.0252383263375648,0.006337875672213649,0.2057826031358553
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,279,0.9811523849678577,1.0839063725366862,0.021070658574235072,0.21755826832277572
Frangieh,frangieh_context_holdout_3_IFNγ,model_disagreement,279,0.9800693991314822,1.0937060951636075,0.02353157546709406,0.21952523773893196
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,SafeConf,69,0.9365024429155617,1.217443831205014,0.05534933885218534,0.24701758894014775
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,predicted_magnitude,69,0.9370320289036683,1.2277950129753468,0.05798418512099756,0.2491178287196356
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,model_disagreement,69,0.9443778015279346,1.227795012975347,0.05798418512099729,0.24911782871963561
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,SafeConf,69,0.995900241048969,1.0222431298514203,0.005661887598543352,0.20741164953507077
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,predicted_magnitude,69,1.0020034498459123,1.063039102720395,0.01604631705610077,0.21568909330558736
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,model_disagreement,69,1.0017547422000717,1.0630391027203951,0.01604631705610077,0.2156890933055874
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),SafeConf,69,0.9078229459809787,1.4164430024392074,0.1060036733481617,0.28739423237896966
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),predicted_magnitude,69,0.9205243429614233,1.3965404170063935,0.10093756069253612,0.2833560266389784
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),model_disagreement,69,0.9176389993450652,1.3965404170063933,0.10093756069253672,0.28335602663897835
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,SafeConf,69,0.9407016449396755,1.1773451288187116,0.0451423964265811,0.2388816203400284
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,predicted_magnitude,69,0.9885037470739626,1.161251869564208,0.04104593043452587,0.2356163213608538
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,model_disagreement,69,0.9879630066028176,1.1681788160475113,0.04280915317573031,0.23702178876326316
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,SafeConf,69,0.9563671406544274,1.24713554452392,0.06290722951517964,0.25304199454108517
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,predicted_magnitude,69,0.9677062252345298,1.067475814611623,0.017175661901140414,0.21658929571830032
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,model_disagreement,69,0.9600153797884345,1.1382072860721466,0.03518003645472798,0.23094060876826164
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,SafeConf,51,0.9947662301542534,1.0495723304473474,0.013632390873020825,0.2263783457827612
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,predicted_magnitude,51,1.0218217632114746,0.9882439648212711,-0.003232909674150124,0.2131506590790977
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,model_disagreement,51,1.029084404015445,0.9134421216671091,-0.023803416541544664,0.1970169282027098
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,SafeConf,51,0.9930338923938969,1.1518304527529115,0.04175337450705101,0.24843401922121622
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,predicted_magnitude,51,1.01904307432669,0.978169660844392,-0.0060033432677919175,0.21097776998604534
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,model_disagreement,51,0.9836470902040004,1.0358724467049936,0.009864922843873466,0.22342346889715547
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,SafeConf,51,0.9835366570009382,1.1048680968051312,0.028838726621411227,0.23830488362463614
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,predicted_magnitude,51,1.0003136079604815,0.9534103968491605,-0.012812140866480934,0.20563753657530914
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,model_disagreement,51,0.9726349195619566,1.0949298530396385,0.026105709585900545,0.23616134085168675
Santinha,Santinha_context_holdout_4_Neurons_L_5,SafeConf,51,1.0041811498940791,0.9517610177280044,-0.013265720124798817,0.2052817881374127
Santinha,Santinha_context_holdout_4_Neurons_L_5,predicted_magnitude,51,0.9791829945385577,1.1026661887957245,0.028233201918824224,0.23782996228927392
Santinha,Santinha_context_holdout_4_Neurons_L_5,model_disagreement,51,1.0009549625978464,0.9896938778395332,-0.0028341835941284653,0.2134633854163699
Santinha,Santinha_context_holdout_5_Neurons_L_6,SafeConf,51,1.0096828020366673,0.918993481731511,-0.022276792523834466,0.19821428037346317
Santinha,Santinha_context_holdout_5_Neurons_L_6,predicted_magnitude,51,1.0365814625719398,0.9026313221278944,-0.026776386414829052,0.1946851871256243
Santinha,Santinha_context_holdout_5_Neurons_L_6,model_disagreement,51,1.0502142451923357,0.8668145820115737,-0.036625989946816956,0.18696000788484923
