endpoint,mean_M,mean_G,mean_L,mean_M_plus_L,mean_delta_ML_vs_M,positive_folds_ML_vs_M
absolute_error,0.7008974380290386,0.33928860124730376,0.0,0.7008974380290386,0.0,0
excess_error,-0.7456438043936509,-0.3758831458377582,3.593781554337828e-18,-0.7456438043936509,0.0,0
