fold_id,endpoint,method,n_tasks,utility_20,spearman,source_radius_coverage,L_nonzero_fraction
Lara_exvivo_context_holdout_1_EBMP,absolute_error,M,24,0.5619932326035157,0.48956521739130426,0.9583333333333334,0.0
Lara_exvivo_context_holdout_1_EBMP,absolute_error,G,24,0.3254967281840087,0.5939130434782608,0.9583333333333334,0.0
Lara_exvivo_context_holdout_1_EBMP,absolute_error,L,24,0.0,,0.9583333333333334,0.0
Lara_exvivo_context_holdout_1_EBMP,absolute_error,M_plus_H,24,0.5619932326035157,0.5083713971014951,0.9583333333333334,0.0
Lara_exvivo_context_holdout_1_EBMP,absolute_error,M_plus_G,24,0.5730332705378984,0.5721739130434782,0.9583333333333334,0.0
Lara_exvivo_context_holdout_1_EBMP,absolute_error,M_plus_L,24,0.5619932326035157,0.48956521739130426,0.9583333333333334,0.0
Lara_exvivo_context_holdout_1_EBMP,excess_error,M,24,-0.7213626982484068,-0.5730434782608694,0.9583333333333334,0.0
Lara_exvivo_context_holdout_1_EBMP,excess_error,G,24,-0.33518720795041806,-0.37043478260869556,0.9583333333333334,0.0
Lara_exvivo_context_holdout_1_EBMP,excess_error,L,24,0.0,,0.9583333333333334,0.0
Lara_exvivo_context_holdout_1_EBMP,excess_error,M_plus_H,24,-0.7213626982484068,-0.5653403047322016,0.9583333333333334,0.0
Lara_exvivo_context_holdout_1_EBMP,excess_error,M_plus_G,24,-0.6674359719015867,-0.5756521739130435,0.9583333333333334,0.0
Lara_exvivo_context_holdout_1_EBMP,excess_error,M_plus_L,24,-0.7213626982484068,-0.5730434782608694,0.9583333333333334,0.0
Lara_exvivo_context_holdout_2_GMP,absolute_error,M,23,0.9216093164719923,0.6571146245059288,0.9130434782608695,0.0
Lara_exvivo_context_holdout_2_GMP,absolute_error,G,23,0.3896594263238044,0.283596837944664,0.9130434782608695,0.0
Lara_exvivo_context_holdout_2_GMP,absolute_error,L,23,0.0,,0.9130434782608695,0.0
