fold_id,endpoint,G,L,M,M_plus_G,M_plus_H,M_plus_L,delta_G_vs_M,delta_L_vs_M,delta_M_plus_H_vs_M,delta_M_plus_G_vs_M,delta_M_plus_L_vs_M
Lara_exvivo_context_holdout_1_EBMP,absolute_error,0.3254967281840087,0.0,0.5619932326035157,0.5730332705378984,0.5619932326035157,0.5619932326035157,-0.23649650441950704,-0.5619932326035157,0.0,0.011040037934382685,0.0
Lara_exvivo_context_holdout_1_EBMP,excess_error,-0.33518720795041806,0.0,-0.7213626982484068,-0.6674359719015867,-0.7213626982484068,-0.7213626982484068,0.38617549029798875,0.7213626982484068,0.0,0.053926726346820164,0.0
Lara_exvivo_context_holdout_2_GMP,absolute_error,0.3896594263238044,0.0,0.9216093164719923,1.0,0.9216093164719923,0.9216093164719923,-0.5319498901481878,-0.9216093164719923,0.0,0.07839068352800771,0.0
Lara_exvivo_context_holdout_2_GMP,excess_error,-0.7227814519548681,1.8943344367578761e-16,-1.22082649345833,-1.047957183576605,-1.22082649345833,-1.22082649345833,0.49804504150346185,1.2208264934583302,0.0,0.1728693098817249,0.0
Lara_exvivo_context_holdout_3_GMP_(late),absolute_error,0.5578918011160453,0.0,0.8689362576193161,0.8689362576193161,0.8023121413077392,0.8689362576193161,-0.31104445650327084,-0.8689362576193161,-0.06662411631157694,0.0,0.0
Lara_exvivo_context_holdout_3_GMP_(late),excess_error,-0.3371934986065866,0.0,-0.43724196753481587,-0.43724196753481587,-0.08601180252254595,-0.43724196753481587,0.10004846892822927,0.43724196753481587,0.3512301650122699,0.0,0.0
Lara_exvivo_context_holdout_4_HSC,absolute_error,0.13982406334787015,0.0,0.857035067911555,0.6718434465423381,0.857035067911555,0.857035067911555,-0.7172110045636849,-0.857035067911555,0.0,-0.18519162136921696,0.0
Lara_exvivo_context_holdout_4_HSC,excess_error,-0.5012520346199625,-1.7146453590409847e-16,-0.7228250299009411,-1.0921037146895312,-0.7228250299009411,-0.7228250299009411,0.22157299528097862,0.7228250299009409,0.0,-0.36927868478859005,0.0
Lara_exvivo_context_holdout_5_MkP,absolute_error,0.2835709872647903,0.0,0.29491331553881384,0.4701399035005113,0.29491331553881384,0.29491331553881384,-0.011342328274023539,-0.29491331553881384,0.0,0.1752265879616975,0.0
Lara_exvivo_context_holdout_5_MkP,excess_error,0.01699846394304409,0.0,-0.6259628328257605,-0.1589985257071301,-0.6259628328257605,-0.6259628328257605,0.6429612967688045,0.6259628328257605,0.0,0.46696430711863035,0.0
