e172_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e172_selection_sha256,e172_column_unseen_sha256,target_stratum,perturbation_support_contexts_pretruth,excluded_all_e168_and_e170_targets,selection_used_expression_abundance_effect_error_or_e171_validation
1,Q01,1,ENSG00000179909,ZNF154,2,ZNF154-1+ZNF154-2,True,ZNF154,True,True,ZNF154,True,True,f3584fd9f3a7ce89046c5152eb6a60c3bae37e16244c5e27832ebdbaf7ddb81a,cf9793710adbf217f9144eb9b81feddc871028f3e78d3da479c1fce59eba5b24,000b1fd53beef5e9da4f04c93d1d254822bf00e81cdcc96bc07a23217ba18156,84d275418db8d6b0bb2da4bccb92be6d85583e8697537d1146bb68e33ebaf63f,DONOR_UNSEEN_ONLY,6,True,False
2,Q01,2,ENSG00000135506,OS9,2,OS9-1+OS9-2,True,OS9,True,True,OS9,True,True,3860ebf20de488109b74c0f4efa209b63db67261a975138654ec613c5f5bd6ce,97b1c1372a86507f55a038ec76df706fa45b44ec85b97efea5487aa0b3629487,000baa5202c12e8495c852a417b8dcfdf30ad0a7b1ba96dc39160a13d22021f9,a0d3bc14639427d7533dbe6f0252cbb087e208dc932e2be9ca022c653b067b34,DONOR_UNSEEN_ONLY,6,True,False
3,Q01,3,ENSG00000125970,RALY,2,RALY-1+RALY-2,True,RALY,True,True,RALY,True,True,1e412a772c476a29141562c1991b147e6d7a9a7fe94a1ea76a17a3a0e7d2acdc,e07164c92866a34228abcbcacef3d2b260d5298939d7256ed09a114a118390d3,00137558477ea83e1a72a2fc3cfd957ce3df59f1bff98666b353d76468f51b36,95baf661f3a1b7a4406fa2c3ca045c7f9a03631dec8430dcbcb412bd48a25f74,DONOR_UNSEEN_ONLY,6,True,False
4,Q01,4,ENSG00000197223,C1D,2,C1D-1+C1D-2,True,C1D,True,True,C1D,True,True,bd09ced6ad33cebf5b9702454280b8ad6d03ad9ef0c11befe2bf632869040590,6d29cfdba2a8f0f7554a1d667112428b46c3c804b0cee295f207154c0ab7f7db,0026ce8f571a4a117b8f071ec77350aa8788a4caf9a84b09bbda62a14a7173f5,14042653e2ecf99ad5c4d901397331e518c1821056176f227620df8c4994b9ba,COLUMN_UNSEEN,0,True,False
5,Q01,5,ENSG00000186187,ZNRF1,2,ZNRF1-1+ZNRF1-2,True,ZNRF1,True,True,ZNRF1,True,True,f2356dd5ac3456ac84321f8d833213dbac3f9678d1e9f711f04b8b918228559c,84a2721986fe4f06e37c2818cda3337054cf443edb3dc7f47f807e9ef858a144,003bd735d21303b714258f89e3987a8867d817e5eba0e68aa8e1c512fdf4d905,081cbdaac47ae1d55e0894ace0ae3fe64e7946016c553d44d7154de8924f6cbc,COLUMN_UNSEEN,0,True,False
6,Q01,6,ENSG00000029363,BCLAF1,2,BCLAF1-1+BCLAF1-2,True,BCLAF1,True,True,BCLAF1,True,True,648a642b56d06904b6d37d66ae2d64ff92f90f102679a834506f0e3f74aeab75,6cd043e8f997c24e6370ea18b57826d936a3ee447092532988cec5ea4ddc3657,004158a4c55bd3ef5f21835a66ca8359c9546146b4f279c0a17a7002e9f66d91,3601cb31f9cf0bd554a8b59977ede1577a3a5585dbeee17b7fb5ed9fac674318,DONOR_UNSEEN_ONLY,6,True,False
7,Q01,7,ENSG00000166562,SEC11C,2,SEC11C-1+SEC11C-2,True,SEC11C,True,True,SEC11C,True,True,632205acbf281a5b595519d3ac0556d71f42a4fd13d6dedf322befff62e3b2d0,fc126e252df1da318f8252dc854a1472f5454a2cd3b2c9e71b2cf6f46ba5c3c1,00480f0d9da97e9a8f431986458e25b551144ceed880a37a23362b646f1584cb,e00eb5066a8b3500d82bf6063fa718deb7a541a3c52a27086f8e288e6f5d749c,DONOR_UNSEEN_ONLY,6,True,False
8,Q01,8,ENSG00000110455,ACCS,2,ACCS-1+ACCS-2,True,ACCS,True,True,ACCS,True,True,2e36cca17d7844c1495e419e45f2df1691f6c41dafb3be7ab81e198861d69f7d,d6554b646c79106d2590363103bf95228d02a0f85e03db76db8be948f07bc7dc,005b1f679e076fe538b2718724e34890ab6c1788f37163872e85e87e0122d2ee,2782ea52288ba6c53627a4f7c38767fd2b73f06b8802ac98eb21777b5fa34b9f,COLUMN_UNSEEN,0,True,False
9,Q01,9,ENSG00000179772,FOXS1,2,FOXS1-1+FOXS1-2,True,FOXS1,True,True,FOXS1,True,True,85091653c41ae2738dc273550978d98baa956a49127ae356ac5b33a85859c29d,9e3e1cb819e9871921bdb8035d17893c5d528afce2b6aa82ba5eccf1647145c7,0060fd6905b867b3c3b65f342bbe1ca158557a84d0231252f936029dab95d974,2ef0b87fd6befb91f904b3309a434c14126574402776a0fdeedf032dff00cde1,DONOR_UNSEEN_ONLY,6,True,False
10,Q01,10,ENSG00000017483,SLC38A5,2,SLC38A5-1+SLC38A5-2,True,SLC38A5,True,True,SLC38A5,True,True,4b312c3f1dfb2f3b0ba94d25b95e32e43ecd0c952bffaf1425831b20789ae874,f9dcde871df1cb7cca4704f11562e5bb0e05b7adc0b4c3100414f78f8a441406,006ec8b32010c79d7e1f695f0d8643860c26b567ed4babf0c94a35e1709efdc9,75919fc8224fb257eb52e63f3ee4889489d4fc8ed4cf3750afe08b6099646a53,DONOR_UNSEEN_ONLY,6,True,False
