perturbation,n_cells,gears_ensemble_rmse,scgpt_finetuned_rmse,task_mean_rmse,task_max_rmse,risk_gears_scgpt_disagreement,risk_gears_predicted_magnitude,risk_scgpt_predicted_magnitude,true_l2_diagnostic,uses_target_truth_in_deployable_risk
BCL2L11+ctrl,582,0.06828616695908253,0.11664775331718681,0.09246696013813467,0.11664775331718681,0.07736606315321717,1.4593247175216675,2.66107177734375,0.6703922152519226,False
CKS1B+ctrl,241,0.11013109228047072,0.1390522853500552,0.12459168881526296,0.1390522853500552,0.07658975845106633,1.5316357612609863,1.3099478483200073,3.1094043254852295,False
CLDN6+ctrl,670,0.14256985680560982,0.10138910597938837,0.12197948139249909,0.14256985680560982,0.1235658537378668,3.9015378952026367,3.640645742416382,4.043018817901611,False
FEV+ctrl,704,0.2007041133576992,0.09593607422935926,0.14832009379352923,0.2007041133576992,0.17485194176690716,4.690348148345947,4.586890697479248,4.198912143707275,False
FOSB+ctrl,630,0.12039166111531999,0.20365917062009792,0.16202541586770897,0.20365917062009792,0.13832160102031535,3.889374256134033,6.287117958068848,2.3466131687164307,False
FOXA1+ctrl,851,0.09770006601145695,0.10107957188423876,0.09938981894784785,0.10107957188423876,0.0987939953687222,3.036221742630005,3.213747978210449,1.935462474822998,False
FOXA3+ctrl,494,0.06992010472226996,0.07893074654611759,0.07442542563419377,0.07893074654611759,0.08596165458438809,2.6844100952148438,3.5778846740722656,2.5151870250701904,False
IER5L+ctrl,405,0.11619374267910504,0.11118009975329565,0.11368692121620035,0.11619374267910504,0.09514954385416591,3.9699201583862305,4.307097434997559,3.3811416625976562,False
IGDCC3+ctrl,613,0.07408711155774936,0.06136651976039835,0.06772681565907385,0.07408711155774936,0.07473905695145844,2.5214614868164062,2.8357443809509277,3.056724786758423,False
IKZF3+ctrl,681,0.11710002734467631,0.0877419789105937,0.102421003127635,0.11710002734467631,0.11021276793982272,5.597060203552246,5.048644065856934,6.200733661651611,False
JUN+ctrl,266,0.11458176238836366,0.1455720356101301,0.13007689899924688,0.1455720356101301,0.11741613968338173,3.3443429470062256,3.9554882049560547,3.1463406085968018,False
MAPK1+ctrl,765,0.11528311079743775,0.07788906992368651,0.09658609036056212,0.11528311079743775,0.13374350830980153,2.269556999206543,4.425599575042725,3.7473385334014893,False
MEIS1+ctrl,776,0.1030727571566141,0.0674210680530753,0.0852469126048447,0.1030727571566141,0.07885073085281302,2.877519369125366,1.8289469480514526,1.3976126909255981,False
MIDN+ctrl,298,0.12816801858988286,0.10377859225054349,0.11597330542021317,0.12816801858988286,0.08821621016132553,1.8230631351470947,3.000593900680542,3.459750175476074,False
OSR2+ctrl,1003,0.08638812512843476,0.07428306640168489,0.08033559576505983,0.08638812512843476,0.09692589237768866,2.177398443222046,3.5775082111358643,2.8577349185943604,False
POU3F2+ctrl,359,0.08370716397583738,0.0839614089931535,0.08383428648449545,0.0839614089931535,0.09554625029425731,1.8270968198776245,3.0278799533843994,2.435028314590454,False
PRDM1+ctrl,297,0.2256842474896312,0.1771546039709014,0.2014194257302663,0.2256842474896312,0.11835770348720338,1.4177074432373047,3.288149833679199,5.283381462097168,False
PTPN12+ctrl,445,0.07894615454151516,0.0845653223177492,0.08175573842963219,0.0845653223177492,0.08077070762030128,3.0321385860443115,3.739065647125244,2.4633853435516357,False
PTPN13+ctrl,270,0.12454342269482556,0.09681235087323511,0.11067788678403034,0.12454342269482556,0.09793113007677445,2.7633895874023438,1.4265081882476807,2.220522403717041,False
S1PR2+ctrl,541,0.09697239233181468,0.11070785753441358,0.10384012493311412,0.11070785753441358,0.0837106018029924,2.497497320175171,3.049406051635742,2.896953582763672,False
SNAI1+ctrl,467,0.10553801385253575,0.11182193361519882,0.10867997373386729,0.11182193361519882,0.09327810637649622,3.607656717300415,4.266252040863037,2.6597468852996826,False
SPI1+ctrl,613,0.13999058636196973,0.12679611504730445,0.1333933507046371,0.13999058636196973,0.12516080826858952,3.5624282360076904,5.184438228607178,5.09903621673584,False
STIL+ctrl,309,0.0893218774410803,0.06632459011596924,0.07782323377852476,0.0893218774410803,0.09321357967187308,2.0533697605133057,2.1587281227111816,1.6466094255447388,False
TSC22D1+ctrl,441,0.07860095810548942,0.06983906756889137,0.0742200128371904,0.07860095810548942,0.09189754542886218,1.8723596334457397,1.2066733837127686,1.5718514919281006,False
