epoch,train_mse,val_mse,learning_rate,improved,seconds
1,0.3451882706639545,0.2865761298686266,9e-05,True,47.55836200714111
2,0.2686286866461319,0.28354725111275914,8.1e-05,True,46.269275426864624
3,0.2642187357681697,0.28233085069805386,7.290000000000001e-05,True,46.2361159324646
4,0.26204760496815044,0.28198392018675805,6.561000000000002e-05,True,46.318073987960815
5,0.2603655976187336,0.2818629531189799,5.904900000000002e-05,True,46.27289915084839
6,0.258491747244134,0.28150018993765114,5.314410000000002e-05,True,46.06874060630798
7,0.257679094341609,0.2814437560737133,4.782969000000002e-05,True,46.31693649291992
8,0.25629287563223657,0.28162539210170506,4.304672100000002e-05,False,46.11967206001282
9,0.2547939956554624,0.2809902524575591,3.874204890000002e-05,True,52.858893632888794
10,0.253520251562198,0.2816177556291223,3.4867844010000016e-05,False,48.97289729118347
