perturbation,error_gears_ensemble_rmse,error_globalmean_rmse,risk_gears_globalmean_disagreement,risk_gears_predicted_magnitude,true_l2_diagnostic,training_support_for_heldout_gene
ATF4+ctrl,0.028447096612044254,0.02521408288877392,0.022497873111697337,1.2327581644058228,1.6769189834594727,0
COPZ1+ctrl,0.051717484571606374,0.04858008849608357,0.01736042556133708,1.8218883275985718,4.481683731079102,0
DAD1+ctrl,0.027185557719235722,0.02790419818627536,0.016769384579436778,1.4321374893188477,1.9621633291244507,0
DERL2+ctrl,0.025841821803362277,0.02087616600846014,0.018595729812512788,1.1086463928222656,2.0008840560913086,0
DNAJC19+ctrl,0.05226355101611338,0.05719336762228729,0.013190759810158307,2.009572744369507,5.22805118560791,0
EIF2S1+ctrl,0.12145063769138159,0.10982076982857925,0.018521228206860384,1.141170859336853,8.994333267211914,0
GBF1+ctrl,0.017332845836683618,0.015567828827961098,0.015604581881900446,1.146310806274414,1.3952864408493042,0
IARS2+ctrl,0.08628316522707069,0.07675748537700286,0.014345753959398659,1.210171103477478,6.735291957855225,0
IDH3A+ctrl,0.027867375096606566,0.02728585983647575,0.01777657599830326,1.0925687551498413,2.0474836826324463,0
MRPL39+ctrl,0.032637386458002494,0.027625176010203485,0.01774176654375562,1.2158584594726562,2.1914305686950684,0
NEDD8+ctrl,0.0718905643706206,0.069335075305166,0.018877359514081583,1.2176456451416016,5.183831214904785,0
OST4+ctrl,0.02510919768639059,0.02650662441908019,0.017806187385605195,1.2384635210037231,1.6887222528457642,0
PDIA6+ctrl,0.029104736949791387,0.03233015590258897,0.020213561626403156,1.0717166662216187,1.84950852394104,0
PSMD4+ctrl,0.08569422385891586,0.08714109171930677,0.016015192786243325,1.315015435218811,6.37109899520874,0
PTDSS1+ctrl,0.020973244879774706,0.026197211354668612,0.020637669730176392,1.186532974243164,1.0269883871078491,0
SEC61G+ctrl,0.0351592480182268,0.033350941273968475,0.016570229336533494,1.460684061050415,3.0770349502563477,0
SEL1L+ctrl,0.030384243259236495,0.030878835015784045,0.018082746719940947,1.4083988666534424,2.0759191513061523,0
SLC35B1+ctrl,0.01975101734303171,0.021148432795071323,0.016096857215367633,1.2864556312561035,1.106696605682373,0
SPCS3+ctrl,0.03825803245698376,0.03149338952281832,0.01785769523020603,1.1095701456069946,3.075010061264038,0
SRP68+ctrl,0.03705872199143715,0.035182362443924975,0.01949835893471015,1.017472743988037,2.88417911529541,0
SYVN1+ctrl,0.02203448645153219,0.025030024518952598,0.020221830084517434,1.1510425806045532,1.3780626058578491,0
TELO2+ctrl,0.02571674877364977,0.02810701525097353,0.020006982965611975,0.9918709397315979,1.7485672235488892,0
TIMM23+ctrl,0.026561236804103373,0.027338866587929098,0.01982797452918129,2.520298957824707,2.606915235519409,0
TTI1+ctrl,0.0575556121914057,0.05536256840959434,0.01978769605976252,1.1181803941726685,4.1821699142456055,0
