predictor_under_audit,second_predictor,score_name,deployable,target_error,n_tasks,spearman,bootstrap_rho_ci95_low,bootstrap_rho_ci95_high,top20_k,top20_error_enrichment
GEARS_3seed_ensemble,source_train_global_mean_effect,risk_gears_globalmean_disagreement,True,error_gears_ensemble_rmse,24,-0.24260869565217388,-0.6494598901630211,0.21381358741626452,5,0.6083905911514105
GEARS_3seed_ensemble,source_train_global_mean_effect,risk_gears_predicted_magnitude,True,error_gears_ensemble_rmse,24,0.09478260869565217,-0.2752757428725462,0.4236131292024346,5,0.9293166713608687
GEARS_3seed_ensemble,source_train_global_mean_effect,true_l2_diagnostic,False,error_gears_ensemble_rmse,24,0.9426086956521739,,,0,
