culture_condition,target_stratum,n_tasks,median_guide_effect_rmse,median_guide_effect_cosine_similarity,median_guide_effect_spearman,guide_rmse_vs_task_error_spearman,truth_derived_diagnostic_only
Rest,COLUMN_UNSEEN,40,0.19597246087197678,0.0452016363393232,0.05121283624730845,0.7619136960600377,True
Rest,DONOR_UNSEEN_ONLY,160,0.18540361867998245,0.0919360243442405,0.05139612243941845,0.8109047228407359,True
Stim48hr,COLUMN_UNSEEN,40,0.189531142041315,0.1322334468758889,0.05634019409253725,0.7448405253283303,True
Stim48hr,DONOR_UNSEEN_ONLY,160,0.2087681422203727,0.0849933722058826,0.043086722943202704,0.8133804054845892,True
Stim8hr,COLUMN_UNSEEN,40,0.1962651426458859,0.16084148597621512,0.0645475254221891,0.5968105065666042,True
Stim8hr,DONOR_UNSEEN_ONLY,160,0.206478589902061,0.1682715296087883,0.0232310166876887,0.6334231805929919,True
