stratum,score,endpoint,bootstrap_draws,ci95_lower,median,ci95_upper,fraction_above_zero,analysis_role
all_200,directional_risk_frozen,error_centered_pearson_mean,3000,-0.015838981994549996,0.11085499860577555,0.23254992997955426,0.9613333333333334,secondary_post_unseal_frozen_model_no_refit
all_200,directional_risk_frozen,error_centered_cosine_mean,3000,-0.015172129337140159,0.11102068385572386,0.2321082912705952,0.9626666666666667,secondary_post_unseal_frozen_model_no_refit
all_200,directional_risk_frozen,direction_error_rank_target,3000,-0.01487787131228728,0.11099165136172995,0.23239631452448592,0.9623333333333334,secondary_post_unseal_frozen_model_no_refit
all_200,predicted_magnitude,error_centered_pearson_mean,3000,0.014243833860084211,0.1383820295685045,0.25269878557389125,0.9863333333333333,secondary_post_unseal_frozen_model_no_refit
all_200,predicted_magnitude,error_centered_cosine_mean,3000,0.015916093997071938,0.13956359034658777,0.25355990237131604,0.9873333333333333,secondary_post_unseal_frozen_model_no_refit
all_200,predicted_magnitude,direction_error_rank_target,3000,0.015917010675521346,0.1390562818055203,0.2535091551933564,0.9873333333333333,secondary_post_unseal_frozen_model_no_refit
all_200,SafeConf_absolute_head,error_centered_pearson_mean,3000,0.0012158459128481089,0.12557156744186532,0.24368845534169878,0.976,secondary_post_unseal_frozen_model_no_refit
all_200,SafeConf_absolute_head,error_centered_cosine_mean,3000,0.0007308058423128481,0.1260711625698757,0.24560549465435808,0.9756666666666667,secondary_post_unseal_frozen_model_no_refit
all_200,SafeConf_absolute_head,direction_error_rank_target,3000,0.0015528139631995367,0.1261065916157031,0.24447970329837015,0.976,secondary_post_unseal_frozen_model_no_refit
all_200,model_disagreement,error_centered_pearson_mean,3000,0.02652654968621575,0.14911319075392765,0.2655111226563888,0.9906666666666667,secondary_post_unseal_frozen_model_no_refit
all_200,model_disagreement,error_centered_cosine_mean,3000,0.028090347236058143,0.1497140247107434,0.2653801963656304,0.991,secondary_post_unseal_frozen_model_no_refit
all_200,model_disagreement,direction_error_rank_target,3000,0.02756168993563255,0.14948908305495,0.2655899585617483,0.991,secondary_post_unseal_frozen_model_no_refit
seen_160,directional_risk_frozen,error_centered_pearson_mean,3000,0.023988185403830062,0.1613073840764784,0.29829050337460983,0.987,secondary_post_unseal_frozen_model_no_refit
seen_160,directional_risk_frozen,error_centered_cosine_mean,3000,0.025605661731782605,0.1618462118307326,0.2987196042168101,0.9873333333333333,secondary_post_unseal_frozen_model_no_refit
seen_160,directional_risk_frozen,direction_error_rank_target,3000,0.024745246010717262,0.16171799108068152,0.29962641217995595,0.987,secondary_post_unseal_frozen_model_no_refit
seen_160,predicted_magnitude,error_centered_pearson_mean,3000,0.0058565391127606715,0.1461627948818417,0.2882870648209931,0.9793333333333333,secondary_post_unseal_frozen_model_no_refit
seen_160,predicted_magnitude,error_centered_cosine_mean,3000,0.006637388853979796,0.14657604357381016,0.28776681448537195,0.9793333333333333,secondary_post_unseal_frozen_model_no_refit
seen_160,predicted_magnitude,direction_error_rank_target,3000,0.006167537449520517,0.1461486060499472,0.2888389095211509,0.979,secondary_post_unseal_frozen_model_no_refit
seen_160,SafeConf_absolute_head,error_centered_pearson_mean,3000,0.02552382550066353,0.16408190651955085,0.2970503256016601,0.987,secondary_post_unseal_frozen_model_no_refit
seen_160,SafeConf_absolute_head,error_centered_cosine_mean,3000,0.027437845154884875,0.16456856503599182,0.2982673269334116,0.9876666666666667,secondary_post_unseal_frozen_model_no_refit
seen_160,SafeConf_absolute_head,direction_error_rank_target,3000,0.026408267741169167,0.16425110419012567,0.29780252764191867,0.9873333333333333,secondary_post_unseal_frozen_model_no_refit
seen_160,model_disagreement,error_centered_pearson_mean,3000,0.02552382550066353,0.16408190651955085,0.2970503256016601,0.987,secondary_post_unseal_frozen_model_no_refit
seen_160,model_disagreement,error_centered_cosine_mean,3000,0.027437845154884875,0.16456856503599182,0.2982673269334116,0.9876666666666667,secondary_post_unseal_frozen_model_no_refit
seen_160,model_disagreement,direction_error_rank_target,3000,0.026408267741169167,0.16425110419012567,0.29780252764191867,0.9873333333333333,secondary_post_unseal_frozen_model_no_refit
