culture_condition,stratum,score,n_tasks,spearman_with_true_error,tie_aware_aurc,weak_order_identical_to_disagreement,weak_order_identical_to_magnitude,exploratory_post_unseal
Rest,all_200,SafeConf,200,0.09067876696917423,0.11879153885896392,False,False,True
Rest,all_200,magnitude,200,0.06868971724293108,0.11708910497328698,False,True,True
Rest,all_200,disagreement,200,0.06839420985524639,0.11736238512549843,True,False,True
Rest,seen_160,SafeConf,160,0.07119711707488574,0.11882426698497756,True,False,True
Rest,seen_160,magnitude,160,0.06561291456697527,0.11877695482985165,False,True,True
Rest,seen_160,disagreement,160,0.07119711707488574,0.11882426698497756,True,False,True
Rest,column_unseen_40_descriptive,SafeConf,40,0.08667917448405253,0.1117992989555265,True,False,True
Rest,column_unseen_40_descriptive,magnitude,40,0.24671669793621018,0.10709230668553518,False,True,True
Rest,column_unseen_40_descriptive,disagreement,40,0.08667917448405253,0.1117992989555265,True,False,True
Stim8hr,all_200,SafeConf,200,0.07267531688292209,0.12656093308452157,False,False,True
Stim8hr,all_200,magnitude,200,0.10030900772519315,0.12480672465482982,False,True,True
Stim8hr,all_200,disagreement,200,0.10285457136428412,0.12794095057584873,True,False,True
Stim8hr,seen_160,SafeConf,160,0.12032403609515996,0.12700822900884579,True,False,True
Stim8hr,seen_160,magnitude,160,0.11753486464315012,0.12327614063621667,False,True,True
Stim8hr,seen_160,disagreement,160,0.12032403609515996,0.12700822900884579,True,False,True
Stim8hr,column_unseen_40_descriptive,SafeConf,40,0.07223264540337712,0.12187557417394396,True,False,True
Stim8hr,column_unseen_40_descriptive,magnitude,40,0.13245778611632272,0.11998905099744245,False,True,True
Stim8hr,column_unseen_40_descriptive,disagreement,40,0.07223264540337712,0.12187557417394396,True,False,True
Stim48hr,all_200,SafeConf,200,0.1536908422710568,0.12087120813343183,False,False,True
Stim48hr,all_200,magnitude,200,0.14229505737643441,0.12231553677292695,False,True,True
Stim48hr,all_200,disagreement,200,0.16260706517662943,0.1175471577933215,True,False,True
Stim48hr,seen_160,SafeConf,160,0.17805578342904022,0.12046907005514818,True,False,True
Stim48hr,seen_160,magnitude,160,0.14513652877065508,0.12435913826309658,False,True,True
Stim48hr,seen_160,disagreement,160,0.17805578342904022,0.12046907005514818,True,False,True
Stim48hr,column_unseen_40_descriptive,SafeConf,40,0.20206378986866794,0.10721398109615023,True,False,True
Stim48hr,column_unseen_40_descriptive,magnitude,40,0.27467166979362106,0.10900364851573341,False,True,True
Stim48hr,column_unseen_40_descriptive,disagreement,40,0.20206378986866794,0.10721398109615023,True,False,True
