stratum,culture_condition,safeconf_aurc,magnitude_aurc,delta_magnitude_minus_safeconf
all_200,Rest,0.1187094431245559,0.1190100232491833,0.0003005801246274
all_200,Stim8hr,0.1225178128749708,0.125491385997022,0.0029735731220511
all_200,Stim48hr,0.121495083023412,0.1214025225935045,-9.25604299074484e-05
seen_160,Rest,0.1185735262177301,0.1208772622009585,0.0023037359832283
seen_160,Stim8hr,0.1219811582708832,0.123196324415702,0.0012151661448187
seen_160,Stim48hr,0.1207944437577394,0.1234104776868756,0.0026160339291362
column_unseen_40_descriptive,Rest,0.1149954985388142,0.1104452210557659,-0.0045502774830483
column_unseen_40_descriptive,Stim8hr,0.127420237210856,0.1253049822007814,-0.0021152550100745
column_unseen_40_descriptive,Stim48hr,0.1134115630536949,0.1114877664172683,-0.0019237966364265
