culture_condition,stratum,feature,n_tasks,n_unique_operational_levels,population_std,spearman_with_true_error,exploratory_post_unseal
Rest,all_200,context_similarity,200,1,0.0,,True
Rest,all_200,support_count,200,2,2.4,-0.027496650280432633,True
Rest,all_200,model_disagreement,200,200,0.013091713373452827,0.06839420985524639,True
Rest,all_200,predicted_magnitude,200,200,0.007089165833162941,0.06868971724293108,True
Rest,all_200,SafeConf_risk,200,200,0.9881301489646735,0.09067876696917423,True
Rest,seen_160,context_similarity,160,1,1.1102230246251565e-16,,True
Rest,seen_160,support_count,160,1,0.0,,True
Rest,seen_160,model_disagreement,160,160,0.013790624151340556,0.07119711707488574,True
Rest,seen_160,predicted_magnitude,160,160,0.007613510276467445,0.06561291456697527,True
Rest,seen_160,SafeConf_risk,160,160,0.9273141261996996,0.07119711707488574,True
Rest,column_unseen_40_descriptive,context_similarity,40,1,1.1102230246251565e-16,,True
Rest,column_unseen_40_descriptive,support_count,40,1,0.0,,True
Rest,column_unseen_40_descriptive,model_disagreement,40,40,0.004648863030588293,0.08667917448405253,True
Rest,column_unseen_40_descriptive,predicted_magnitude,40,40,0.0025207001413944012,0.24671669793621018,True
Rest,column_unseen_40_descriptive,SafeConf_risk,40,40,0.3126005248502672,0.08667917448405253,True
Stim8hr,all_200,context_similarity,200,1,1.1102230246251565e-16,,True
Stim8hr,all_200,support_count,200,2,2.4,0.032909376713588664,True
Stim8hr,all_200,model_disagreement,200,200,0.013118233132561666,0.10285457136428412,True
Stim8hr,all_200,predicted_magnitude,200,200,0.007069417589922042,0.10030900772519315,True
Stim8hr,all_200,SafeConf_risk,200,200,0.9781388608958177,0.07267531688292209,True
Stim8hr,seen_160,context_similarity,160,1,0.0,,True
Stim8hr,seen_160,support_count,160,1,0.0,,True
Stim8hr,seen_160,model_disagreement,160,160,0.013756007707336301,0.12032403609515996,True
Stim8hr,seen_160,predicted_magnitude,160,160,0.007604287380089528,0.11753486464315012,True
Stim8hr,seen_160,SafeConf_risk,160,160,0.9249864323170106,0.12032403609515996,True
Stim8hr,column_unseen_40_descriptive,context_similarity,40,1,0.0,,True
Stim8hr,column_unseen_40_descriptive,support_count,40,1,0.0,,True
Stim8hr,column_unseen_40_descriptive,model_disagreement,40,40,0.004500457351475513,0.07223264540337712,True
Stim8hr,column_unseen_40_descriptive,predicted_magnitude,40,40,0.0025261201906562336,0.13245778611632272,True
Stim8hr,column_unseen_40_descriptive,SafeConf_risk,40,40,0.3026213789503932,0.07223264540337712,True
Stim48hr,all_200,context_similarity,200,1,1.1102230246251565e-16,,True
Stim48hr,all_200,support_count,200,2,2.4,-0.011474980038290785,True
Stim48hr,all_200,model_disagreement,200,200,0.013079129328536311,0.16260706517662943,True
Stim48hr,all_200,predicted_magnitude,200,200,0.007085028508115366,0.14229505737643441,True
Stim48hr,all_200,SafeConf_risk,200,200,0.9724450086351877,0.1536908422710568,True
Stim48hr,seen_160,context_similarity,160,1,1.1102230246251565e-16,,True
Stim48hr,seen_160,support_count,160,1,0.0,,True
Stim48hr,seen_160,model_disagreement,160,160,0.013695668189909733,0.17805578342904022,True
Stim48hr,seen_160,predicted_magnitude,160,160,0.007625800417036089,0.14513652877065508,True
Stim48hr,seen_160,SafeConf_risk,160,160,0.9209290562636773,0.17805578342904022,True
Stim48hr,column_unseen_40_descriptive,context_similarity,40,1,0.0,,True
Stim48hr,column_unseen_40_descriptive,support_count,40,1,0.0,,True
Stim48hr,column_unseen_40_descriptive,model_disagreement,40,40,0.004383427335413341,0.20206378986866794,True
Stim48hr,column_unseen_40_descriptive,predicted_magnitude,40,40,0.002574904211414927,0.27467166979362106,True
Stim48hr,column_unseen_40_descriptive,SafeConf_risk,40,40,0.2947520078354154,0.20206378986866794,True
