condition,max_abs_delta_pca_prediction,max_abs_delta_log_prob,max_abs_delta_epistemic,max_abs_delta_aleatoric
MAP2K6+ctrl,0.0,0.0,0.0,0.0
OSR2+PTPN12,0.0,0.0,0.0,0.0
FOXA1+FOXA3,0.0,0.0,0.0,0.0
CEBPB+JUN,0.0,0.0,0.0,0.0
RREB1+ctrl,0.0,0.0,0.0,0.0
SLC4A1+ctrl,0.0,0.0,0.0,0.0
IKZF3+MAP2K6,0.0,0.0,0.0,0.0
FOSB+OSR2,0.0,0.0,0.0,0.0
