culture_condition,stratum,n_tasks,ensemble_beats_nochange_fraction,ensemble_mean_rmse,nochange_mean_rmse,train_donor_mean_available_tasks,train_donor_mean_mean_rmse
Rest,all_200,200,0.70999999999999996,0.12092824654229981,0.12372414606112833,160,0.14012992653635212
Rest,seen_160,160,0.73124999999999996,0.12162531951561009,0.12466947525376477,160,0.14012992653635212
Rest,column_unseen_40_descriptive,40,0.625,0.11813995464905869,0.11994282929058256,0,
Stim8hr,all_200,200,0.82499999999999996,0.12819337678703982,0.13316430597638848,160,0.13972013353620244
Stim8hr,seen_160,160,0.84375,0.12578801328938508,0.13111199598271109,160,0.13972013353620244
Stim8hr,column_unseen_40_descriptive,40,0.75,0.13781483077765883,0.14137354595109791,0,
Stim48hr,all_200,200,0.70499999999999996,0.12546836589682525,0.12825448857344515,160,0.13971880092505276
Stim48hr,seen_160,160,0.74375000000000002,0.12742308123362339,0.13070483519394319,160,0.13971880092505273
Stim48hr,column_unseen_40_descriptive,40,0.55000000000000004,0.11764950454963255,0.1184531020914531,0,
