culture_condition,stratum,n_tasks,spearman_risk_loss,high_risk_k,high_error_k,top20_overlap,top20_high_error_capture,top20_high_error_enrichment,full_mean_rmse,accepted_after_review20_mean_rmse,review20_relative_rmse_reduction
Rest,all_200,200,0.090678766969174235,40,40,12,0.29999999999999999,1.4999999999999998,0.12092824654229981,0.11795092338995752,0.024620576560670099
Rest,seen_160,160,0.071197117074885741,32,32,8,0.25,1.25,0.12162531951561009,0.11911714907097017,0.02062210775378899
Rest,column_unseen_40_descriptive,40,0.086679174484052532,8,8,2,0.25,1.25,0.11813995464905869,0.11800521565852555,0.0011405031509736621
Stim8hr,all_200,200,0.072675316882922086,40,40,13,0.32500000000000001,1.625,0.12819337678703982,0.12254425949466197,0.044067154122653329
Stim8hr,seen_160,160,0.12032403609515996,32,32,9,0.28125,1.40625,0.12578801328938508,0.12332091959355793,0.019613106458334858
Stim8hr,column_unseen_40_descriptive,40,0.072232645403377121,8,8,1,0.125,0.625,0.13781483077765883,0.13529342012727574,0.018295640869384781
Stim48hr,all_200,200,0.15369084227105681,40,40,11,0.27500000000000002,1.375,0.12546836589682525,0.12300022337474066,0.019671432750739622
Stim48hr,seen_160,160,0.17805578342904022,32,32,11,0.34375,1.71875,0.12742308123362339,0.12390242875361361,0.027629629152938574
Stim48hr,column_unseen_40_descriptive,40,0.20206378986866794,8,8,1,0.125,0.625,0.11764950454963255,0.11845160833016399,-0.0068177404027490963
